0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Domestic Electric Clothes Washing Machines,Determination of Water Consumption,"Cl. 8.6 & Cl. 9.5.2 of IEC60456 (Edition 5.1), Mo P(S.O. 4674(E) & 4675(E))"
2,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Domestic Electric Clothes Washing Machine,Moisture Resistance,Cl. 15 of IEC 60335-2-7
3,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Domestic Electric Clothes Washing Machine,Determination of Programme Time,"Cl. 8.6, Cl. 9.5.3 of IEC60456 (Edition 5.1), Mo P(S.O. 4674(E) & 4675(E))"
4,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Domestic Electric Clothes Washing Machine,Leakage current andelectric strength afterhumidity,Cl. 16 of IEC 60335-2-7
5,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Domestic Electric Clothes Washing Machine,Leakage current andelectric strength atoperating temperature,Cl. 13 of IEC 60335-2-7
6,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Domestic Electric Clothes Washing Machine,Leakage current andelectric strength atoperating temperature,Cl. 13 of IS 302-2-7
7,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Domestic Electric Clothes Washing Machine,Marking and Instructions,Cl. 7 of IS 302-2-7
8,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Domestic Electric Clothes Washing Machine,Moisture Resistance,Cl. 15 of IS 302-2-7
9,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Domestic Electric Clothes Washing Machine,Power Input and Current,Cl. 10 of IS 302-2-7
10,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Domestic Electric Clothes Washing Machine,Provision for Earthing,Cl. 27 of IS 302-2-7
11,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Domestic Electric Clothes Washing Machine,Provision for Earthing,Cl. 27 of IEC 60335-2-7
12,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Domestic Electric Clothes Washing Machine for Household use,Leakage current andelectric strength afterhumidity,Cl. 16 of IS 302-2-7
13,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Domestic Electric Clothes Washing Machine for Household use,Power Input and Current,Cl. 10 of IEC 60335-2-7
14,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Domestic Electric Clothes Washing Machines,Determination of Energy Consumption,"Cl. 8.6 & Cl. 9.5.4 of IEC60456 (Edition 5.1), Mo P(S.O. 4674(E) & 4675(E))"
15,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Domestic Electric Clothes Washing Machines,Determination of Rinsing Performance,"Cl. 8.5 & Cl. 9.4 of IEC60456 (Edition 5.1), Mo P(S.O. 4674(E) & 4675(E))"
16,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Domestic Electric Clothes Washing Machines,Marking and Instructions,Cl. 7 of IEC 60335-2-7
17,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Domestic Electric Clothes Washing Machines,Measurements to Determine Washing Performance,"Cl. 8.3 & Cl. 9.2 of IEC60456 (Edition 5.1), Mo P(S.O. 4674(E) & 4675(E))"
18,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Domestic Electric Clothes Washing Machines,Measurements to Determine Water Extraction Performance,"Cl. 8.4 & Cl. 9.3 of IEC60456 (Edition 5.1), Mo P(S.O. 4674(E) & 4675(E))"
