0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,"CHEMICAL- INKS, DYES &PIGMENTS",Paints and Varnishes,Scratch Resistance,"""CS-QM-000007 (7.1.2 Scratchtest with increasing force at 1double stroke)"""
2,"CHEMICAL- INKS, DYES &PIGMENTS",Paints and Varnishes,Tape test(Without crosscutting),"""CS-QM-000007 (7.2.1 Tapetest for lettering)"""
3,"CHEMICAL- INKS, DYES &PIGMENTS",Printed Material,LABS Test (class A1/B2),"""VDMA 24364 (rinse o test(class A1/B2))"""
4,"CHEMICAL- INKS, DYES &PIGMENTS",Printed Material,"Wipe Resistance of print (Using Ethanol, Acetone, Iso propylalcohol, 0.1 M Sodiumhydroxide, Petroleum ether)",""" DIN 61010-1: 2010 EN61010-1: 2010 update 2023-08(VDE 0411-1)"
5,"CHEMICAL- INKS, DYES &PIGMENTS",Printed Material,Wipe Resistance of print (Using Water & petroleum spirits n-hexane),"""DIN 62208: 2024-10-00 EN62208: 2024-10-00 IEC 62208(par. 9.3) """
6,"CHEMICAL- INKS, DYES &PIGMENTS",Printed Material (Marking & Labeling),Marking and labeling systemsfor hazardous locationsproducts for 168 Hours (in Methyl Ethyl Ketone,""" ANSI/UL 969: 2018 Title Page Reprinted: May 9,"
7,"CHEMICAL- INKS, DYES &PIGMENTS",Printed Material (Marking & Labeling),"Ten Day Oven Test (High Temperature Test (60 C, 87 C,105 C, 121, 150 C, 180 C,230 C, 250 C)",""" ANSI/UL 969: 2018 Title Page Reprinted: May 9,"
8,"CHEMICAL- INKS, DYES &PIGMENTS",Printed Material (Marking and Labeling),Exposure conditions forcommon agents for 48 Hours(in Fuel Oil No. 2),"""ANSI/UL 969: 2018 Title Page Reprinted: May 9"
9,"CHEMICAL- INKS, DYES &PIGMENTS",Printed Plastic Material,"Damp Heat, Steady State","""DIN EN 60068-2-78:2014-02 EN 60068-2-78:2013-06 IEC60068-2-78"
10,"CHEMICAL- INKS, DYES &PIGMENTS",Printed Plastic Material,Articial Weathering Test,"""DIN 4892-2 :2021-11 EN4892-2 :2021-08 ISO 4892-2(Method A)"""
11,"CHEMICAL- INKS, DYES &PIGMENTS",Printed Plastic Material,Cold Test,"""DIN 60068-2-14:2000-08-01 EN 60068-2-14:2010-04 IEC60068-2-14 ( Test A)"""
12,"CHEMICAL- INKS, DYES &PIGMENTS",Printed Plastic Material,Dry Heat Test,"""DIN EN 60068-2-2:2008-05 EN60068-2-2:2007-09 IEC60068-2-2"
13,"CHEMICAL- INKS, DYES &PIGMENTS",Printed Plastic Material,"Immersion Test for 168 Hours(In Ethanol, Acetone, Sodiumhydroxide 0.1 M, Sodiumchloride 10%,IRM 901, IRM 902& IRM 903, Petrol)","""DIN 175: 2011-03 EN ISO 175:"
14,"CHEMICAL- INKS, DYES &PIGMENTS",Printed Plastic Material,Quick Test 96h Xenon arc,""" DIN 4892-2 :2021-11 EN4892-2 :2021-08 ISO 4892-2(B.2, Method B)"""
