0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL- PLASTIC &RESINS,Cured EVA Sheet,Gel Content / Swell Ratio,IEC 62788-1-6 Edition 1.1
2,CHEMICAL- PLASTIC &RESINS,Ethyl Acetate,Water / Moisture Content,ASTM E203
4,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Polymer / Plastic Sheet,Thickness,ASTM D6988
5,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Polymer Granules,Density,ASTM D792
6,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Polymer Granules,MFR (Melt Flow Rate),ASTM D1238
7,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Polymer Granules & Sheets,Melting point by DSC,ISO 11357-3
9,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Polymer Products / Sheets,Hardness (Shore-A),ASTM D 2240
10,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Polymer Sheets,Wetting tension,ASTM D2578
11,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,"Polymer Sheets ( EVA, Back Sheet, PET lm etc)",Elongation at break ( %),ASTM D882
12,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,"Polymer Sheets (EVA, Back Sheet etc)",Peel Bond / Peel Strength,ASTM D903
13,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,Polymer sheets / Films,Thermoshrinking / Dimesional Stability,ISO 11501
14,MECHANICAL- PLASTICSAND PLASTIC PRODUCTS,"Polymer Sheets / Films ( EVA, Back Sheet, PET lm. etc)",Tensile Strength,ASTM D882
15,PHOTOMETRY- LIGHTSOURCES (ELECTRICLAMP),Cured EVA Sheet,Transmittance,IEC 62788-1-4 Edition 1.1
16,PHOTOMETRY- LIGHTSOURCES (ELECTRICLAMP),Cured EVA Sheet,UV cut o,IEC 62788-1-4 Edition 1.1
17,PHOTOMETRY- LIGHTSOURCES (ELECTRICLAMP),Cured EVA Sheet,Yellowness Index,IEC 62788-1-4 Edition 1.1
