0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- SAFETYTESTING FACILITY,Enclosures for Electrical Equipment,1st Characteristic Numeral IP1 X to IP6 X,IS/ IEC 60529 (Clause 5)
2,ELECTRICAL- SAFETYTESTING FACILITY,Enclosures for Electrical Equipment,2nd Characteristic Numeral IPX1 to IPX6,IS/ IEC 60529 (Clause 6)
3,ELECTRICAL- SAFETYTESTING FACILITY,Enclosures for Electrical Equipment,Designations,IEC 62262 + AMD 1(Clause 4)
4,ELECTRICAL- SAFETYTESTING FACILITY,Enclosures for Electrical Equipment,Protection against Mechanical Impacts,IEC 62262 + AMD 1(Clause 6)
5,ELECTRICAL- SAFETYTESTING FACILITY,Enclosures for Electrical Equipment,Tests for Protectionagainst Solid Foreign Objects Indicated by the First Characteristic Numeral (upto IP6 X),IS/ IEC 60529 (Clause 13)
6,ELECTRICAL- SAFETYTESTING FACILITY,Enclosures for Electrical Equipment,Tests for Protectionagainst Water Indicatedby the Second Characteristic Numeral(upto IPX6),IS/ IEC 60529 (Clause 14)
7,PHOTOMETRY-LUMINARIES,Solid State Lighting (LED) Products,Colour Characteristics of SSL Products,IS 16106 (Clause 14)
8,PHOTOMETRY-LUMINARIES,Solid State Lighting (LED) Products,Electrical Instrumentation,IS 16106 (Clause 10)
9,PHOTOMETRY-LUMINARIES,Solid State Lighting (LED) Products,Luminous Ecacy,IS 16106 (Clause 13)
10,PHOTOMETRY-LUMINARIES,Solid-State Lighting (LED) Products,Total Luminous Flux Measurements,IS 16106 (Clause 11)
11,PHOTOMETRY-LUMINARIES,Solid-State Lighting Products,Color Characteristics of SSL Products,IES LM 79 (Clause 12)
12,PHOTOMETRY-LUMINARIES,Solid-State Lighting Products,Electrical Instrumentation,IES LM 79 (Clause 8)
13,PHOTOMETRY-LUMINARIES,Solid-State Lighting Products,Luminous Ecacy,IES LM 79 (Clause 11)
14,PHOTOMETRY-LUMINARIES,Solid-State Lighting Products,Total Luminous Flux Measurements,IES LM 79 (Clause 9)
