0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Transformer Operated Watthour and Var-Hour Smart Meters: 3 Phase 4 Wire, Class -0.5 S",AC High Voltage,"IS 16444 (Part 2) (Clause 6.10.6), IS 14697 (Clause 12.7.6.1 & 12.7.6.3)"
2,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Transformer Operated Watthour and Var-Hour Smart Meters: 3 Phase 4 Wire, Class -0.5 S",Insulation Resistance,"IS 16444 (Part 2) (Clause 6.10.6) , IS 14697 (Clause 12.7.6.1 & 12.7.6.4)"
3,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Transformer Operated Watthour and Var-Hour Smart Meters: 3 Phase 4 Wire, Class -0.5 S",Power Consumption Test,IS 16444 (Part 2) (Clause 6.10.1)
4,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Transformer Operated Watthour and Var-Hour Smart Meters: 3 Phase 4 Wire, Class -0.5 S",Repeatability of Error,"IS 16444 (Part 2) (Clause 6.12), IS 14697 (Clause 11.7 & 12.16)"
5,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Transformer Operated Watthour and Var-Hour Smart Meters: 3 Phase 4 Wire, Class -0.5 S",Test of Meter Constant,"IS 16444 (Part 2) (Clause 6.12), IS 14697 (Clause 11.6 & 12.14)"
6,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Transformer Operated Watthour and Var-Hour Smart Meters: 3 Phase 4 Wire, Class -0.5 S",Test of No-load Condition,"IS 16444 (Part 2) (Clause 6.12), IS 14697 (Clause 11.4 & 12.12)"
7,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Transformer Operated Watthour and Var-Hour Smart Meters: 3 Phase 4 Wire, Class -0.5 S",Test of Starting Condition,"IS 16444 (Part 2) (Clause 6.12), IS 14697 (Clause 11.5 & 12.13)"
8,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Transformer Operated Watthour and Var-Hour Smart Meters: 3 Phase 4 Wire, Class -0.5 S",Test on Limits of Error,"IS 16444 (Part 2) (Clause 6.12), IS 14697 (Clause 11.1)"
9,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Direct Connected Watthour Smart Meters: Single Phase and 3 Phase 4 Wire, Class 1.0",AC High Voltage Test,"IS 16444 (Part 1) (Clause 6.10.6), IS 13779 (Clause 12.7.6.1 & 12.7.6.3)"
10,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Direct Connected Watthour Smart Meters: Single Phase and 3 Phase 4 wire, Class 1.0",Insulation Resistance,"IS 16444 (Part 1) (Clause 6.10.6), IS 13779 (Clause 12.7.6.1 & 12.7.6.4)"
