0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Driver Instrument Panel,Voltameter,Tacho Meter,Pressure Indicator,Pressure Sensor,Switches,Temperature Sensor,Temperature gauge,Reduction Gear with tacho &speedo sending unit,Speedo Sensor,Tacho Sensor,Speedometer Gauge,Automatic Circuit Breakers,Distribution Panel,Hour Meter,SGR Relay Box,Convertor PAG 1 F,Collector Ring Box,Control Unit BY25-2 C",High Temperature Test,JSS 55555
2,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Driver Instrument Panel,Voltameter,Tacho Meter,Pressure Indicator,Pressure Sensor,Switches,Temperature Sensor,Temperature gauge,Reduction Gear with tacho &speedo sending unit,Speedo Sensor,Tacho Sensor,Speedometer Gauge,Automatic Circuit Breakers,Distribution Panel,Hour Meter,SGR Relay Box,Convertor PAG 1 F,Collector Ring Box,Control Unit BY25-2 C",Bump Test,JSS 55555
3,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Driver Instrument Panel,Voltameter,Tacho Meter,Pressure Indicator,Pressure Sensor,Switches,Temperature Sensor,Temperature gauge,Reduction Gear with tacho &speedo sending unit,Speedo Sensor,Tacho Sensor,Speedometer Gauge,Automatic Circuit Breakers,Distribution Panel,Hour Meter,SGR Relay Box,Convertor PAG 1 F,Collector Ring Box,Control Unit BY25-2 C",Corrosion(Salt/ Salt Fog),JSS 55555
4,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Driver Instrument Panel,Voltameter,Tacho Meter,Pressure Indicator,Pressure Sensor,Switches,Temperature Sensor,Temperature gauge,Reduction Gear with tacho &speedo sending unit,Speedo Sensor,Tacho Sensor,Speedometer Gauge,Automatic Circuit Breakers,Distribution Panel,Hour Meter,SGR Relay Box,Convertor PAG 1 F,Collector Ring Box,Control Unit BY25-2 C",Damp Heat Test,JSS 55555
5,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Driver Instrument Panel,Voltameter,Tacho Meter,Pressure Indicator,Pressure Sensor,Switches,Temperature Sensor,Temperature gauge,Reduction Gear with tacho &speedo sending unit,Speedo Sensor,Tacho Sensor,Speedometer Gauge,Automatic Circuit Breakers,Distribution Panel,Hour Meter,SGR Relay Box,Convertor PAG 1 F,Collector Ring Box,Control Unit BY25-2 C",Driving Rain Test,JSS 55555
6,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Driver Instrument Panel,Voltameter,Tacho Meter,Pressure Indicator,Pressure Sensor,Switches,Temperature Sensor,Temperature gauge,Reduction Gear with tacho &speedo sending unit,Speedo Sensor,Tacho Sensor,Speedometer Gauge,Automatic Circuit Breakers,Distribution Panel,Hour Meter,SGR Relay Box,Convertor PAG 1 F,Collector Ring Box,Control Unit BY25-2 C",Dust Test,JSS 55555
7,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Driver Instrument Panel,Voltameter,Tacho Meter,Pressure Indicator,Pressure Sensor,Switches,Temperature Sensor,Temperature gauge,Reduction Gear with tacho &speedo sending unit,Speedo Sensor,Tacho Sensor,Speedometer Gauge,Automatic Circuit Breakers,Distribution Panel,Hour Meter,SGR Relay Box,Convertor PAG 1 F,Collector Ring Box,Control Unit BY25-2 C",Sine Vibration Test,JSS 55555
8,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Driver Instrument Panel,Voltameter,Tacho Meter,Pressure Indicator,Pressure Sensor,Switches,Temperature Sensor,Temperature gauge,Reduction Gear with tacho &speedo sending unit,Speedo Sensor,Tacho Sensor,Speedometer Gauge,Automatic Circuit Breakers,Distribution Panel,Hour Meter,SGR Relay Box,Convertor PAG 1 F,Collector Ring Box,Control Unit BY25-2 C",Low Temperature Test,JSS 55555
