0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,ELECTRICAL- CABLES &WIRES,Cable & wires,Assessment of Halogen :Presence of Fluorine test,IS 17048
2,ELECTRICAL- CABLES &WIRES,Cable & Wires,Cold Bend test ( Mandrel size-21 mm- 100mm),IS 17048
3,ELECTRICAL- CABLES &WIRES,Cable & Wires,Insulation resistance test,IS 694
4,ELECTRICAL- CABLES &WIRES,Cables & Wires,Elongation of insulation &sheath before ageing,IS 17048
5,ELECTRICAL- CABLES &WIRES,Cables & Wires,% Elongation of insulation &sheath before ageing,IS 694
6,ELECTRICAL- CABLES &WIRES,Cables & WIres,Ageing in Air Oven : %Elongation after ageing,IS 17048
7,ELECTRICAL- CABLES &WIRES,Cables & Wires,Ageing in Air Oven on Insulation & sheath: %Elongation after ageing,IS 694
8,ELECTRICAL- CABLES &WIRES,Cables & Wires,Ageing in Air Oven: Tensile Strength After Ageing,IS 17048
9,ELECTRICAL- CABLES &WIRES,Cables & Wires,Ageing in Air Oven: Tensilestrength after ageing,IS 694
10,ELECTRICAL- CABLES &WIRES,Cables & Wires,Assessment of halogen : p Htest,"IS 17048, Annexure D"
11,ELECTRICAL- CABLES &WIRES,Cables & Wires,Assessment of halogen :Conductivity test,"IS 17048, Annexure D"
12,ELECTRICAL- CABLES &WIRES,Cables & Wires,Assessment of halogen:Chlorine and bromine contentexpressed as content of HCL,"IS 17048, Annexure D"
13,ELECTRICAL- CABLES &WIRES,Cables & Wires,Cold Bend test ( Mandrel size-21 mm- 100mm),IS 694
14,ELECTRICAL- CABLES &WIRES,Cables & WIres,Cold Impact test,IS 17048
15,ELECTRICAL- CABLES &WIRES,Cables & Wires,Cold Impact test,IS 694
16,ELECTRICAL- CABLES &WIRES,Cables & Wires,Conductor Resistance Test,IS 17048
17,ELECTRICAL- CABLES &WIRES,Cables & Wires,Conductor Resistance Test,IS 694
18,ELECTRICAL- CABLES &WIRES,Cables & Wires,Flame Retardant Test,IS 17048
19,ELECTRICAL- CABLES &WIRES,Cables & WIres,Flammability Test-Period ofburning after removal of ame,IS 17048
20,ELECTRICAL- CABLES &WIRES,Cables & Wires,Flammability Test-Period ofburning after removal of ame,IS 694
21,ELECTRICAL- CABLES &WIRES,Cables & wires,Flammability Test-Unaectedportion of Cable,IS 17048
22,ELECTRICAL- CABLES &WIRES,Cables & wires,Flammability Test-Unaectedportion of Cable,IS 694
23,ELECTRICAL- CABLES &WIRES,Cables & Wires,Heat Shock Test on Insulation& Sheath,IS 694
24,ELECTRICAL- CABLES &WIRES,Cables & Wires,High Voltage Test,IS 17048
25,ELECTRICAL- CABLES &WIRES,Cables & Wires,High Voltage Test,IS 694
26,ELECTRICAL- CABLES &WIRES,Cables & Wires,Hot Deformation on Insulation& Sheath,IS 17048
27,ELECTRICAL- CABLES &WIRES,Cables & Wires,Hot Deformation test on Insulation & Sheath,IS 694
28,ELECTRICAL- CABLES &WIRES,Cables & Wires,Insulation Resistance Test,IS 17048
29,ELECTRICAL- CABLES &WIRES,Cables & Wires,Loss of mass test on Insulation& Sheath,IS 694
30,ELECTRICAL- CABLES &WIRES,Cables & Wires,Overall Dimension & Thicknessof insulation & sheath,IS 17048
31,ELECTRICAL- CABLES &WIRES,Cables & wires,Overall Dimension & Thicknessof insulation & sheath,IS 694
32,ELECTRICAL- CABLES &WIRES,Cables & Wires,Oxygen Index test oninsulation & sheath,IS 17048
33,ELECTRICAL- CABLES &WIRES,Cables & Wires,Oxygen Index test oninsulation & sheath,IS 694
34,ELECTRICAL- CABLES &WIRES,Cables & Wires,Ozone Resistance Test,IS 17048
35,ELECTRICAL- CABLES &WIRES,Cables & Wires,Shrinkage Test on Insulation &sheath,IS 694
36,ELECTRICAL- CABLES &WIRES,Cables & Wires,Smoke density test,IS 13360 Part 6/ Sec 9
37,ELECTRICAL- CABLES &WIRES,Cables & Wires,Smoke density test,IS 17048
38,ELECTRICAL- CABLES &WIRES,Cables & WIres,Temperature Index test on Insulation & sheath,IS 17048
39,ELECTRICAL- CABLES &WIRES,Cables & Wires,Temperature Index test on Insulation & sheath,IS 694
40,ELECTRICAL- CABLES &WIRES,Cables & Wires,Tensile strength of insulation &sheath before ageing,IS 17048
41,ELECTRICAL- CABLES &WIRES,Cables & Wires,Tensile strength of insulation &sheath before ageing,IS 694
42,ELECTRICAL- CABLES &WIRES,Cables & Wires,Test for Halogen acid gasevaluation,IS 694
43,ELECTRICAL- CABLES &WIRES,Cables & Wires,Thermal Stability Test on Insulation & Sheath,IS 694
