0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRONICS- EMCTEST FACILITY,Electronic Sub Assembly for Automotive parts,1. Discontinuities insupply voltage (1.1 Momentary drop in Supply Voltage. 1.2 Resetbehaviour at voltagedrop. 1.3 Starting prole.1.4 Load dump) 2. Directcurrent supply voltage 3.Over voltage 4. Reversedvoltage 5. Groundreference and supplyoset 6. Open circuit 7.Short circuit protection 8.Slow decrease andincrease of supply voltage,(Withdrawn Standard) ISO16750-2 Third edition
2,ELECTRONICS- EMCTEST FACILITY,Electronic Sub Assembly for Automotive parts,1. Discontinuities insupply voltage (1.1 Momentary drop in Supply Voltage. 1.2 Resetbehaviour at voltagedrop. 1.3 Starting prole.1.4 Load dump) 2.Directcurrent supply voltage 3.Over voltage 4.Reversed voltage 5.Ground reference andsupply oset 6.Opencircuit 7. Short circuitprotection 8.Slowdecrease and increase ofsupply voltage,ISO 16750-2 Fourthedition
3,ELECTRONICS- EMCTEST FACILITY,Electronic Sub Assembly for Automotive parts,1.Discontinuities in supplyvoltage (1.1 Momentarydrop in Supply Voltage.1.2 Reset behaviour atvoltage drop. 1.3 Startingprole) 2.Direct currentsupply voltage 3.Overvoltage 4.Reversedvoltage 5.Groundreference and supplyoset 6.Open circuit 7.Short circuit protection 8.Slow decrease andincrease of supply voltage,(Withdrawn Standard) ISO16750-2 Second edition
4,ELECTRONICS- EMCTEST FACILITY,Electronic Sub Assembly for Automotive parts,Bulk current injection(BCI) - Closed loop,(Withdrawn Standard) ISO11452-4 Fourth edition
5,ELECTRONICS- EMCTEST FACILITY,Electronic Sub Assembly for Automotive parts,Bulk current injection(BCI) - Closed loop,(Withdrawn Standard) ISO11452-4 Third edition
6,ELECTRONICS- EMCTEST FACILITY,Electronic Sub Assembly for Automotive parts,Bulk current injection(BCI) - Open loop,(Withdrawn Standard) ISO11452-4 Fourth edition
7,ELECTRONICS- EMCTEST FACILITY,Electronic Sub Assembly for Automotive parts,Bulk current injection(BCI) - Open loop,(Withdrawn Standard) ISO11452-4 Third edition
8,ELECTRONICS- EMCTEST FACILITY,Electronic Sub Assembly for Automotive parts,Bulk current injectionmethod,AIS 004 (Part 3)( Rev.1 )
9,ELECTRONICS- EMCTEST FACILITY,Electronic Sub Assembly for Automotive parts,Bulk current injectionmethod,ECE-R10 (Rev.5)
10,ELECTRONICS- EMCTEST FACILITY,Electronic Sub Assembly for Automotive parts,Bulk current injectionmethod,ECE-R10 (Rev.6)
11,ELECTRONICS- EMCTEST FACILITY,Electronic Sub Assembly for Automotive parts,Electrical transientconduction along supplylines only - Pulse 1,(Withdrawn Standard) ISO7637-2 Second edition
12,ELECTRONICS- EMCTEST FACILITY,Electronic Sub Assembly for Automotive parts,Electrical transientconduction along supplylines only - Pulse 1,(Withdrawn Standard) ISO7637-2 Second Edition(Amendment 1)
13,ELECTRONICS- EMCTEST FACILITY,Electronic Sub Assembly for Automotive parts,Electrical transientconduction along supplylines only - Pulse 1,ISO 7637-2 Third edition
