0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static watthour meters of accuracy class 0.2 S, 0.5 S andvar-hour meters of accuracy class 0.2 S, 0.5 S and 1 S",Inuence Quantities (Reverse Phase Sequence),IS 14697 Cl. 11.2 & 12.10
2,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static Energy Meters of 0.2 S, 0.5 S, 1 S, 1, 2, and 3 Classes",AC Voltage,IEC 62052-31 Cl. 6.10.4.3.4
3,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static Energy Meters of 0.2 S, 0.5 S, 1 S, 1, 2, and 3 Classes",Initial start-up of the meter,"IEC 62052-11,IEC 62053-22,IEC 62053-23, IEC 62053-24 Cl No. 7.5"
4,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static Energy Meters of 0.2 S, 0.5 S, 1 S, 1, 2, and 3 Classes",Limits of Error,"IEC 62052-11,IEC 62053-22,IEC62053-23, IEC62053-24 Cl.7.9"
5,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static Energy Meters of 0.2 S, 0.5 S, 1 S, 1, 2, and 3 Classes","Limits of error due to inuencequantities (Voltage Variation,Frequency Variation, Reverse Phase Sequence)","IEC 62052-11,IEC 62053-22,IEC 62053-23, IEC 62053-24 Cl.7.10"
6,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static Energy Meters of 0.2 S, 0.5 S, 1 S, 1, 2, and 3 Classes",Meter Constant,"IEC 62052-11,IEC 62053-22,IEC 62053-23, IEC 62053-24 Cl.7.4"
7,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static Energy Meters of 0.2 S, 0.5 S, 1 S, 1, 2, and 3 Classes",No Load Condition,"IEC 62052-11,IEC 62053-22,IEC 62053-23, IEC 62053-24 Cl.7.6"
8,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static Energy Meters of 0.2 S, 0.5 S, 1 S, 1, 2, and 3 Classes",Power Consumption in Current Circuit,"IEC 62052-11,IEC 62053-22,IEC 62053-23, IEC 62053-24 Cl.4.4"
9,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static Energy Meters of 0.2 S, 0.5 S, 1 S, 1, 2, and 3 Classes",Power Consumption in Voltage Circuit,"IEC 62052-11,IEC 62053-22,IEC 62053-23, IEC 62053-24 Cl.4.4"
10,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static Energy Meters of 0.2 S, 0.5 S, 1 S, 1, 2, and 3 Classes",Repeatability of Error,"IEC62052-11, IEC 62053- 22,IEC62053-23, IEC62053-24 Cl.7.8"
11,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static Energy Meters of 0.2 S, 0.5 S, 1 S, 1, 2, and 3 Classes",Starting Current,"IEC 62052-11,IEC 62053-22,IEC 62053-23, IEC 62053-24 Cl.7.7"
12,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static watthour meters of accuracy class 0.2 S, 0.5 S andvar-hour meters of accuracy class 0.2 S, 0.5 S and 1 S",AC High Voltage,IS 14697 Cl.12.7.6.3
13,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static watthour meters of accuracy class 0.2 S, 0.5 S andvar-hour meters of accuracy class 0.2 S, 0.5 S and 1 S",Inuence Quantities(Frequency Variation),IS 14697 Cl. 11.2 & 12.10
14,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static watthour meters of accuracy class 0.2 S, 0.5 S andvar-hour meters of accuracy class 0.2 S, 0.5 S and 1 S",Inuence Quantities (Voltage Variation),IS 14697 Cl. 11.2 & 12.10
15,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static watthour meters of accuracy class 0.2 S, 0.5 S andvar-hour meters of accuracy class 0.2 S, 0.5 S and 1 S",Initial Start-up of the Meter,IS 14697 Cl. 11.4.1 & 12.13
16,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static watthour meters of accuracy class 0.2 S, 0.5 S andvar-hour meters of accuracy class 0.2 S, 0.5 S and 1 S",Insulation Resistance,IS 14697 Cl. 12.7.6.4
17,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static watthour meters of accuracy class 0.2 S, 0.5 S andvar-hour meters of accuracy class 0.2 S, 0.5 S and 1 S",Insulation Resistance,IS 14697 Cl. 12.7.6.4
18,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static watthour meters of accuracy class 0.2 S, 0.5 S andvar-hour meters of accuracy class 0.2 S, 0.5 S and 1 S",Limits of Error,IS 14697 Cl. 11.1
19,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static watthour meters of accuracy class 0.2 S, 0.5 S andvar-hour meters of accuracy class 0.2 S, 0.5 S and 1 S",Meter Constant,IS 14697 Cl. 11.6 & 12.14
20,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static watthour meters of accuracy class 0.2 S, 0.5 S andvar-hour meters of accuracy class 0.2 S, 0.5 S and 1 S",No Load Condition,IS 14697 Cl. 11.4.2 & 12.12
21,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static watthour meters of accuracy class 0.2 S, 0.5 S andvar-hour meters of accuracy class 0.2 S, 0.5 S and 1 S",Power Consumption in Current Circuit,IS 14697 Cl. 9.1.2 & 12.7.1
22,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static watthour meters of accuracy class 0.2 S, 0.5 S andvar-hour meters of accuracy class 0.2 S, 0.5 S and 1 S",Power Consumption in Voltage Circuit,IS 14697 Cl. 9.1.1 & 12.7.1
23,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static watthour meters of accuracy class 0.2 S, 0.5 S andvar-hour meters of accuracy class 0.2 S, 0.5 S and 1 S",Repeatability of Error,IS 14697 Cl. 11.7 & 12.16
24,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static watthour meters of accuracy class 0.2 S, 0.5 S andvar-hour meters of accuracy class 0.2 S, 0.5 S and 1 S",Starting Current,IS 14697 Cl. 11.5 & 12.13
Site Facility,,,,
1,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static watthour meters of accuracy class 0.2 S, 0.5 S andvar-hour meters of accuracy class 0.2 S, 0.5 S and 1 S",Inuence Quantities (Reverse Phase Sequence),IS 14697 Cl. 11.2 & 12.10
2,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static Energy Meters of 0.2 S, 0.5 S, 1 S, 1, 2, and 3 Classes",Initial start-up of the meter,"IEC 62052-11,IEC 62053-22,IEC 62053-23, IEC 62053-24 Cl No. 7.5"
3,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static Energy Meters of 0.2 S, 0.5 S, 1 S, 1, 2, and 3 Classes",Limits of Error,"IEC 62052-11,IEC 62053-22,IEC62053-23, IEC62053-24 Cl.7.9"
4,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static Energy Meters of 0.2 S, 0.5 S, 1 S, 1, 2, and 3 Classes","Limits of error due to inuencequantities (Voltage Variation,Frequency Variation, Reverse Phase Sequence)","IEC 62052-11,IEC 62053-22,IEC 62053-23, IEC 62053-24 Cl.7.10"
5,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static Energy Meters of 0.2 S, 0.5 S, 1 S, 1, 2, and 3 Classes",Meter Constant,"IEC 62052-11,IEC 62053-22,IEC 62053-23, IEC 62053-24 Cl.7.4"
6,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static Energy Meters of 0.2 S, 0.5 S, 1 S, 1, 2, and 3 Classes",No Load Condition,"IEC 62052-11,IEC 62053-22,IEC 62053-23, IEC 62053-24 Cl.7.6"
7,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static Energy Meters of 0.2 S, 0.5 S, 1 S, 1, 2, and 3 Classes",Power Consumption in Current Circuit,"IEC 62052-11,IEC 62053-22,IEC 62053-23, IEC 62053-24 Cl.4.4"
8,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static Energy Meters of 0.2 S, 0.5 S, 1 S, 1, 2, and 3 Classes",Power Consumption in Voltage Circuit,"IEC 62052-11,IEC 62053-22,IEC 62053-23, IEC 62053-24 Cl.4.4"
9,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static Energy Meters of 0.2 S, 0.5 S, 1 S, 1, 2, and 3 Classes",Repeatability of Error,"IEC62052-11, IEC 62053- 22,IEC62053-23, IEC62053-24 Cl.7.8"
10,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static Energy Meters of 0.2 S, 0.5 S, 1 S, 1, 2, and 3 Classes",Starting Current,"IEC 62052-11,IEC 62053-22,IEC 62053-23, IEC 62053-24 Cl.7.7"
11,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static watthour meters of accuracy class 0.2 S, 0.5 S andvar-hour meters of accuracy class 0.2 S, 0.5 S and 1 S",Inuence Quantities(Frequency Variation),IS 14697 Cl. 11.2 & 12.10
12,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static watthour meters of accuracy class 0.2 S, 0.5 S andvar-hour meters of accuracy class 0.2 S, 0.5 S and 1 S",Inuence Quantities (Voltage Variation),IS 14697 Cl. 11.2 & 12.10
13,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static watthour meters of accuracy class 0.2 S, 0.5 S andvar-hour meters of accuracy class 0.2 S, 0.5 S and 1 S",Initial Start-up of the Meter,IS 14697 Cl. 11.4.1 & 12.13
14,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static watthour meters of accuracy class 0.2 S, 0.5 S andvar-hour meters of accuracy class 0.2 S, 0.5 S and 1 S",Limits of Error,IS 14697 Cl. 11.1
15,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static watthour meters of accuracy class 0.2 S, 0.5 S andvar-hour meters of accuracy class 0.2 S, 0.5 S and 1 S",Meter Constant,IS 14697 Cl. 11.6 & 12.14
16,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static watthour meters of accuracy class 0.2 S, 0.5 S andvar-hour meters of accuracy class 0.2 S, 0.5 S and 1 S",No Load Condition,IS 14697 Cl. 11.4.2 & 12.12
17,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static watthour meters of accuracy class 0.2 S, 0.5 S andvar-hour meters of accuracy class 0.2 S, 0.5 S and 1 S",Power Consumption in Current Circuit,IS 14697 Cl. 9.1.2 & 12.7.1
18,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static watthour meters of accuracy class 0.2 S, 0.5 S andvar-hour meters of accuracy class 0.2 S, 0.5 S and 1 S",Power Consumption in Voltage Circuit,IS 14697 Cl. 9.1.1 & 12.7.1
19,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static watthour meters of accuracy class 0.2 S, 0.5 S andvar-hour meters of accuracy class 0.2 S, 0.5 S and 1 S",Repeatability of Error,IS 14697 Cl. 11.7 & 12.16
20,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Static watthour meters of accuracy class 0.2 S, 0.5 S andvar-hour meters of accuracy class 0.2 S, 0.5 S and 1 S",Starting Current,IS 14697 Cl. 11.5 & 12.13
