0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRONICS- EMCTEST FACILITY,Electronic & Electrical Products,Surge Immunity Test,IEC 61000-4-5
2,PHOTOMETRY-LUMINARIES,Self Ballasted LED Lamp for General Lighting Service,Correlated Color Temperature (CCT),"IS 16102 (Part 2, Clause 10.1)"
3,PHOTOMETRY-LUMINARIES,Self Ballasted LED Lamp for General Lighting Service,Lumen Maintenance,"IS 16102 (Part 2, Clause 11.2)"
4,PHOTOMETRY-LUMINARIES,Self Ballasted LED Lamp for General Lighting Service,Luminous Ecacy,"IS 16102 (Part 2, Clause 9.3)"
5,PHOTOMETRY-LUMINARIES,Self Ballasted LED Lamp for General Lighting Service,Luminous Flux,"IS 16102 (Part 2, Clause 9.1)"
6,PHOTOMETRY-LUMINARIES,Solid State Lighting (LED) Products,Chromaticity Coordinates,IES LM 79 (Clause 12)
7,PHOTOMETRY-LUMINARIES,Solid State Lighting (LED) Products,Color Rendering Index(CRI),IES LM 79 (Clause 12)
8,PHOTOMETRY-LUMINARIES,Solid State Lighting (LED) Products,Correlated Color Temperature (CCT),IES LM 79 (Clause 12)
9,PHOTOMETRY-LUMINARIES,Solid State Lighting (LED) Products,Luminous Ecacy,IES LM 79 (Clause 11)
