0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,ELECTRICAL- CABLES &WIRES,PVC Insulated Unsheathed and Sheathed Cables/ Cords With Rigid and Flexible Conductor for Rated Voltages Uptoand Including 1100 V,Elongation at break ofinsulation,"IS 694 Table 1, IS 5831 Cl 4.1,IS 10810 (Part 7)"
2,ELECTRICAL- CABLES &WIRES,PVC Insulated Unsheathed and Sheathed Cables/ Cords With Rigid and Flexible Conductor for Rated Voltages Uptoand Including 1100 V,Thermal Stability,"IS 694 Table 1, IS 5831 Cl 4.1,IS 10810 (Part 60)"
3,ELECTRICAL- CABLES &WIRES,PVC Insulated Unsheathed and Sheathed Cables/ Cords With Rigid and Flexible Conductor for Rated Voltages Uptoand Including 1100 V,Cold Bend,"IS 694 Table 1, IS 5831 Cl 4.1,IS 10810 (Part 20)"
4,ELECTRICAL- CABLES &WIRES,PVC Insulated Unsheathed and Sheathed Cables/ Cords With Rigid and Flexible Conductor for Rated Voltages Uptoand Including 1100 V,Conductor Resistance,"IS 694 Cl 4.2, IS 8130 Cl 7.3, IS10810 (Part 5)"
5,ELECTRICAL- CABLES &WIRES,PVC Insulated Unsheathed and Sheathed Cables/ Cords With Rigid and Flexible Conductor for Rated Voltages Uptoand Including 1100 V,Flammability,"IS 694 Cl 10.4, IS 10810 (Part 53)"
6,ELECTRICAL- CABLES &WIRES,PVC Insulated Unsheathed and Sheathed Cables/ Cords With Rigid and Flexible Conductor for Rated Voltages Uptoand Including 1100 V,Heat Shock,"IS 694 Table 1, IS 10810 (Part 14)"
7,ELECTRICAL- CABLES &WIRES,PVC Insulated Unsheathed and Sheathed Cables/ Cords With Rigid and Flexible Conductor for Rated Voltages Uptoand Including 1100 V,High Voltage at Room Temp,"IS 694 Cl 10.2, IS 10810 (Part 45)"
8,ELECTRICAL- CABLES &WIRES,PVC Insulated Unsheathed and Sheathed Cables/ Cords With Rigid and Flexible Conductor for Rated Voltages Uptoand Including 1100 V,Hot Deformation,"IS 694 Table 1, IS 5831 Cl 4.1,IS 10810 (Part 15)"
9,ELECTRICAL- CABLES &WIRES,PVC Insulated Unsheathed and Sheathed Cables/ Cords With Rigid and Flexible Conductor for Rated Voltages Uptoand Including 1100 V,Insulation Resistance & Volume Resistivity,"IS 694 Table 1, IS 5831 Cl 4.1,IS 10810 (Part 43)"
10,ELECTRICAL- CABLES &WIRES,PVC Insulated Unsheathed and Sheathed Cables/ Cords With Rigid and Flexible Conductor for Rated Voltages Uptoand Including 1100 V,Loss of Mass,"IS 694 Table 1, IS 5831 Cl 4.1,IS 10810 (Part 10)"
11,ELECTRICAL- CABLES &WIRES,PVC Insulated Unsheathed and Sheathed Cables/ Cords With Rigid and Flexible Conductor for Rated Voltages Uptoand Including 1100 V,"Overall Dimension, Thicknessof Insulation & Sheath","IS 694 Cl 9 & 5.3, IS 10810(Part 6)"
12,ELECTRICAL- CABLES &WIRES,PVC Insulated Unsheathed and Sheathed Cables/ Cords With Rigid and Flexible Conductor for Rated Voltages Uptoand Including 1100 V,"Overall Dimension, Thicknessof Insulation & Sheath","IS 694 Cl 9, 5.3, IS 10810 (Part 6)"
13,ELECTRICAL- CABLES &WIRES,PVC Insulated Unsheathed and Sheathed Cables/ Cords With Rigid and Flexible Conductor for Rated Voltages Uptoand Including 1100 V,Shrinkage,"IS 694 Table 1, IS 5831 Cl 4.1,10810 (Part 12)"
14,ELECTRICAL- CABLES &WIRES,PVC Insulated Unsheathed and Sheathed Cables/ Cords With Rigid and Flexible Conductor for Rated Voltages Uptoand Including 1100 V,Tensile Strength at break ofinsulation,"IS 694 Table 1, IS 5831 Cl.4.1,IS 10810 (Part 7)"
15,ELECTRICAL- CABLES &WIRES,PVC Insulated Unsheathed and Sheathed Cables/ Cords With Rigid and Flexible Conductor for Rated Voltages Uptoand Including 1100 V,Thermal Ageing in Air,"IS 694 Table 1, IS 5831 Cl 4.1,IS 10810 (Part 11)"
16,ELECTRICAL- WIRINGACCESSORIES,Non-Rewireable Plug,Checking of Dimensions,IS 1293 Cl 9
17,ELECTRICAL- WIRINGACCESSORIES,Non-Rewireable Plug,Classications,IS 1293 Cl 7
18,ELECTRICAL- WIRINGACCESSORIES,Non-Rewireable Plug,Construction of Plugs and Portable Socket-Outlet,"IS 1293 Cl 14.1,14.2,14.3,14.15,14.24"
19,ELECTRICAL- WIRINGACCESSORIES,Non-Rewireable Plug,Insulation Resistance & Electric Strength,"IS 1293 Cl 17.1,17.2,17.3"
20,ELECTRICAL- WIRINGACCESSORIES,Non-Rewireable Plug,Marking,IS 1293 Cl 8
21,ELECTRICAL- WIRINGACCESSORIES,Non-Rewireable Plug,Mechanical Strength,"IS 1293 Cl 24.2,24.4,24.5,24.10"
22,ELECTRICAL- WIRINGACCESSORIES,Non-Rewireable Plug,Protection against Electric Shock,"IS 1293 Cl 10.1,10.3"
23,ELECTRICAL- WIRINGACCESSORIES,Non-Rewireable Plug,Provision for Earthing,IS 1293 Cl 11.1
24,ELECTRICAL- WIRINGACCESSORIES,Non-Rewireable Plug,Ratings,IS 1293 Cl 6
25,ELECTRICAL- WIRINGACCESSORIES,Non-Rewireable Plug,"Resistance of insulationmaterial to abnormal heat, tore (Glow Wire)",IS 1293 Cl 28.1.1
26,ELECTRICAL- WIRINGACCESSORIES,Non-Rewireable Plug,"Resistance to ageing, toharmful ingress of water and tohumidity","IS 1293 Cl 16.1,16.3"
27,ELECTRICAL- WIRINGACCESSORIES,Non-Rewireable Plug,Resistance to Heat,"IS 1293 Cl 25 .1, 25.4"
28,ELECTRICAL- WIRINGACCESSORIES,Non-Rewireable Plug,Temperature Rise,IS 1293 Cl 19.1
