0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Smart Meters, Class 1",AC High Voltage Test,IS:16444 (Part-1)
2,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Smart Meters, Class 1",Insulation Resistance,IS: 16444 (Part-1)
3,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Smart Meters, Class 1",Limits of Error,IS: 16444 (Part-1)
4,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Smart Meters, Class 1",Meter Constant,IS:16444 (Part-1)
5,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Smart Meters, Class 1",No Load Condition,IS: 16444 (Part-1)
6,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Smart Meters, Class 1",Power Consumption,IS: 16444 (Part-1)
7,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Smart Meters, Class 1",Repeatability of Error,IS: 16444 (Part-1)
8,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Smart Meters, Class 1",Starting Condition,IS: 16444 (Part-1)
9,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Smart Meters, Class-0.5 S",AC High Voltage Test,IS:16444 (Part-2)
10,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Smart Meters, Class-0.5 S",Insulation Resistance Test,IS: 16444 (Part-2)
11,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Smart Meters, Class-0.5 S",Test of Limits of Error,IS: 16444 (Part-2)
12,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Smart Meters, Class-0.5 S",Test of Meter Constant,IS:16444 (Part-2)
13,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Smart Meters, Class-0.5 S",Test of No Load Condition,IS: 16444 (Part-2)
14,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Smart Meters, Class-0.5 S",Test of Power Consumption,IS: 16444 (Part-2)
15,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Smart Meters, Class-0.5 S",Test of Repeatability of Error,IS: 16444 (Part-2)
16,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Smart Meters, Class-0.5 S",Test of Starting Condition,IS: 16444 (Part-2)
17,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Watt Hour Meters, Class-1",AC High Voltage Test,IS 13779
18,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Watt Hour Meters, Class-1",Insulation Resistance Test,IS 13779
19,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Watt Hour Meters, Class-1",Power Consumption,IS 13779
20,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Watt Hour Meters, Class-1",Test of Limits of Error,IS 13779
21,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Watt Hour Meters, Class-1",Test of meter Constant,IS 13779
22,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Watt Hour Meters, Class-1",Test of No Load Condition,IS 13779
23,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Watt Hour Meters, Class-1",Test of Repeatability of Error,IS 13779
24,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Watt Hour Meters, Class-1",Test of Starting Condition,IS 13779
