0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Smart Meters,AC High Voltage Test,IS:16444 (Part-2)
2,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Smart Meters,AC High Voltage Test,IS16444 ( Part 1)
3,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Smart Meters,Insulation Resistance Test,IS: 16444
4,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Smart Meters,Insulation Resistance Test,IS: 16444 (Part-2)
5,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Smart Meters,Test of Limits of Error,IS: 16444
6,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Smart Meters,Test of Limits of Error,IS: 16444 (Part-2)
7,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Smart Meters,Test of Meter Constant,IS:16444
8,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Smart Meters,Test of Meter Constant,IS:16444 (Part-2)
9,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Smart Meters,Test of No Load Condition,IS: 16444
10,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Smart Meters,Test of No Load Condition,IS: 16444 (Part-2)
11,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Smart Meters,Test of Power Consumption,IS: 16444 (Part-2)
12,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Smart Meters,Test of Power Consumption,IS: 16444
13,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Smart Meters,Test of Repeatability of Error,IS: 16444
14,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Smart Meters,Test of Repeatability of Error,IS: 16444 (Part-2)
15,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Smart Meters,Test of Starting Condition,IS: 16444
16,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Smart Meters,Test of Starting Condition,IS: 16444 (Part-2)
17,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Static watt hour meter,Limits of Error,IS 13779 (Cl.11.1)
18,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Static watthour meter,AC High Voltage,IS 13779 (Cl-12.7.6.3)
19,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Static Watthour Meter,Test of Insulation Resistance,IS 13779 (Cl -12.7.6.4)
20,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Static Watthour Meter,Test of Meter Constant,IS 13779 ( Cl-12.15)
21,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Static Watthour Meter,Test of No load condition,IS 13779 (Cl-12.13)
22,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Static watthour Meter,Test of power Consumption,IS 13779 (Cl-12.7.1)
23,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Static watthour Meter,Test of Repeatability oferror,IS 13779 (Cl-12.17)
24,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Static Watthour Meter,Test of starting condition,IS 13779 (Cl-12.14)
