0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Direct Connected Watthour Smart Meter Class 1and 2,AC High Voltage test,Cl. No. 6.10.6 of IS: 16444
2,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Direct Connected Watthour Smart Meter Class 1and 2,Insulation test,Cl. No. 6.10.6 of IS: 16444
3,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Direct Connected Watthour Smart Meter Class 1and 2,Test of limits of Error,Cl. No. 6.12 of IS: 16444
4,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Direct Connected Watthour Smart Meter Class 1and 2,Test of Meter Constant,Cl. No. 6.12 of IS: 16444
5,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Direct Connected Watthour Smart Meter Class 1and 2,Test of No Load Condition,Cl. No. 6.12 of IS: 16444
6,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Direct Connected Watthour Smart Meter Class 1and 2,Test of Power Consumption(Current Ckt.),Cl. No. 6.10.1 of IS: 16444
7,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Direct Connected Watthour Smart Meter Class 1and 2,Test of Power Consumption(Voltage Ckt.),Cl. No. 6.10.1 of IS: 16444
8,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Direct Connected Watthour Smart Meter Class 1and 2,Test of Power Consumption(Voltage Ckt.),Cl. No. 6.10.1 of IS: 16444
9,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Direct Connected Watthour Smart Meter Class 1and 2,Test of Repeatability of Error,Cl. No. 6.12 of IS: 16444
10,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Direct Connected Watthour Smart Meter Class 1and 2,Test of Starting Condition,Cl. No. 6.12 of IS: 16444
11,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC STATIC TRANSFORMER OPERATED WATTHOUR ANDVAR-HOUR METER , CLASS 0.2 S AND 0.5 S",AC High Voltage Test,Cl. No. 12.7.6.3 of IS: 14697
12,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC STATIC TRANSFORMER OPERATED WATTHOUR ANDVAR-HOUR METER , CLASS 0.2 S AND 0.5 S",Insulation Test,Cl. No. 12.7.6.4 of IS: 14697
13,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC STATIC TRANSFORMER OPERATED WATTHOUR ANDVAR-HOUR METER , CLASS 0.2 S AND 0.5 S",Test of Limits of Error,Cl. No. 11.1 of IS: 14697
14,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC STATIC TRANSFORMER OPERATED WATTHOUR ANDVAR-HOUR METER , CLASS 0.2 S AND 0.5 S",Test of Meter Constant,Cl. No. 12.14 of IS: 14697
15,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC STATIC TRANSFORMER OPERATED WATTHOUR ANDVAR-HOUR METER , CLASS 0.2 S AND 0.5 S",Test of no load condition,Cl. No. 12.12 of IS: 14697
16,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC STATIC TRANSFORMER OPERATED WATTHOUR ANDVAR-HOUR METER , CLASS 0.2 S AND 0.5 S",Test of Power Consumption(Current Circuit),Cl. No. 12.7.1 of IS: 14697
17,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC STATIC TRANSFORMER OPERATED WATTHOUR ANDVAR-HOUR METER , CLASS 0.2 S AND 0.5 S",Test of Power Consumption(Voltage Circuit),Cl. No. 12.7.1 of IS: 14697
18,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC STATIC TRANSFORMER OPERATED WATTHOUR ANDVAR-HOUR METER , CLASS 0.2 S AND 0.5 S",Test of Power Consumption(Voltage Circuit),Cl. No. 12.7.1 of IS: 14697
19,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC STATIC TRANSFORMER OPERATED WATTHOUR ANDVAR-HOUR METER , CLASS 0.2 S AND 0.5 S",Test of Repeatability of Error,Cl. No. 12.16 of IS: 14697
20,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC STATIC TRANSFORMER OPERATED WATTHOUR ANDVAR-HOUR METER , CLASS 0.2 S AND 0.5 S",Test of Starting Condition,Cl. No. 12.13 of IS: 14697
21,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC STATIC WATT-HOUR METERS CLASS 1.0 & 2.0,AC High Voltage Test,Cl. No. 12.7.6.3 of IS:13779
22,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC STATIC WATT-HOUR METERS CLASS 1.0 & 2.0,Insulation Test,Cl. No. 12.7.6.4 of IS:13779
23,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC STATIC WATT-HOUR METERS CLASS 1.0 & 2.0,Test Of Limits Of Error,Cl. No. 11.1 of IS:13779
24,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC STATIC WATT-HOUR METERS CLASS 1.0 & 2.0,Test Of Meter Constant,Cl. No. 12.15 of IS :13779
25,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC STATIC WATT-HOUR METERS CLASS 1.0 & 2.0,Test Of No Load Condition,Cl. No. 12.13 of IS:13779
26,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC STATIC WATT-HOUR METERS CLASS 1.0 & 2.0,Test of Power Consumption(Current Circuit),IS: 13779 (Cl. No. 12.7.1)
27,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC STATIC WATT-HOUR METERS CLASS 1.0 & 2.0,Test of Power Consumption(Voltage Circuit),IS: 13779 (Cl. No. 12.7.1)
28,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC STATIC WATT-HOUR METERS CLASS 1.0 & 2.0,Test of Power Consumption(Voltage Circuit),Cl. No. 12.7.1 of IS: 13779
29,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC STATIC WATT-HOUR METERS CLASS 1.0 & 2.0,Test Of Repeatability Of Error,Cl. No. 12.17 of IS 13779
30,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC STATIC WATT-HOUR METERS CLASS 1.0 & 2.0,Test Of Starting Condition,Cl. No. 12.14 of IS 13779
31,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC. Static Transformer Operated Watthour & VAR-Hour Smart Meter Class 0.2s and 0.5s & 1.0s,AC High Voltage test,Cl. No. 6.10.6 of IS: 16444(Part-2)
32,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC. Static Transformer Operated Watthour & VAR-Hour Smart Meter Class 0.2s and 0.5s & 1.0s,Insulation Test,Cl. No. 6.10.6 of IS: 16444(Part-2)
33,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC. Static Transformer Operated Watthour & VAR-Hour Smart Meter Class 0.2s and 0.5s & 1.0s,Test of limits of Error,Cl. No. 6.12 of IS: 16444(Part-2)
34,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC. Static Transformer Operated Watthour & VAR-Hour Smart Meter Class 0.2s and 0.5s & 1.0s,Test of Meter Constant,Cl. No. 6.12 of IS: 16444(Part-2)
35,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC. Static Transformer Operated Watthour & VAR-Hour Smart Meter Class 0.2s and 0.5s & 1.0s,Test of No Load condition,Cl. No. 6.12 of IS: 16444(Part-2)
36,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC. Static Transformer Operated Watthour & VAR-Hour Smart Meter Class 0.2s and 0.5s & 1.0s,Test of Power Consumption(Current Circuit),Cl. No. 6.10.1 of IS: 16444(Part-2)
37,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC. Static Transformer Operated Watthour & VAR-Hour Smart Meter Class 0.2s and 0.5s & 1.0s,Test of Power Consumption(Voltage Circuit),Cl. No. 6.10.1 of IS: 16444(Part-2)
38,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC. Static Transformer Operated Watthour & VAR-Hour Smart Meter Class 0.2s and 0.5s & 1.0s,Test of Power Consumption(Voltage Circuit),Cl. No. 6.10.1 of IS: 16444(Part-2)
39,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC. Static Transformer Operated Watthour & VAR-Hour Smart Meter Class 0.2s and 0.5s & 1.0s,Test of Repeatability of Error,Cl. No. 6.12 of IS: 16444(Part-2)
40,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC. Static Transformer Operated Watthour & VAR-Hour Smart Meter Class 0.2s and 0.5s & 1.0s,Test of Starting Condition,Cl. No. 6.12 of IS: 16444(Part-2)
