0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Smart Meters (Class-1),AC High Voltage Test,"IS:16444 (Part-1), Cl-6.10.6"
2,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Smart Meters (Class-1),Insulation Resistance Test,"IS:16444 (Part-1), Cl-6.10.6"
3,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Smart Meters (Class-1),Test of Limits of Error,"IS:16444 (Part-1), Cl- 6.12"
4,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Smart Meters (Class-1),Test of Meter Constant,"IS: 16444 (Part-1),Cl.-6.12"
5,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Smart Meters (Class-1),Test of No Load Condition,"IS: 16444 (Part-1),Cl.-6.12"
6,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Smart Meters (Class-1),Test of Power Consumption,"IS: 16444 (Part-1),Cl.-6.10.1"
7,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Smart Meters (Class-1),Test of Repeatability of Error,"IS: 16444 (Part-1),Cl.-6.12"
8,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Smart Meters (Class-1),Test of Starting Condition,"IS: 16444 (Part-1),Cl.-6.12"
9,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Watthour meters (Accuracy Class 1.0),AC High Voltage Test,"IS 13779, Cl.- 12.7.6.3"
10,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Watthour meters (Accuracy Class 1.0),Insulation Resistance Test,"IS 13779, Cl.- 12.7.6.4"
11,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Watthour meters (Accuracy Class 1.0),Test of Limits of Error,"IS 13779, Cl.-11.1"
12,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Watthour meters (Accuracy Class 1.0),Test of Meter Constant,"IS 13779, Cl. 12.15"
13,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Watthour meters (Accuracy Class 1.0),Test of No Load Condition,"IS 13779, Cl. 12.13"
14,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Watthour meters (Accuracy Class 1.0),Test of Power Consumption,"IS: 13779, Cl. 6.10.1"
15,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Watthour meters (Accuracy Class 1.0),Test of Repeatability of Error,"IS 13779, Cl. 12.17"
16,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Watthour meters (Accuracy Class 1.0),Test of Starting Condition,"IS 13779, Cl. 12.14"
