0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Smart Meters (Class 1),AC High Voltage Test,IS 16444 (Part-1)
2,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Smart Meters (Class 1),Insulation Resistance Test,IS 16444 (Part-1)
3,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Smart Meters (Class 1),Limits of Error,IS 16444 (Part-1)
4,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Smart Meters (Class 1),Meter Constant,IS 16444 (Part-1)
5,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Smart Meters (Class 1),No Load Condition,IS 16444 (Part-1)
6,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Smart Meters (Class 1),Power Consumption,IS 16444 (Part-1)
7,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Smart Meters (Class 1),Repeatability of Error,IS 16444 (Part-1)
8,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Smart Meters (Class 1),Test of Starting Condition,IS 16444 (Part-1)
9,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Static Energy Meter (Class 1.0),AC High Voltage,IS 13779
10,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Static Energy Meter (Class 1.0),Insulation Resistance Test,IS 13779
11,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Static Energy Meter (Class 1.0),Limits of Error,IS 13779
12,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Static Energy Meter (Class 1.0),Meter Constant,IS 13779
13,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Static Energy Meter (Class 1.0),No Load Condition,IS 13779
14,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Static Energy Meter (Class 1.0),Power Consumption,IS 13779
15,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Static Energy Meter (Class 1.0),Repeatability Of Error,IS 13779
16,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Static Energy Meter (Class 1.0),Test of starting condition,IS 13779
