0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Direct Connected Watthour Smart Meter Class 1and 2,AC High Voltage Test,IS:16444 (Part -1)(Cl. No.6.10.6)
2,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Direct Connected Watthour Smart Meter Class 1and 2,Insulation Test,IS:16444 (Part -1)(Cl. No.6.10.6)
3,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Direct Connected Watthour Smart Meter Class 1and 2,Test of Limits of Error,IS:16444 (Part -1) (Cl. No. 6.12)
4,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Direct Connected Watthour Smart Meter Class 1and 2,Test of Meter Constant,IS:16444 (Part -1)(Cl. No. 6.12)
5,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Direct Connected Watthour Smart Meter Class 1and 2,Test of No Load Condition,IS:16444 (Part -1) (Cl. No. 6.12)
6,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Direct Connected Watthour Smart Meter Class 1and 2,Test of Power Consumption(Current circuit-VA),IS:16444 (Part -1)(Cl. No.6.10.1)
7,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Direct Connected watthour Smart Meter Class 1and 2,Test of Power Consumption(Voltage circuit- VA),IS:16444 (Part -1)(Cl.No.6.10.1)
8,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Direct Connected Watthour Smart Meter Class 1and 2,Test of Power Consumption(Voltage circuit- W),IS:16444 (Part -1)(Cl. No.6.10.1)
9,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Direct Connected Watthour Smart Meter Class 1and 2,Test of Repeatability of Error,IS:16444 (Part -1)(Cl. No. 6.12)
10,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Direct Connected Watthour Smart Meter Class 1and 2,Test of Starting Condition,IS:16444 (Part -1)(Cl. No. 6.12)
11,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Transformer Operated Watthour & VAR-Hour Smart Meter Class 0.2s and 0.5s & 1.0s,AC High Voltage Test,IS:16444 (Part-2) (Cl. No.6.10.6)
12,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Transformer Operated Watthour & VAR-Hour Smart Meter Class 0.2s and 0.5s & 1.0s,Insulation Test,IS:16444(Part-2) (Cl. No.6.10.6)
13,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Transformer Operated Watthour & VAR-Hour Smart Meter Class 0.2s and 0.5s & 1.0s,Test of No Load Condition,IS:16444(Part-2) (Cl. No. 6.12)
