0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Single Phase / Three Phase Energy Meter, Class-I",AC High Voltage Test,IS 13779
2,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Single Phase / Three Phase Energy Meter, Class-I",Insulation Resistance Test,IS 13779
3,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Single Phase / Three Phase Energy Meter, Class-I",Test of Limits of Error,IS 13779
4,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Single Phase / Three Phase Energy Meter, Class-I",Test of Meter Constant,IS 13779
5,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Single Phase / Three Phase Energy Meter, Class-I",Test of No Load Condition,IS 13779
6,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Single Phase / Three Phase Energy Meter, Class-I",Test of Power Consumption,IS 13779
7,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Single Phase / Three Phase Energy Meter, Class-I",Test of Repeatability of Error,IS 13779
8,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Single Phase / Three Phase Energy Meter, Class-I",Test of Starting Condition,IS 13779
9,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Single Phase / Three Phase Smart Meter, Class-I",AC High Voltage Test,IS 16444 (Part-1)
10,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Single Phase / Three Phase Smart Meter, Class-I",Insulation Resistance Test,IS 16444 (Part-1)
11,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Single Phase / Three Phase Smart Meter, Class-I",Test of Limits of Error,IS 16444 (Part-1)
12,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Single Phase / Three Phase Smart Meter, Class-I",Test of Meter Constant,IS 16444 (Part-1)
13,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Single Phase / Three Phase Smart Meter, Class-I",Test of No Load Condition,IS 16444 (Part-1)
14,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Single Phase / Three Phase Smart Meter, Class-I",Test of Power Consumption,IS 16444 (Part-1)
15,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Single Phase / Three Phase Smart Meter, Class-I",Test of Repeatability of Error,IS 16444 (Part-1)
16,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Single Phase / Three Phase Smart Meter, Class-I",Test of Starting Condition,IS 16444 (Part-1)
17,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution Transformer of rating up to 1000 k VAand voltage up to 33 k V,Adhesion by Tape Test,IS 1180 (Part-1)
18,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution Transformer of rating up to 1000 k VAand voltage up to 33 k V,Induced Over-Voltage Withstand Test,IS 1180 (Part-1)
19,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution Transformer of rating up to 1000 k VAand voltage up to 33 k V,Magnetic Balance Test,CBIP 317
20,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution Transformer of rating up to 1000 k VAand voltage up to 33 k V,Measurement of Insulation Resistance,IS 1180 (Part-1)
21,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution Transformer of rating up to 1000 k VAand voltage up to 33 k V,Measurement of No-load Loss & Current,IS 1180 (Part-1)
22,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution Transformer of rating up to 1000 k VAand voltage up to 33 k V,Measurement of Short Circuit Impedance and Load Loss at 50% and 100% Load,IS 1180 (Part-1)
23,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution Transformer of rating up to 1000 k VAand voltage up to 33 k V,Measurement of Voltage Ratio & Check of Phase Displacement,IS 1180 (Part-1)
24,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution Transformer of rating up to 1000 k VAand voltage up to 33 k V,Measurement of Winding Resistance,IS 1180 (Part 1 )Amendment No. 1 & 2
25,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution Transformer of rating up to 1000 k VAand voltage up to 33 k V,No Load current at 112.5% Voltage,IS 1180 (Part-1)
26,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution Transformer of rating up to 1000 k VAand voltage up to 33 k V,Oil Break Down Voltage Test,IS 1180 (Part-1)
27,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution Transformer of rating up to 1000 k VAand voltage up to 33 k V,Oil Leakage Test,IS 1180 (Part-1)
28,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution Transformer of rating up to 1000 k VAand voltage up to 33 k V,Pressure Test,IS 1180 (Part-1)
29,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution Transformer of rating up to 1000 k VAand voltage up to 33 k V,Separate Source Voltage Withstand Test,IS 1180 (Part-1)
30,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution Transformer of rating up to 1000 k VAand voltage up to 33 k V,Temperature Rise Test,IS 1180 (Part-1)
