0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- ELECTRICALINDICATING & RECORDINGINSTRUMENTS,AC Static Watthour Meter (Class 1.0),AC High Voltage,IS 13779
2,ELECTRICAL- ELECTRICALINDICATING & RECORDINGINSTRUMENTS,AC Static Watthour Meter (Class 1.0),Insulation Resistance,IS 13779
3,ELECTRICAL- ELECTRICALINDICATING & RECORDINGINSTRUMENTS,AC Static Watthour Meter (Class 1.0),Limits of Error,IS 13779
4,ELECTRICAL- ELECTRICALINDICATING & RECORDINGINSTRUMENTS,AC Static Watthour Meter (Class 1.0),Meter Constant,IS 13779
5,ELECTRICAL- ELECTRICALINDICATING & RECORDINGINSTRUMENTS,AC Static Watthour Meter (Class 1.0),No Load Conditions,IS 13779
6,ELECTRICAL- ELECTRICALINDICATING & RECORDINGINSTRUMENTS,AC Static Watthour Meter (Class 1.0),Power Consumption,IS 13779
7,ELECTRICAL- ELECTRICALINDICATING & RECORDINGINSTRUMENTS,AC Static Watthour Meter (Class 1.0),Repeatability of Error,IS 13779
8,ELECTRICAL- ELECTRICALINDICATING & RECORDINGINSTRUMENTS,AC Static Watthour Meter (Class 1.0),Starting Conditions,IS 13779
9,ELECTRICAL- ELECTRICALINDICATING & RECORDINGINSTRUMENTS,Smart Meters (Class-1.0),AC High Voltage,IS:16444 (Part-1)
10,ELECTRICAL- ELECTRICALINDICATING & RECORDINGINSTRUMENTS,Smart Meters (Class-1.0),Insulation Resistance,IS:16444 (Part-1)
11,ELECTRICAL- ELECTRICALINDICATING & RECORDINGINSTRUMENTS,Smart Meters (Class-1.0),Limits of Error,IS:16444 (Part-1)
12,ELECTRICAL- ELECTRICALINDICATING & RECORDINGINSTRUMENTS,Smart Meters (Class-1.0),Meter Constant,IS:16444 (Part-1)
13,ELECTRICAL- ELECTRICALINDICATING & RECORDINGINSTRUMENTS,Smart Meters (Class-1.0),No Load Conditions,IS:16444 (Part-1)
14,ELECTRICAL- ELECTRICALINDICATING & RECORDINGINSTRUMENTS,Smart Meters (Class-1.0),Power Consumption,IS:16444 (Part-1)
15,ELECTRICAL- ELECTRICALINDICATING & RECORDINGINSTRUMENTS,Smart Meters (Class-1.0),Repeatability of Error,IS:16444 (Part-1)
16,ELECTRICAL- ELECTRICALINDICATING & RECORDINGINSTRUMENTS,Smart Meters (Class-1.0),Starting Conditions,IS:16444 (Part-1)
