0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CABLES& WIRES,AB Cable for working voltages upto and including 1100 Volt,High Voltage Test,IS 14255
2,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables,Insulation Resistance Test,IS 14255
3,ELECTRICAL- CABLES& WIRES,Aerial bunched cables for working voltages uptoand including 1100 V,Elongation of messengercable,IS 14255
4,ELECTRICAL- CABLES& WIRES,All Aluminium Alloy wire,Breaking Load,IS 14255
5,ELECTRICAL- CABLES& WIRES,Aluminium conductor/ All Aluminium Alloy Conductor,Resistance Test,IS 14255
6,ELECTRICAL- CABLES& WIRES,Aluminium Wires / messenger conductor,Tensile Strength andelongation,IS 14255
7,ELECTRICAL- CABLES& WIRES,XLPE,Hot Set Test (Elongationunder load),IS 14255
8,ELECTRICAL- CABLES& WIRES,XLPE,Hot Set Test (Permanent Elongation Set),IS 14255
9,ELECTRICAL- CABLES& WIRES,XLPE and PVC insulation,Tensile Strength,IS 14255
10,ELECTRICAL- CABLES& WIRES,XLPE Insulated PVC Sheathed Cable for workingvoltage upto and including 11 k V,High Voltage Test,IS 7098 (Part 2)
11,ELECTRICAL- CABLES& WIRES,XLPE Insulated PVC Sheathed Cable for workingvoltage upto and including 11 k V,Resistance Test,IS 7098 (Part 2)
12,ELECTRICAL- CABLES& WIRES,"XLPE, PVC and PE",Elongation at Break,IS 14255
13,ELECTRICAL- CABLES& WIRES,XLPE/PVC Insulation,Thickness,IS 14255
