0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for working voltages up to andincluding 1100 V,Elongation of XLPE Insulation,"IS 14255 : 1995 + AMD 1 Cl.No. 10.1.d.i,Table 2,IS10810(P-7)"
2,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for working voltages up to andincluding 1100 V,Ageing Test in Air Oven of Insulation and sheath,"IS 14255 : 1995 + AMD 1 Cl.No. 10.1.c.ii, 10.2.g, 10.1 c (i) ,IS 10810 (P-11)"
3,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for working voltages up to andincluding 1100 V,Bending Test,"IS 14255 : 1995 + AMD 1 Cl.No. 10.4, 11.4,IS 10810 (Part 50)"
4,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for working voltages up to andincluding 1100 V,Breaking load for main &messenger Conductor,"IS 14255 : 1995 + AMD1 Cl.No.10.1.a.i, 10.2.c Table 3:,IS 10810(P-2)"
5,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for working voltages up to andincluding 1100 V,Carbon Black Content for PE,"IS 14255 : 1995 + AMD 1 Cl.No. 10.1.C.Vi,Cl. No.10.1.d.iii,IS 10810( P- 32)"
6,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for working voltages up to andincluding 1100 V,Conductor Resistance Test,"IS 14255 : 1995 + AMD 1 Cl no.10.3a, 10.2e, 10.1a iii, 10.1biii) IS 8130 : 2013,, IS 10810(P-5)"
7,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for working voltages up to andincluding 1100 V,Elongation test on Messenger Conductor,"IS 14255 : 1995 + AMD1 Cl.No.10.1.b.ii, 10.2.d,CL.No 11.3:,IS 10810(P-1)"
8,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for working voltages up to andincluding 1100 V,Environmental stress cracking,"IS 14255 : 1995 + AMD 1 Cl.No. 10.1.d.v,IS 10810(P-29)"
9,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for working voltages up to andincluding 1100 V,High Voltage Test at Roomtemperature,"IS 14255 : 1995 + AMD 1 Cl.No. 10.1g, 10.2k, 10.3b, 11.2,15.1 g,IS 10810 (P-45)"
10,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for working voltages up to andincluding 1100 V,Hot set test,"IS 14255 : 1995 + AMD 1 Cl.No. 10.1.c.iii, 10.2.h,IS 10810 Part 30"
11,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for working voltages up to andincluding 1100 V,Insulation resistance (volumeresistivity test),"IS 14255 : 1995 + AMD 1 Cl.No. 10.2.j, 10.1.f, IS 10810(P-43)"
12,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for working voltages up to andincluding 1100 V,Shrinkage Test,"IS 14255 : 1995 + AMD 1 Cl No 10.1.c.iv, IS 10810 (P-12)"
13,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for working voltages up to andincluding 1100 V,Tensile strength for XLPEInsulation,"IS 14255 : 1995 + AMD 1 Cl.No.10.1.c.i, 10.2.g,10.1.c.ii,Table 1 , IS 10810(P-7)"
