0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL-CORROSION TESTS,Control Switch/Handle Bar Switch,Contamination Test,IS 10250
2,CHEMICAL-CORROSION TESTS,Control Switch/Handle Bar Switch,Corrosion Resistance Test,IS 10250
3,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Control Switch/Handle Bar Switch,Vibration Test,IS/IEC 60068-2-6
4,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Control Switch/Handle Bar Switch,Cold Test,IS/IEC 60068-2-1
5,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Control Switch/Handle Bar Switch,Damp Test (Cycling Test),IS 9000 (Part 5/Sec 1 & 2)
6,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Control Switch/Handle Bar Switch,Dielectric Strength (AC),IEC 60243-1
7,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Control Switch/Handle Bar Switch,Drop Test,IS 9000 (Part 7/Sec 3)
8,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Control Switch/Handle Bar Switch,Dry Heat Test,IS 9000 (Part 3/Sec 1 to 5)
9,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Control Switch/Handle Bar Switch,Dry Heat Test,IS 9000 (Part 3/Sec 1 to 5)
10,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Control Switch/Handle Bar Switch,Dust Test,IS 9000 (Part 12)
11,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Control Switch/Handle Bar Switch,Endurance Test,SAE J 1167
12,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Control Switch/Handle Bar Switch,Insulation Resistance(Megger),ISO 16750-2
13,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Control Switch/Handle Bar Switch,Rapid Change of Temperature Test,IS/IEC 60068 (Part 2/Sec 14)
14,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Control Switch/Handle Bar Switch,Shock Test,IS 9000 (Part 7/Sec 1)
15,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Control Switch/Handle Bar Switch,Spray Test,JIS D 0203
16,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Control Switch/Handle Bar Switch,Water Immersion,IS/IEC 60068-2-17
