0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Direct Connected Watthour Smart Meter Single /Three Phase, Class-1 and Class- 2",Insulation resistance test,IS 16444 (Part 1) Cl. No. 6.10.6
2,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Direct Connected Watthour Smart Meter Single /Three Phase, Class-1 and Class-2",AC High Voltage Test,IS 16444 (Part 1) Cl. No. 6.10
3,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Direct Connected Watthour Smart Meter, Single /Three phase, Class-1 and Class-2",Limits of Error,IS 16444 (Part 1) Cl. No. 6.12
4,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Direct Connected Watthour Smart Meter, Single /Three phase, Class-1 and Class-2",Meter Constant,IS 16444 (Part 1) Cl. No. 6.12
5,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Direct Connected Watthour Smart Meter, Single /Three phase, Class-1 and Class-2",No-Load Condition,IS 16444 (Part 1) Cl. No. 6.12
6,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Direct Connected Watthour Smart Meter, Single /Three phase, Class-1 and Class-2",Power Consumption (Current Circuit),IS 16444 (Part 1) Cl. No.6.10.1.2
7,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Direct Connected Watthour Smart Meter, Single /Three phase, Class-1 and Class-2",Repeatability of Error,IS 16444 (Part 1) Cl. No. 6.12
8,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Direct Connected Watthour Smart Meter, Single /Three phase, Class-1 and Class-2",Starting Condition,IS 16444 (Part 1) Cl. No. 6.12
9,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Direct Connected Watthour Smart Meter, Single /Three phase, Class-1 and Class-2",Power Consumption (Voltage Circuit),IS 16444 (Part 1) Cl. No.6.10.1.1
10,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Watt Hour Meter, Single / Three phase, Class-1and Class-2",AC High voltage Test,IS 13779 Cl. No. 12.7.6.3
11,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Watt Hour Meter, Single / Three phase, Class-1and Class-2",Insulation resistance test,IS 13779 Cl. No. 12.7.6.4
12,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Watt Hour Meter, Single / Three phase, Class-1and Class-2",Limits of Error,IS 13779 Cl. No. 11.1
13,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Watt Hour Meter, Single / Three phase, Class-1and Class-2",Meter Constant,IS 13779 Cl. No. 12.14
14,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Watt Hour Meter, Single / Three phase, Class-1and Class-2",No-Load Condition,IS 13779 Cl. No. 12.13
15,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Watt Hour Meter, Single / Three phase, Class-1and Class-2",Power Consumption (Current Circuit),IS 13779 Cl. No. 9.1.2 & 12.7.1
16,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Watt Hour Meter, Single / Three phase, Class-1and Class-2",Repeatability of Error,IS 13779 Cl. No.12.17
17,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Watt Hour Meter, Single / Three phase, Class-1and Class-2",Starting Condition,IS 13779 Cl. No. 12.14
18,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Watt Hour Meter, Single / Three phase, Class-1and Class-2",Power Consumption (Voltage Circuit),IS 13779 Cl. No. 9.1.1 & 12.7.1
