0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL- METALLICCOATINGS &TREATMENTSOLUTIONS,Galvanized Steel Products,Adhesion of Galvanized Coating,IS 2629 (Clause 6.4.1)
2,CHEMICAL- METALLICCOATINGS &TREATMENTSOLUTIONS,Galvanized Steel Products,Mass of Galvanized Coating,IS 6745 (Clause 5)
3,CHEMICAL- METALLICCOATINGS &TREATMENTSOLUTIONS,Galvanized Steel Products,Uniformity of Zinc Coating,IS 2633
4,CHEMICAL- METALS &ALLOYS,Aluminium Alloy,Iron (Fe),ASTM E1251
5,CHEMICAL- METALS &ALLOYS,Aluminium Alloy,Silicon (Si),ASTM E1251
6,CHEMICAL- METALS &ALLOYS,Aluminium Alloy,Titanium (Ti),ASTM E1251
7,CHEMICAL- METALS &ALLOYS,Low Alloy Steel,Carbon (C),IS 8811
8,CHEMICAL- METALS &ALLOYS,Low Alloy Steel,Manganese (Mn),IS 8811
9,CHEMICAL- METALS &ALLOYS,Low Alloy Steel,Phosphorus (P),IS 8811
10,CHEMICAL- METALS &ALLOYS,Low Alloy Steel,Silicon (Si),IS 8811
11,CHEMICAL- METALS &ALLOYS,Low Alloy Steel,Sulphur (S),IS 8811
12,CHEMICAL- METALS &ALLOYS,Low Alloy Steel,Vanadium (V),IS 8811
13,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminium Compression Type D/ End Clamp for ACSR/ AAC/ AAAC Conductors,D.C. Electric Resistance,IS 2121 (Part 2)
14,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminium Mid Span Compression Joint for ACSR/AAC/ AAAC/ HTLS Conductors,D.C. Electric Resistance,IS 2121 (Part 2)
15,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminium Mid Span Compression Joint for ACSR/AAC/ AAAC/ HTLS Conductors,Visual Testing,IS 2121 (Part 2)
16,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminium Mid Span Compression Joint for ACSR/AAC/ AAAC/ HTLS/ Conductors,"Dimension (Length, Inner Diameter, Outer Diameter)",IS 2121 (Part 2)
17,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminum Repair Sleeves,D.C. Electric Resistance,IS 2121 (Part 2)
18,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminum Repair Sleeves,"Dimension (Length, Inner Diameter, Outer Diameter)",IS 2121 (Part 2)
19,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminum Repair Sleeves,Visual Testing,IS 2121 (Part 2)
20,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Electrical Power Connectors/ T-Connector,Temperature Rise Test,IS 5561 (Clause 13)
21,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Insulator Hardware Fittings,"Dimension (Length,Width, Hole Diameter,Outer Diameter)",IS 2486 (Part 2)
22,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Insulator Hardware Fittings,Mechanical Load Test,IS 2486 (Part 1)
