0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CELLS &BATTERIES,"Secondary Cells and Batteries containing Alkalineor other non-acid Electrolyte-Safety Requirements for Portable Sealed Secondary Cells and for Batteries made from them, for usein Portable Application Part 1: Nickel System",Assembly of Cells intobatteries,IEC 62133-1 Clause 5.6
2,ELECTRICAL- CELLS &BATTERIES,"Secondary Cells and Batteries containing Alkalineor other non-acid Electrolyte-Safety Requirements for Portable Sealed Secondary Cells and for Batteries made from them, for usein Portable Application Part 1: Nickel System",Insulation and Wiring,IS 16046-1 Clause 5.2
3,ELECTRICAL- CELLS &BATTERIES,"Secondary Cells and Batteries containing Alkalineor other non-acid Electrolyte-Safety Requirements for Portable Sealed Secondary Cells and for Batteries made from them, for usein Portable Application Part 1: Nickel System","Temperature, voltage andcurrent management",IEC 62133-1 Clause 5.4
4,ELECTRICAL- CELLS &BATTERIES,"Secondary Cells and Batteries containing Alkalineor other non-acid Electrolyte-Safety Requirements for Portable Sealed Secondary Cells and for Batteries made from them, for usein Portable Application Part 1: Nickel System","Temperature, voltage andcurrent management",IS 16046-1 Clause 5.4
5,ELECTRICAL- CELLS &BATTERIES,"Secondary Cells and Batteries containing Alkalineor other non-acid Electrolyte-Safety Requirements for Portable Sealed Secondary Cells and for Batteries made from them, for usein Portable Application Part 1: Nickel System",Terminal contacts,IEC 62133-1 Clause 5.5
6,ELECTRICAL- CELLS &BATTERIES,"Secondary Cells and Batteries containing Alkalineor other non-acid Electrolyte-Safety Requirements for Portable Sealed Secondary Cells and for Batteries made from them, for usein Portable Application Part 1: Nickel System",Terminal contacts,IS 16046-1 Clause 5.5
7,ELECTRICAL- CELLS &BATTERIES,"Secondary Cells and Batteries containing Alkalineor other non-acid Electrolyte-Safety Requirements for Portable Sealed Secondary Cells and for Batteries made from them, for usein Portable Application Part 1: Nickel System",Venting,IEC 62133-1 Clause 5.3
8,ELECTRICAL- CELLS &BATTERIES,"Secondary Cells and Batteries containing Alkalineor other non-acid Electrolyte-Safety Requirements for Portable Sealed Secondary Cells and for Batteries made from them, for usein Portable Application Part 1: Nickel System",Venting,IS 16046-1 Clause 5.3
9,ELECTRICAL- CELLS &BATTERIES,"Secondary Cells and Batteries containing Alkalineor other non-acid Electrolyte-Safety Requirements for Portable Sealed Secondary Cells and for Batteries made from them, for usein Portable Application Part 1: Nickel System",Assembly of Cells intobatteries,IS 16046-1 Clause 5.6
10,ELECTRICAL- CELLS &BATTERIES,"Secondary Cells and Batteries containing Alkalineor other non-acid Electrolyte-Safety Requirements for Portable Sealed Secondary Cells and for Batteries made from them, for usein Portable Application Part 1: Nickel System",Case stress at highambient temperature(batteries),IEC 62133-1 Clause 7.2.3
11,ELECTRICAL- CELLS &BATTERIES,"Secondary Cells and Batteries containing Alkalineor other non-acid Electrolyte-Safety Requirements for Portable Sealed Secondary Cells and for Batteries made from them, for usein Portable Application Part 1: Nickel System",Case stress at highambient temperature(batteries),IS 16046-1 Clause 7.2.3
