0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,CHEMICAL- CORROSIONTESTS,"Automotive, Electrical & Electronics Products, Painted &Coated Products / Panels",Cyclic Salt Spray Test,SOP-39 dated 22.03.2024
2,CHEMICAL- CORROSIONTESTS,"Automotive, Electrical & Electronics Products, Painted &Coated Products / Panels",Salt Fog,MIL 810 - H {Clause No. 509.7}
3,CHEMICAL- CORROSIONTESTS,"Automotive, Electrical & Electronics Products, Painted &Coated Products / Panels, Metallic and Non Metallic Coatingon Ferrous, Metallic and Non Metallic Material, decorativecoating products",Copper Accelerated Acetic Acid Salt Spray (CASS) Test,ASTM B368
4,CHEMICAL- CORROSIONTESTS,"Automotive, Electrical & Electronics Products, Painted &Coated Products / Panels, Metallic and Non Metallic Coatingon Ferrous, Metallic and Non Metallic Material, decorativecoating products",Copper Accelerated Acetic Acid Salt Spray (CASS) Test,ISO 9227
8,CHEMICAL- CORROSIONTESTS,"Automotive, Electrical &Electronics Products, Painted &Coated Products /Panels, Metallic and Non Metallic Coatingon Ferrous, Metallic and Non Metallic Material, decorativecoating products",Acetic Acid Salt Spray (AASS)Test,ASTM G85- Annex A1
9,CHEMICAL- CORROSIONTESTS,"Automotive, Electrical &Electronics Products, Painted &Coated Products /Panels, Metallic and Non Metallic Coatingon Ferrous, Metallic and Non Metallic Material, decorativecoating products",Acetic Acid Salt Spray (AASS)Test,JIS Z2371
10,CHEMICAL- CORROSIONTESTS,"Automotive, Electrical &Electronics Products, Painted &Coated Products /Panels, Metallicand Non Metallic Coatingon Ferrous, Metallic",Copper Accelerated Acetic Acid Salt Spray (CASS) Test,JIS Z2371
11,CHEMICAL- CORROSIONTESTS,Metals and Metallic Products,Resistance to corrosion,JIS Z2371
12,CHEMICAL- CORROSIONTESTS,Metals and Metallic Products,Cyclic corrosion Test,GMW 14872
13,CHEMICAL- CORROSIONTESTS,Metals and Metallic Products,Cyclic corrosion Test,SAE J2334
14,CHEMICAL- CORROSIONTESTS,Metals and Metallic Products,Resistance to corrosion,ASTM B117
15,CHEMICAL- CORROSIONTESTS,Metals and Metallic Products,Resistance to corrosion,ISO 9227
16,ELECTRICAL- EMI / EMCTEST FACILITY,Vehicle Electronic Systems/ Sub-systems operating onvehicle battery supply and EMI /EMC Testing for Electrical/Electronic automotive component,EQ IC01: RESISTANCE TO THEPULSES 1 AND 2 A,SOP-39 dated 22.03.2024
17,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Automotive parts & Assemblies,Environmental Cycle Resistance,SOP-39 dated 22.03.2024
18,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Automotive parts & Assemblies,Heat Aging,ASTM D 3045
19,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Automotive parts & Assemblies,Resistance to Environmental Cycling Test,"E-00-0799 Clause 6.3,Sr. No. 4& 5"
20,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Automotive parts & Assemblies,Resistance to Environmental Cycling Test,SOP-39 dated 22.03.2024
21,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Automotive parts & Assemblies,Resistance to Heat Ageing,"E-00-0799 Clause 6.3,Sr. No. 1& 2"
22,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Automotive parts & Assemblies,Resistance to Humidity Ageing,"E-00-0799 Clause 6.3,Sr. No. 3"
23,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electrical products",Temperature Cycling /Changeof Temp.,DQAN/SG/1001/ESS
24,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products",Vibration Test,IEC 60068-2-6
25,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products",Bump Test,JSS 55555 Test No. 5
26,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products",Cold test,IEC 60068-2-1
27,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products",Combined Temperature and Vibration Test,ISO 16750-3
28,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products",Damp Heat Test,JSS 55555 Test No. 10
29,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products",Damp Heat Test (Steady State),IEC 60068-2-78
30,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products",Damp Heat Test (Cycle),IEC 60068-2-30
31,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products",Dry Heat Test,IEC 60068-2-2
32,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products",High Temperature,MIL 810 - H {Clause No. 501.7}
33,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products",High Temperature Test,JS 55555 Test No.17
34,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products",High Temperature Test,JSS 55555 Test No. 17
35,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products",Humidity Test,MIL 810 - H {Clause No. 507.6}
36,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products",Low Temperature Test,MIL 810 - H {Clause No. 502.7}
37,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products",Mechanical Shock,IEC 60068-2-27
38,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products",Rapid Temperature Cyclic(Thermal Shock),JSS 5555 Test No.22
39,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products",Temperature Cycling / Changeof temp.,IEC 60068-2-14
40,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products",Temperature Cycling / Changeof temp.,IEC 60068-2-38
41,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products",Temperature Humidity Cycling Test,IEC 60068-2-38
42,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products",Temperature Shock,MIL 810 - H {Clause No. 503.7}
43,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products",Tropical Exposure Test,JSS 55555 Test No. 27
44,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products",Vibration Random,MIL 810 - H {Clause No. 514.8}Category 4 & Category 10
45,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products",Vibration Test,DQAN/SG/1001/ESS
46,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products",Vibration Test,IEC 60068-2-64
47,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products",Vibration Test,JIS D 1601
48,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products",Vibration Test,JSS 55555 Revision - 03 Test No. 28
49,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products",Vibration Test,JSS 55555 Test No. 28
50,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products",Vibration Test,JSS 55555 Test No.28
51,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products",Vibration Testing,66301/Policy-07/DQA(N)/QA-07
52,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products, Defence Equipment's",Cold Test,IEC 60571 Clause no 12.2.4
53,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products, Defenceequipment's",Mechanical Shock,IEC-61373
54,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products, Defenceequipment's",Mechanical Shock,JS 55555-Test No.24
55,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products, Defenceequipment's",Vibration Test,MIL-STD-167-1
56,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products, Defenceequipment's",Vibration Testing,IEC 61373
57,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products, Defence Equipments",Low Temperature Test,JSS 55555 Test No. 20
58,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products, Defence Equipments",M04-Vibration Test,SOP-39 dated 22.03.2024
59,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products, Painted &Coated products, Polymer , Rubber & Components",Surface Resistivity,IEC 62631-3-1
60,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products,Defence Equipment's",Cold Test,"IS 9000 (Part-2), Sec 1 to 4"
61,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products,Defence Equipment's",Cold Test,ISO 16750 (Part-4) Sec 5.1.1
62,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products,Defence Equipment's",Damp Heat Test (Cycle),"IS 9000 (Part-5), Sec 1 & 2"
63,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products,Defence Equipment's",Damp Heat Test (Cycle),ISO 16750 (Part-4) Sec 5.6
64,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products,Defence Equipment's",Damp heat test (Cyclic),IEC 60571 Clause no 12.2.6
65,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products,Defence Equipment's",Damp Heat Test (Steady State),IS 9000 (Part-4)
66,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products,Defence Equipment's",Damp Heat Test (Steady State),ISO 16750 (Part-4) Sec 5.7
67,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products,Defence Equipment's",Dry heat test,IEC 60571 Clause no 12.2.5
68,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products,Defence Equipment's",Dry Heat Test,"IS 9000 (Part-3), Sec 1 to 5"
69,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products,Defence Equipment's",Dry heat test,ISO 16750 (Part-4) Sec 5.1.2
70,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products,Defence Equipment's",K02-Incremental temperaturetest,SOP-39 dated 22.03.2024
71,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products,Defence Equipment's",K03-Low temperatureoperation test,SOP-39 dated 22.03.2024
72,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products,Defence Equipment's",K05-Thermalshock(Component),SOP-39 dated 22.03.2024
73,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products,Defence Equipment's",K08-Damp heat cyclic test,SOP-39 dated 22.03.2024
74,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products,Defence Equipment's",K09-Damp heat cyclic test(with frost),SOP-39 dated 22.03.2024
75,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products,Defence Equipment's",K14-Damp heat constant test,SOP-39 dated 22.03.2024
76,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products,Defence Equipment's",K16-Thermal shocktest(Without housing),SOP-39 dated 22.03.2024
77,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products,Defence Equipment's",Low temperature storage test,IEC 60571 Clause no 12.2.15
78,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products,Defence Equipment's",M05-Mechanical shock test,SOP-39 dated 22.03.2024
79,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products,Defence Equipment's",M06-Continuous mechanicalshock test,SOP-39 dated 22.03.2024
80,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products,Defence Equipment's",Temperature cycling / Changeof temperature,"IS 9000 (Part-14), Sec 1 to 3,Method Na & Nb"
81,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products,Defence Equipment's",Temperature cycling/ changeof temperature,ISO 16750 (Part-4) Sec 5.3
82,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive, Electrical & Electronics Products,Defence Equipment's",Vibration Test (Sine and Random),IS 9000 (Part-8)
83,ELECTRICAL- SAFETYTESTING FACILITY,"Automotive, Electrical & Electronics Products, Painted &Coated products, Polymer , Rubber & Components",Surface Resistivity,ASTM D257
84,ELECTRICAL- SAFETYTESTING FACILITY,"Automotive, Electrical & Electronics Products, Painted &Coated products, Polymer , Rubber & Components",Transmittance Measurements,ASTM D1003
85,ELECTRICAL- SAFETYTESTING FACILITY,"Automotive, Electrical & Electronics Products, Painted &Coated products, Polymer , Rubber & Components",Transmittance Measurements,ISO 14782
86,ELECTRICAL- SAFETYTESTING FACILITY,"Automotive, Electrical & Electronics Products, Painted &Coated products, Polymer , Rubber & Components",Volume Resistivity,ASTM D257
87,ELECTRICAL- SAFETYTESTING FACILITY,"Automotive, Electrical & Electronics Products, Painted &Coated products, Polymer , Rubber & Components",Volume Resistivity,IEC 62631-3-1
88,MECHANICAL-AUTOMOTIVECOMPONENTS,"Automotive, Electrical & Electronics Products, Painted &Coated products, Polymer , Rubber & Components",Abrasion Resistance by rubbing,SOP-39 dated 22.03.2024
89,MECHANICAL-AUTOMOTIVECOMPONENTS,"Automotive, Electrical & Electronics Products, Painted &Coated products, Polymer , Rubber & Components",Abrasion Resistance by Taber Abraser,ASTM D4060
90,MECHANICAL-AUTOMOTIVECOMPONENTS,"Automotive, Electrical & Electronics Products, Painted &Coated products, Polymer , Rubber & Components",Abrasion Resistance by Taber Abraser,ASTM D4060
91,MECHANICAL-AUTOMOTIVECOMPONENTS,"Automotive, Electrical & Electronics Products, Painted &Coated products, Polymer , Rubber & Components",Ball drop Test (Stress Whitening properties),SOP-39 dated 22.03.2024
92,MECHANICAL-AUTOMOTIVECOMPONENTS,"Automotive, Electrical & Electronics Products, Painted &Coated products, Polymer , Rubber & Components",Color Index Test,ASTM D2244
