0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",LED Luminaires (0.5 WATT TO 800 WATT),Provision for Earthing,Cl. No. 3.8 of IEC 60598-2-3
2,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Operational test for abnormalconditions,Cl. No.12 of IEC 62384
3,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),"Resistance to Heat, re andtracking",Cl. No.19 of IEC 61347-2-13
4,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Circuit Power Factor,Cl. No.9 of IEC 62384
5,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Construction,Cl. No.16 of IEC 61347-2-13
6,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Creepage distances andclearances,Cl. No.17 of IEC 61347-2-13
7,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Electric Strength,Cl. No.12 of IEC 61347-2-13
8,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Electric Strength,Cl. No.12 of IEC 61347-2-13
9,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Electric Strength,Cl. No.12 of IEC 61347-2-13
10,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Endurance,Cl. No.13 of IEC 62384
11,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Endurance,Cl. No.13 of IEC 62384
12,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Fault conditions,Cl. No.14 of IEC 61347-2-13
13,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Marking,Cl. No. 6 of IEC 62384
14,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Marking,Cl. No. 6 of IS 16104
15,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Moisture resistance &Insulation,Cl. No.11 of IEC 61347-2-13
16,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Moisture resistance &Insulation,Cl. No.11 of IEC 61347-2-13
17,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Moisture resistance &Insulation,Cl. No.11 of IEC 61347-2-13
18,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Operational test for abnormalconditions,Cl. No.12 of IEC 62384
19,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Operational test for abnormalconditions,Cl. No.12 of IEC 62384
20,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Operational test for abnormalconditions,Cl. No.12 of IEC 62384
21,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Output Current,Cl. No.7 of IEC 62384
22,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Output voltage,Cl. No.7 of IEC 62384
23,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Protection against accidentalcontact with live parts,Cl. No.8 of IEC 61347-2-13
24,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Provision for protective Earthing,Cl. No.10 of IEC 61347-2-13
25,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Provision for protective Earthing,Cl. No.10 of IEC 61347-2-13
26,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Resistance to corrosion,Cl. No.20 of IEC 61347-2-13
27,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),"Resistance to Heat, re andtracking",Cl. No.19 of IEC 61347-2-13
28,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),"Resistance to Heat, re andtracking",Cl. No.19 of IEC 61347-2-13
29,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),"Screws, current carrying parts& connections",Cl. No.18 of IEC 61347-2-13
30,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Supply current,Cl. No.10 of IEC 62384
31,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Terminals,Cl. No. 9 of IEC 61347-2-13
32,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Total circuit power,Cl. No.8 of IEC 62384
33,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Transformer Heating,Cl. No.15 of IEC 61347-2-13
34,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Circuit Power Factor,Cl. No. 9 of IS 16104
35,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Construction,Cl. No.16 of IS 15885 (part 2/Sec 13)
36,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Creepage distances andclearances,Cl. No.17 of IS 15885 (part 2/Sec 13)
37,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Electric Strength,Cl. No.12 of IS 15885 (part 2/Sec 13)
38,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Electric Strength,Cl. No.12 of IS 15885 (part 2/Sec 13)
39,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Electric Strength,Cl. No.12 of IS 15885 (part 2/Sec 13)
40,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Endurance,Cl. No. 13 of IS 16104
41,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Endurance,Cl. No. 13 of IS 16104
42,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Fault conditions,Cl. No.14 of IS 15885 (part 2/Sec 13)
43,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Marking,Cl. No. 7 of IS 15885 (part 2/sec 13)
44,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Moisture resistance &Insulation,Cl. No.11 of IS 15885 (part 2/Sec 13)
45,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Moisture resistance &Insulation,Cl. No.11 of IS 15885 (part 2/Sec 13)
46,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Moisture resistance &Insulation,Cl. No.11 of IS 15885 (part 2/Sec 13)
47,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Operational test for abnormalconditions,Cl. No. 12 of IS 16104
48,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Operational test for abnormalconditions,Cl. No. 12 of IS 16104
49,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Operational test for abnormalconditions,Cl. No. 12 of IS 16104
50,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Output Current,Cl. No. 7 of IS 16104
51,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Output voltage,Cl. No. 7 of IS 16104
52,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Protection against accidentalcontact with live parts,Cl. No.8 of IS 15885 (part 2/Sec 13)
53,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Provision for protective Earthing,Cl. No.10 of IS 15885 (part 2/Sec 13)
54,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Provision for protective Earthing,Cl. No.10 of IS 15885 (part 2/Sec 13)
55,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Resistance to corrosion,Cl. No. 20 of IS 15885 (part 2/Sec 13)
56,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),"Resistance to Heat, re andtracking",Cl. No.19 of IS 15885 (part 2/Sec 13)
57,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),"Resistance to Heat, re andtracking",Cl. No.19 of IS 15885 (part 2/Sec 13)
58,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),"Screws, current carrying parts& connections",Cl. No.18 of IS 15885 (part 2/Sec 13)
59,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Supply current,Cl. No. 10 of IS 16104
60,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Terminals,Cl. No. 9 of IS 15885 (part 2/Sec 13)
61,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Total circuit power,Cl. No. 8 of IS 16104
62,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic Control gear for LED modules (0.5 W to 550 W),Transformer Heating,Cl. No.15 of IS 15885 (part 2/Sec 13)
63,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",LED Luminaires (0.5 WATT TO 800 WATT),Creepage distances andclearances,Cl. No. 8 of IS 10322 (Part 5/Section 1)
64,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",LED Luminaires (0.5 WATT TO 800 WATT),Insulation Resistance & Electric Strength,Cl. No.15 of IS 10322 (Part 5/Section 2
65,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",LED Luminaires,Fire Hazard Testing Part 2 Test Methods Section 1 Glow-wire Testing,IS 11000 : Part 2 : Sec 1
66,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",LED Luminaires,Glowing/hot-wire based testmethods - Glow-wireammability test method forend-products,IEC 60695-2-11
67,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",LED Luminaires (0.5 WATT TO 800 WATT),Marking,Cl. No. 6 of IS 10322 (Part 5/Section 1)
68,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",LED Luminaires (0.5 WATT TO 800 WATT),Construction,Cl. No. 1.6 of IEC 60598-2-1
69,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",LED Luminaires (0.5 WATT TO 800 WATT),Construction,Cl. No. 3.6 of IEC 60598-2-3
70,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",LED Luminaires (0.5 WATT TO 800 WATT),Construction,Cl. No. 4.7 of IEC 60598-2-4
71,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",LED Luminaires (0.5 WATT TO 800 WATT),Construction,Cl. No.2.7 of IEC 60598-2-2
72,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",LED Luminaires (0.5 WATT TO 800 WATT),Construction,Cl. No.6 of IS 10322 (Part 5/Sec 4)
73,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",LED Luminaires (0.5 WATT TO 800 WATT),Construction,Cl. No.7 of IS 10322 (Part 5/Section 3)
74,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",LED Luminaires (0.5 WATT TO 800 WATT),Construction,Cl. No.7 of IS 10322 (Part 5/Section 5)
75,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",LED Luminaires (0.5 WATT TO 800 WATT),Endurance test & Thermal test.,Cl. No.13 of IS 10322 (Part 5/Section 3)
76,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",LED Luminaires (0.5 WATT TO 800 WATT),Resistance to Moisture,Cl. No.14 of IS 10322 (Part 5/Section 1)
77,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",LED Luminaires (0.5 WATT TO 800 WATT),Insulation Resistance & Electric Strength,Cl. No.15 of IS 10322 (Part 5/Section 1)
78,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",LED Luminaires (0.5 WATT TO 800 WATT),Construction,Cl. No.7 of IS 10322 (Part 5/Section 2)
79,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",LED Luminaires (0.5 WATT TO 800 WATT),Creepage Distances and Clearances,Cl. No.2.8 of IEC 60598-2-2
80,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",LED Luminaires (0.5 WATT TO 800 WATT),Creepage distances andclearances,Cl. No. 3.7 of IEC 60598-2-3
81,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",LED Luminaires (0.5 WATT TO 800 WATT),Creepage Distances and Clearances,Cl. No. 4.8 of IEC 60598-2-4
82,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",LED Luminaires (0.5 WATT TO 800 WATT),Creepage distances andclearances,Cl. No. 5.7 of IEC 60598-2-5
