0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CABLES& WIRES,Aerial Bunch cables for working voltage up to andincluding 1100 V,Carbon Black Content Test,"IS 142551, IS 10810 (Part 32)"
2,ELECTRICAL- CABLES& WIRES,Aerial Bunch cables for working voltage up to andincluding 1100 V,Conductor Resistance Test,"IS 14255, IS 10810 (Part 5)"
3,ELECTRICAL- CABLES& WIRES,Aerial Bunch cables for working voltage up to andincluding 1100 V,Elongation at break ofinsulation & sheath afterageing in air oven,"IS 14255, IS 10810 (Part 11)"
4,ELECTRICAL- CABLES& WIRES,Aerial Bunch cables for working voltage up to andincluding 1100 V,Elongation at break ofinsulation & sheathbefore ageing,"IS 14255, IS 10810 (Part 7)"
5,ELECTRICAL- CABLES& WIRES,Aerial Bunch cables for working voltage up to andincluding 1100 V,Elongation of messenger,IS 14255
6,ELECTRICAL- CABLES& WIRES,Aerial Bunch cables for working voltage up to andincluding 1100 V,Environmental stresscracking,"IS 14255, IS 10810 (Part 29)"
7,ELECTRICAL- CABLES& WIRES,Aerial Bunch cables for working voltage up to andincluding 1100 V,High Voltage Test,"IS 14255, IS 10810 (Part 45)"
8,ELECTRICAL- CABLES& WIRES,Aerial Bunch cables for working voltage up to andincluding 1100 V,Hot Set Test,"IS 14255, IS 10810 (Part 30)"
9,ELECTRICAL- CABLES& WIRES,Aerial Bunch cables for working voltage up to andincluding 1100 V,Insulation Resistance/Volume Resistivity Test,"IS 14255, IS 10810 (Part 43)"
10,ELECTRICAL- CABLES& WIRES,Aerial Bunch cables for working voltage up to andincluding 1100 V,Melt ow Index,"IS 14255, IS 10810(Part-23)"
11,ELECTRICAL- CABLES& WIRES,Aerial Bunch cables for working voltage up to andincluding 1100 V,Shrinkage Test,"IS 14255, IS 10810 (Part 12)"
12,ELECTRICAL- CABLES& WIRES,Aerial Bunch cables for working voltage up to andincluding 1100 V,Tensile strength ofinsulation & sheath after Ageing in air oven,"IS 14255, IS 10810 (Part 11)"
13,ELECTRICAL- CABLES& WIRES,Aerial Bunch cables for working voltage up to andincluding 1100 V,Tensile strength ofinsulation & sheath Before Ageing,"IS 14255, IS 10810 (Part 7)"
14,ELECTRICAL- CABLES& WIRES,Aerial Bunch cables for working voltage up to andincluding 1100 V,Tensile Strength Test (For Aluminium),"IS 14255, IS 10810 (Part 2)"
15,ELECTRICAL- CABLES& WIRES,Aerial Bunch cables for working voltage up to andincluding 1100 V,"Test for Thickness ofinsulation, sheath,metallic and overalldimensions","IS 14255, IS 10810 (Part 6)"
16,ELECTRICAL- CABLES& WIRES,Aerial Bunch cables for working voltage up to andincluding 1100 V,Water absorption Test(Gravimetric),"IS 14255, IS 10810 (Part 33)"
17,ELECTRICAL- CABLES& WIRES,Aerial Bunch cables for working voltage up to andincluding 1100 V,Wrapping test (For Aluminium),"IS 14255, IS 10810 (Part 3)"
18,ELECTRICAL- CABLES& WIRES,Cross linked polyethylene insulated PVC sheathedcable for working voltage from 3.3k V up to andincluding 33k V,Annealing test (for Copper),"IS 7098 (Part 2, IS 10810(Part 1)"
