0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables- for working voltages up toand including 1100 V,Elongation at break test(Ageing in air oven),"IS 14255 (Clause 5.1 &10.1- c)ii)), IS 10810 (Part 11)"
2,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables- for working voltages up toand including 1100 V,Assembly (Laying up) ofcores,IS 14255 (Clause 9)
3,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables- for working voltages up toand including 1100 V,Bending test,"IS 14255 (Clause 11.4), IS10810 (Part 50)"
4,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables- for working voltages up toand including 1100 V,Breaking load formessenger conductor,"IS 14255 (Clause 4.1 &10.1-b) i)), IS 10810 (Part 2)"
5,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables- for working voltages up toand including 1100 V,Conductor resistance test,"IS 14255 (Clause No.10.3.a,10.2.e,10.1.a.iii,10.1.b.iii), IS 10810 (Part 5)"
6,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables- for working voltages up toand including 1100 V,Elongation at break testof XLPE Insulation (beforeageing),"IS 14255 (Clause No.10.1.b.ii, 10.2.d, 11.3,IS 10810 (Part 7)"
7,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables- for working voltages up toand including 1100 V,Elongation test formessenger Conductor(Before stranding),"IS 14255 (Clause No.10.1.a.i,10.2.a Table 3), IS 10810(Part 2)"
8,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables- for working voltages up toand including 1100 V,Elongation test of XLPEInsulation (after ageing),"IS14255 (Clause No.10.1.b.ii, 10.2.d,Clauseno 11.3, IS 10810 (Part 2)"
9,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables- for working voltages up toand including 1100 V,High voltage test,"IS 14255 (Clause No.10.1g,10.2k,10.3b,11.2,15.1g, IS10810 (Part 45)"
10,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables- for working voltages up toand including 1100 V,Hot set test,"IS 14255 (Clause 5.1 &10.1- c)iii)), IS 10810(Part 30)"
11,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables- for working voltages up toand including 1100 V,Insulation resistance(volume resistivity test)(at room temperature ),"IS 14255 (Clause 5.1 &10.1- f), IS 10810 (Part 43)"
12,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables- for working voltages up toand including 1100 V,Shrinkage test,"IS 14255 (Clause 5.1 &10.1- c) iv), IS 10810 (Part 12)"
13,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables- for working voltages up toand including 1100 V,Tensile strength test foraluminium conductor,"IS 14255 (Clause No.10.1.a.i, 10.2.a Table 3), IS 10810 (Part 2)"
14,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables- for working voltages up toand including 1100 V,Tensile strength test of XLPE insulation (beforeageing),"IS 14255 (Clause 5.1 &10.1- c)i),d)i)), IS 10810(Part 7)"
