0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CABLES& WIRES,(Polyvinyl chloride insulated unsheathed &sheathed cables/cords with rigid and exibleconductor.,Heat Shock Test,"IS 10810( Part-14):1984 ,IS 694"
2,ELECTRICAL- CABLES& WIRES,Aerial Bunch cables for working voltage up to andincluding 1100 V,Water absorption test on XLPE (Gravimetric) / EPR,"IS 10810(Pt-33)-1984, IS14255"
3,ELECTRICAL- CABLES& WIRES,Aerial Bunch cables for working voltage up to andincluding 1100 V .,Conductor resistance,"IS 10810(Part-5):1984 , IS14255"
4,ELECTRICAL- CABLES& WIRES,Aerial Bunch cables for working voltage up to andincluding 1100 V .,Tensile strength ofinsulation & sheath after Ageing in air oven,"IS 10810(Part-11)-1984,IS 14255"
5,ELECTRICAL- CABLES& WIRES,Aerial Bunch cables for working voltage up to andincluding 1100 V .,Thickness of insulation &sheath & measurement ofoverall diameter,"IS 10810(Pt-6)-1984, IS14255"
6,ELECTRICAL- CABLES& WIRES,Aerial Bunch cables for working voltage up to andincluding 1100 V .,Wrapping test (For Aluminium),"IS 10810(Part-3)-1984, IS14255"
7,ELECTRICAL- CABLES& WIRES,Aerial Bunch cables for working voltage up to andincluding 1100 V.,Elongation at break ofinsulation & sheath afterageing in air oven,"IS 10810(Part-11)-1984,IS 14255"
8,ELECTRICAL- CABLES& WIRES,Aerial Bunch cables for working voltage up to andincluding 1100 V.,Elongation at break ofinsulation & sheath afterageing in air oven,"IS 10810(Part-11)-1984,IS 14255"
9,ELECTRICAL- CABLES& WIRES,Aerial Bunch cables for working voltage up to andincluding 1100 V.,Elongation at break ofinsulation & sheath Before ageing in air oven,"IS 10810(Part-11)-1984, S14255"
10,ELECTRICAL- CABLES& WIRES,Aerial Bunch cables for working voltage up to andincluding 1100 V.,Elongation at break ofinsulation & sheath Before ageing in air oven,"IS 10810(Part-11)-1984, S14255"
11,ELECTRICAL- CABLES& WIRES,Aerial Bunch cables for working voltage up to andincluding 1100 V.,Elongation of messenger,IS 14255
12,ELECTRICAL- CABLES& WIRES,Aerial Bunch cables for working voltage up to andincluding 1100 V.,Environmental stresscracking,"IS 10810( Part-29)-1984 ,IS 14255"
13,ELECTRICAL- CABLES& WIRES,Aerial Bunch cables for working voltage up to andincluding 1100 V.,High voltage test at roomtemperature,"IS 10810(Pt-45)-1984, IS14255"
14,ELECTRICAL- CABLES& WIRES,Aerial Bunch cables for working voltage up to andincluding 1100 V.,Hot set test,"IS 10810(Part-30)-1984,IS 14255"
15,ELECTRICAL- CABLES& WIRES,Aerial Bunch cables for working voltage up to andincluding 1100 V.,Insulation resistance test/ Volume resistivity,"IS 10810 (PART-43)-1984, IS 14255"
16,ELECTRICAL- CABLES& WIRES,Aerial Bunch cables for working voltage up to andincluding 1100 V.,Melt ow Index,"IS 10810(Pt-23)-1984, IS14255"
17,ELECTRICAL- CABLES& WIRES,Aerial Bunch cables for working voltage up to andincluding 1100 V.,Shrinkage test,"IS 10810 ( Part-12)-1984 ,IS 14255"
