0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CABLES &WIRES,"Power cables with Extruded insulation/XLPE/PVC insulated Cable , Control Cable & power Cable",Adhesion test on armourwire/strip,IS 3975
2,ELECTRICAL- CABLES &WIRES,"Power cables with Extruded /XLPE insulated Cable , Control Cable & power Cable",Voltage Test on complete cable& Cores,IS:7098 Part-1
3,ELECTRICAL- CABLES &WIRES,"Power cables with Extruded /XLPE insulated Cable , Control Cable & power Cable","Thickness of insulation , sheath& measurement of diameter",IS 7098 Part-1
4,ELECTRICAL- CABLES &WIRES,"Power cables with Extruded insulation XLPE insulated Cable, Control Cable & power Cable",HCL acid gas generation test,IS 7098 Part-1
5,ELECTRICAL- CABLES &WIRES,"Power Cables with Extruded insulation/ PVC Insulated Cable, Control Cable & Power Cable",Water immersion test (High Voltage )DC,IS 1554 Part-1
6,ELECTRICAL- CABLES &WIRES,"Power cables with Extruded insulation/PVC insulated Cable ,Control Cable & power Cable",Temperature Index,IS 1554 Part-1
7,ELECTRICAL- CABLES &WIRES,"Power cables with Extruded insulation/PVC insulated Cable ,PVC insulated Wires , Control Cable & power Cable",HCL acid gas generation test,IEC-60754-1
8,ELECTRICAL- CABLES &WIRES,"Power cables with Extruded insulation/PVC insulated Cable ,PVC insulated Wires , Control Cable & power Cable",Spark testing,IS 694
9,ELECTRICAL- CABLES &WIRES,"Power cables with Extruded insulation/PVC insulated Cable,Power & control cable",Shrinkage test,IS 5831
10,ELECTRICAL- CABLES &WIRES,"Power cables with Extruded insulation/PVC insulated Cable,PVC insulated Wires , Control Cable & power Cable",Corrosive and acid gas,BS EN 60754-1
11,ELECTRICAL- CABLES &WIRES,"Power cables with Extruded insulation/PVC insulated Cable,PVC insulated Wires , Control Cable & power Cable",Thermal stability test,IS 5831
12,ELECTRICAL- CABLES &WIRES,"Power cables with Extruded insulation/PVC insulated Cable,Pvc insulated Wires , Control Cable & power Cable",Additional ageing test ( for outdoor use) Cat-02 Type,"IS 694 , Cl- 10.9"
13,ELECTRICAL- CABLES &WIRES,"Power cables with Extruded insulation/PVC insulated Cable,PVC insulated Wires , Control Cable & power Cable",Tensile Strength,BS 6469 Sec: 99.1
14,ELECTRICAL- CABLES &WIRES,"Power cables with Extruded insulation/PVC insulated Cable,PVC insulated Wires , Control Cable & power Cable",Thermal Stability Test,BS EN 60811-405
15,ELECTRICAL- CABLES &WIRES,"Power cables with Extruded insulation/XLPE /PVC insulated Cable, Control Cable & power Cable",Mass of zinc coating,IS:3975
16,ELECTRICAL- CABLES &WIRES,"Power cables with Extruded insulation/XLPE /PVC insulated Cable, Control Cable & power Cable",Mass of Zinc Coating,BS 5467 Annex. G-2
17,ELECTRICAL- CABLES &WIRES,"Power cables with Extruded insulation/XLPE insulated Cable, Control Cable & power Cable",Water absorption test on XLPE(Gravimetric),IS 7098 Part-1
18,ELECTRICAL- CABLES &WIRES,"Power cables with Extruded insulation/XLPE insulated Cable, Control Cable & power Cable",Hot set test,BS EN 60811-507
19,ELECTRICAL- CABLES &WIRES,"Power cables with Extruded insulation/XLPE insulated Cable, Control Cable & power Cable",Oxygen Index test,IS: 7098 Part-1
