0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL- METALS &ALLOYS,Aluminum & its alloys,Antimony (Sb),ASTM E 1251
2,CHEMICAL- METALS &ALLOYS,Aluminum & its alloys,Boron (B),ASTM E 1251
3,CHEMICAL- METALS &ALLOYS,Aluminum & its alloys,Calcium (Ca),ASTM E 1251
4,CHEMICAL- METALS &ALLOYS,Aluminum & its alloys,Chromium (Cr),ASTM E 1251
5,CHEMICAL- METALS &ALLOYS,Aluminum & its alloys,Copper (Cu),ASTM E 1251
6,CHEMICAL- METALS &ALLOYS,Aluminum & its alloys,Gallium (Ga),ASTM E 1251
7,CHEMICAL- METALS &ALLOYS,Aluminum & its alloys,Iron (Fe),ASTM E 1251
8,CHEMICAL- METALS &ALLOYS,Aluminum & its alloys,Lead (Pb),ASTM E 1251
9,CHEMICAL- METALS &ALLOYS,Aluminum & its alloys,Magnesium (Mg),ASTM E 1251
10,CHEMICAL- METALS &ALLOYS,Aluminum & its alloys,Manganese (Mn),ASTM E 1251
11,CHEMICAL- METALS &ALLOYS,Aluminum & its alloys,Nickel (Ni),ASTM E 1251
12,CHEMICAL- METALS &ALLOYS,Aluminum & its alloys,Phosphorous (P),ASTM E 1251
13,CHEMICAL- METALS &ALLOYS,Aluminum & its alloys,Silicon (Si),ASTM E 1251
14,CHEMICAL- METALS &ALLOYS,Aluminum & its alloys,Sodium (Na),ASTM E 1251
15,CHEMICAL- METALS &ALLOYS,Aluminum & its alloys,Strontium (Sr),ASTM E 1251
16,CHEMICAL- METALS &ALLOYS,Aluminum & its alloys,Tin (Sn),ASTM E 1251
17,CHEMICAL- METALS &ALLOYS,Aluminum & its alloys,Titanium (Ti),ASTM E 1251
18,CHEMICAL- METALS &ALLOYS,Aluminum & its alloys,Vanadium (V),ASTM E 1251
19,CHEMICAL- METALS &ALLOYS,Aluminum & its alloys,Zinc (Zn),ASTM E 1251
20,CHEMICAL- METALS &ALLOYS,Aluminum & its alloys,Zirconium (Zr),ASTM E 1251
22,MECHANICAL-MECHANICAL PROPERTIESOF METALS,ALUMINIUM & ALUMINIUM ALLOY WIRE / ROD,ELONGATION on 250 mm,IS 1608 (Part 1)
23,MECHANICAL-MECHANICAL PROPERTIESOF METALS,ALUMINIUM & ALUMINIUM ALLOY WIRE / ROD,Ultimate Tensile strength UTS,IS 1608 (Part 1)
