0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,CHEMICAL- METALS &ALLOYS,Aluminium & Its alloys,Beryllium as Be,ASTM E 1251
2,CHEMICAL- METALS &ALLOYS,Aluminium & Its alloys,Boron as B,ASTM E 1251
3,CHEMICAL- METALS &ALLOYS,Aluminium & Its alloys,Calcium as Ca,ASTM E 1251
4,CHEMICAL- METALS &ALLOYS,Aluminium & Its alloys,Chromium as Cr,ASTM E 1251
5,CHEMICAL- METALS &ALLOYS,Aluminium & Its alloys,Cobalt as Co,ASTM E 1251
6,CHEMICAL- METALS &ALLOYS,Aluminium & Its alloys,Copper as Cu,ASTM E 1251
7,CHEMICAL- METALS &ALLOYS,Aluminium & Its alloys,Gallium as Ga,ASTM E 1251
8,CHEMICAL- METALS &ALLOYS,Aluminium & its alloys,Iron as Fe,ASTM E 1251
9,CHEMICAL- METALS &ALLOYS,Aluminium & its alloys,Lead as Pb,ASTM E 1251
10,CHEMICAL- METALS &ALLOYS,Aluminium & Its alloys,Magnesium as Mg,ASTM E 1251
11,CHEMICAL- METALS &ALLOYS,Aluminium & Its alloys,Manganese as Mn,ASTM E 1251
12,CHEMICAL- METALS &ALLOYS,Aluminium & Its alloys,Nickel as Ni,ASTM E 1251
13,CHEMICAL- METALS &ALLOYS,Aluminium & Its alloys,Phosphorus as P,ASTM E 1251
14,CHEMICAL- METALS &ALLOYS,Aluminium & Its alloys,Silicon as Si,ASTM E 1251
15,CHEMICAL- METALS &ALLOYS,Aluminium & Its alloys,Sodium as Na,ASTM E 1251
16,CHEMICAL- METALS &ALLOYS,Aluminium & its alloys,Strontium as Sr,ASTM E 1251
17,CHEMICAL- METALS &ALLOYS,Aluminium & its alloys,Tin as Sn,ASTM E 1251
18,CHEMICAL- METALS &ALLOYS,Aluminium & Its alloys,Titanium as Ti,ASTM E 1251
19,CHEMICAL- METALS &ALLOYS,Aluminium & Its alloys,Vanadium as V,ASTM E 1251
20,CHEMICAL- METALS &ALLOYS,Aluminium & Its alloys,Zinc as Zn,ASTM E 1251
21,CHEMICAL- METALS &ALLOYS,Aluminium and its alloys,Zirconium as Zr,ASTM E 1251
22,ELECTRICAL-MISCELLANEOUS,Aluminium- Wire Rod,Conductivity,ASTM B 193
23,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Aluminium Wire Rod,Elongation,ASTM B 557 M
24,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Aluminium Wire Rod,UTS,ASTM B 557 M
