0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL- INDUSTRIAL &FINE CHEMICALS,Electrolyte,Acid Concentration,"WI-QC-IPI-02(version 00, Date 20.05.25 )"
2,CHEMICAL- INDUSTRIAL &FINE CHEMICALS,Electrolyte,Chloride Concentration,"WI-QC-IPI-03 (version 00, Date 20.05.25 )"
3,CHEMICAL- INDUSTRIAL &FINE CHEMICALS,Electrolyte,Copper Concentration,"WI-QC-IPI-01(version 00, Date 20.05.25 )"
4,CHEMICAL- METALS &ALLOYS,copper cathode and wire rods,Arsenic,"WI-QC-FPI-16(version 00, Date 20.05.25 )"
5,CHEMICAL- METALS &ALLOYS,copper cathode and wire rods,Bismuth,"WI-QC-FPI-16 (version 00, Date 20.05.25 )"
6,CHEMICAL- METALS &ALLOYS,copper cathode and wire rods,Iron-Fe,"WI-QC-FPI-16 (version 00, Date 20.05.25 )"
7,CHEMICAL- METALS &ALLOYS,Copper Cathodes and Wire Rods,Antimony,"WI-QC-FPI-16 (version 00, Date 20.05.25 )"
8,CHEMICAL- METALS &ALLOYS,Copper Cathodes and Wire Rods,Lead,"WI-QC-FPI-16 (version 00, Date 20.05.25 )"
9,CHEMICAL- METALS &ALLOYS,Copper Cathodes and Wire Rods,Nickel,"WI-QC-FPI-16 (version 00, Date 20.05.25 )"
10,CHEMICAL- METALS &ALLOYS,Copper Cathodes and Wire Rods,Oxygen,"WI-QC-01 (version 00, Date 20.05.25 ), ASTM E2575-2019"
11,CHEMICAL- METALS &ALLOYS,Copper Cathodes and Wire Rods,Selenium,"WI-QC-FPI-16 (version 00, Date 20.05.25 )"
12,CHEMICAL- METALS &ALLOYS,Copper Cathodes and Wire Rods,Silver,"WI-QC-FPI-16 (version 00, Date 20.05.25 )"
13,CHEMICAL- METALS &ALLOYS,Copper Cathodes and Wire Rods,Sulphur,ASTM B115-10(REAPPROVED-2021)
14,CHEMICAL- METALS &ALLOYS,Copper Cathodes and Wire Rods,Tellurium,"WI-QC-FPI-16 (version 00, Date 20.05.25 )"
15,CHEMICAL- METALS &ALLOYS,Copper Cathodes and Wire Rods,Tin,"WI-QC-FPI-16 (version 04, Date 25.01.23 )"
16,CHEMICAL- METALS &ALLOYS,Copper Rods,Surface oxide,ASTM B49-2020
18,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Copper Rods & Copper Wire,% Elongation,ASTM E8/E8 M
19,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Copper Rods & Copper Wire,Diameter,ASTM E8/E8 M
20,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Copper Rods & Copper Wire,Tensile Strength,ASTM E8/E8 M
