0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CELLS &BATTERIES,Aluminum Anode,Consumption Rate,DNV-RP-B401
2,ELECTRICAL- CELLS &BATTERIES,Aluminum Anode,Current Capacity,DNV-RP-B401
3,ELECTRICAL- CELLS &BATTERIES,Aluminum Anode,Open Circuit Potential,DNV-RP-B401
4,ELECTRICAL- CELLS &BATTERIES,Magnesium Anode,Consumption Rate,ASTM G97
5,ELECTRICAL- CELLS &BATTERIES,Magnesium Anode,Current Capacity,ASTM G97
6,ELECTRICAL- CELLS &BATTERIES,Magnesium Anode,Open Circuit Potential,ASTM G97
7,ELECTRICAL- CELLS &BATTERIES,Zinc Anode,Consumption Rate,DNV-RP-B401
8,ELECTRICAL- CELLS &BATTERIES,Zinc Anode,Current Capacity,DNV-RP-B401
9,ELECTRICAL- CELLS &BATTERIES,Zinc Anode,Open Circuit Potential,DNV-RP-B401
