0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-INDUCTORS &TRANSFORMERS,Current Transformers,Chopped impulse voltagewithstand test primaryterminals,7.4.1 of IEC 61869-2 Ed.1.0 2012-09; IS 16227(Part 2): 2016 (RA 2021)
2,ELECTRICAL-INDUCTORS &TRANSFORMERS,Current Transformers,Determination of Instrument security factor(ISF) of measuring currenttransformer,7.5.2 of IEC 61869-2 Ed.1.0 2012-09; IS 16227(Part 2): 2016 (RA 2021)
3,ELECTRICAL-INDUCTORS &TRANSFORMERS,Current Transformers,Determination of Secondary Winding Resistance,7.3.201 of IEC 61869-2 Ed. 1.0 2012- 09; IS16227 (Part 2): 2016 (RA2021)
4,ELECTRICAL-INDUCTORS &TRANSFORMERS,Current Transformers,Impulse Voltagewithstand test on Primaryterminals,7.2.3 of IEC 61869-2 Edition 1.0 2012-09; IS16227 (Part 2): 2016 (RA2021)
5,ELECTRICAL-INDUCTORS &TRANSFORMERS,Current Transformers,Inter Turn Over Voltagetest,7.3.204 of IEC 61869-2 Ed. 1.0 2012-09; IS 16227(Part 2): 2016 (RA 2021)
6,ELECTRICAL-INDUCTORS &TRANSFORMERS,Current Transformers,Measurement of Capacitance & Dielectric Dissipation factor,7.4.3 of IEC 61869-2 Ed.1.0 2012-09; IS 16227(Part 2): 2016 (RA 2021)
7,ELECTRICAL-INDUCTORS &TRANSFORMERS,Current Transformers,Partial Discharge Measurement,7.3.2 of IEC 61869-2 Ed.1.0 2012-09; IS 16227(Part 2): 2016 (RA 2021)
8,ELECTRICAL-INDUCTORS &TRANSFORMERS,Current Transformers,Power Frequency Voltagewithstand test betweensections,7.3.3 of IEC 61869-2 Ed.1.0 2012-09; IS 16227(Part 2): 2016 (RA 2021)
9,ELECTRICAL-INDUCTORS &TRANSFORMERS,Current Transformers,Power Frequency voltagewithstand test on primaryterminals,7.3.1 of IEC 61869-2 Ed.1.0 2012-09; IS 16227(Part 2): 2016 (RA 2021)
10,ELECTRICAL-INDUCTORS &TRANSFORMERS,Current Transformers,Power Frequency Voltagewithstand test onsecondary terminals,7.3.4 of IEC 61869-2 Ed.1.0 2012-09; IS 16227(Part 2): 2016 (RA 2021)
11,ELECTRICAL-INDUCTORS &TRANSFORMERS,Current Transformers,Temperature rise Test,7.2.2 of IEC 61869-2 Ed.1.0 2012-09; IS 16227(Part 2): 2016 (RA 2021)
12,ELECTRICAL-INDUCTORS &TRANSFORMERS,Current Transformers,Test for Composite Errorof Class P and PRProtective currenttransformer,7.3.5.203 of IEC 61869-2 Ed. 1.0 2012-09; IS 16227(Part 2): 2016 (RA 2021)
13,ELECTRICAL-INDUCTORS &TRANSFORMERS,Current Transformers,Test for rated knee pointe.m.f. (Ek) and excitingcurrent at rated kneepoint e.m.f. (Ek),7.3.203 of IEC 61869-2 Ed. 1.0 2012- 09; IS16227 (Part 2): 2016 (RA2021)
14,ELECTRICAL-INDUCTORS &TRANSFORMERS,Current Transformers,Test for ratio error andphase displacement ofclass P and PR protectivecurrent transformers,7.3.5.202 of IEC 61869-2 Ed. 1.0 2012-09; IS 16227(Part 2): 2016 (RA 2021)
