0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CABLES& WIRES,"Cross linked polyethylene insulated,Thermoplastic sheathed cables for electric supplyand control purpose, Armoured/ Unarmoured with Aluminium/ Copper conductor, class 1/2, Single,Twin, Three, Four and Multi-core cables ""Forworking voltages up to and including 1100 V""",Elongation at break (forouter sheath),"IS 7098 (Part 1, Table 1,Clause 4.1), IS 10810(Part 7)"
2,ELECTRICAL- CABLES& WIRES,"Cross linked polyethylene insulated,Thermoplastic sheathed cables for electric supplyand control purpose, Armoured/ Unarmoured with Aluminium/ Copper conductor, class 1/2, Single,Twin, Three, Four and Multi-core cables ""Forworking voltages up to and including 1100 V""",Mass of zinc coatinground wire/ formed wire,"IS 7098 (Part 1, Clause 13.6), IS 10810 (Part 41)"
3,ELECTRICAL- CABLES& WIRES,"Cross linked polyethylene insulated,Thermoplastic sheathed cables for electric supplyand control purpose, Armoured/ Unarmoured with Aluminium/ Copper conductor, class 1/2, Single,Twin, Three, Four and Multi-core cables ""Forworking voltages up to and including 1100 V""",Ageing in air oven (forouter sheath),"IS 7098 (Part 1, Table 1,Clause 4.1), IS 10810(Part 11)"
4,ELECTRICAL- CABLES& WIRES,"Cross linked polyethylene insulated,Thermoplastic sheathed cables for electric supplyand control purpose, Armoured/ Unarmoured with Aluminium/ Copper conductor, class 1/2, Single,Twin, Three, Four and Multi-core cables ""Forworking voltages up to and including 1100 V""",Conductor resistance test,"IS 7098 (Part 1, Clause 15.1.1), IS 10810 (Part 5)"
5,ELECTRICAL- CABLES& WIRES,"Cross linked polyethylene insulated,Thermoplastic sheathed cables for electric supplyand control purpose, Armoured/ Unarmoured with Aluminium/ Copper conductor, class 1/2, Single,Twin, Three, Four and Multi-core cables ""Forworking voltages up to and including 1100 V""",Elongation at break(Insulation),"IS 7098 (Part 1, Clause 13.6), IS 10810 (Part 7)"
6,ELECTRICAL- CABLES& WIRES,"Cross linked polyethylene insulated,Thermoplastic sheathed cables for electric supplyand control purpose, Armoured/ Unarmoured with Aluminium/ Copper conductor, class 1/2, Single,Twin, Three, Four and Multi-core cables ""Forworking voltages up to and including 1100 V""",Hot set test (Insulation),"IS 7098 (Part 1, Table 1,Clause 4.1), IS 10810(Part 30)"
7,ELECTRICAL- CABLES& WIRES,"Cross linked polyethylene insulated,Thermoplastic sheathed cables for electric supplyand control purpose, Armoured/ Unarmoured with Aluminium/ Copper conductor, class 1/2, Single,Twin, Three, Four and Multi-core cables ""Forworking voltages up to and including 1100 V""",Shrinkage test(Insulation),"IS 7098 (Part 1, Table 1,Clause 4.1), IS 10810(Part 12)"
8,ELECTRICAL- CABLES& WIRES,"Cross linked polyethylene insulated,Thermoplastic sheathed cables for electric supplyand control purpose, Armoured/ Unarmoured with Aluminium/ Copper conductor, class 1/2, Single,Twin, Three, Four and Multi-core cables ""Forworking voltages up to and including 1100 V""",Shrinkage test (outersheath),"IS 7098 (Part 1, Table 1,Clause 4.1), IS 10810(Part 12)"
