0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CABLES &WIRES,Electric cables - Low voltage energy cables of ratedvoltages up to and including 450/750 V (U0/U),Insulation resistance test,"EN 50525-3-41(Test method EN 50395, Cl.8.1)"
2,ELECTRICAL- CABLES &WIRES,Electric cables - Low voltage energy cables of ratedvoltages up to and including 450/750 V (U0/U),Resistance of conductors,"EN 50525-3-41(Test method EN 50395, Cl.5)"
3,ELECTRICAL- CABLES &WIRES,Electric cables - Low voltage energy cables of ratedvoltages up to and including 450/750 V (U0/U),Voltage test at 2000 V,"EN 50525-3-41(Test method EN 50395, Cl.6)"
4,ELECTRICAL- CABLES &WIRES,Electric cables - Low voltage energy cables of ratedvoltages up to and including 450/750 V (U0/U),Voltage test at 2500 V,"EN 50525-3-41(Test method EN 50395, Cl.6)"
5,ELECTRICAL- CABLES &WIRES,Electric cables - Low voltage energy cables of ratedvoltages up to and including 450/750 V (U0/U),Thickness of insulation,"EN 50525-3-41(Test method EN 50396, Cl.4.1)"
6,ELECTRICAL- CABLES &WIRES,"Thermosetting insulated, armoured Fire-Resistant cables",Insulation Resistance contanton oversheath,BS 7846(Cl.18.6)
7,ELECTRICAL- CABLES &WIRES,300/500 V re resistant screened cables having lowemission of smoke and corrosive gases when aected byre: Multicore and multipair cables,Corrosive and acid gas,BS 7629-1:2015+A1(Cl 16.2)
8,ELECTRICAL- CABLES &WIRES,300/500 V re-resistant screened cables - Multicore andmultipair cables,Ageing in air oven atinsualation and sheath,BS 7629-1:2015+A1(Test Method BS/EN 60811-401)
9,ELECTRICAL- CABLES &WIRES,300/500 V re-resistant screened cables - Multicore andmultipair cables,Conductor Resistance anddrain wire resistance,BS 7629-1:2015+A1(Cl 14.2)
10,ELECTRICAL- CABLES &WIRES,300/500 V re-resistant screened cables - Multicore andmultipair cables,Hot set test,BS 7629-1:2015+A1(Test Method BS/EN 60811-507)
11,ELECTRICAL- CABLES &WIRES,300/500 V re-resistant screened cables - Multicore andmultipair cables,Ovality,BS 7629-1:2015+A1(Cl.15.7)
12,ELECTRICAL- CABLES &WIRES,300/500 V re-resistant screened cables - Multicore andmultipair cables,Pressure Test at High Temperature,BS 7629-1:2015+A1(Test Method BS/EN 60811-508)
13,ELECTRICAL- CABLES &WIRES,300/500 V re-resistant screened cables - Multicore andmultipair cables,Shrinkage test test oninsulation and sheath,"BS 7629-1:2015+A1(Cl.16.3,Cl.16.6)"
14,ELECTRICAL- CABLES &WIRES,300/500 V re-resistant screened cables - Multicore andmultipair cables,Tensile strength andelongation at insulation andsheath,BS 7629-1:2015+A1(Test Method BS/EN 60811-501)
15,ELECTRICAL- CABLES &WIRES,300/500 V re-resistant screened cables - Multicore andmultipair cables,Thickness of insulation andsheath,"BS 7629-1:2015+A1(Cl.6.3,Cl.10.3)"
16,ELECTRICAL- CABLES &WIRES,300/500 V re-resistant screened cables - Multicore andmultipair cables,Voltage test on complete cable,BS 7629-1:2015+A1(Cl.14.3)
17,ELECTRICAL- CABLES &WIRES,300/500 V re-resistant screened cables - Multicore andmultipair cables,Voltage withstand,BS 7629-1:2015+A1(Cl.15.2)
