0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL- LUBRICANTS,Insulating oil,Kinematic Viscosity @ -20 C,IS 1448 : Part 25 / ISO 3104
2,CHEMICAL- LUBRICANTS,Insulating Oil,Kinematic Viscosity at 0 C,IS 1448 : Part 25 /ISO 3104
3,CHEMICAL- LUBRICANTS,Insulating Oil,Kinematic Viscosity at -30 C,"IS 1448 (Part 25), ISO 3104"
4,CHEMICAL- LUBRICANTS,Insulating Oils,Aniline Point,IS 1448 Part 3/ ISO 2977
5,CHEMICAL- LUBRICANTS,Insulating Oils,Appearance,IS 335
6,CHEMICAL- LUBRICANTS,Insulating Oils,Corrosive Sulphur,DIN 51353
7,CHEMICAL- LUBRICANTS,Insulating Oils,Corrosive Sulphur,IEC 62535
8,CHEMICAL- LUBRICANTS,Insulating Oils,"Density by Hydrometer at 15.6 C, 20 C, 25 C & 29.5 C",IS 1448 (Part 16)
9,CHEMICAL- LUBRICANTS,Insulating Oils,"Density by Hydrometer at 15.6 C, 20 C, 25 C & 29.5 C",ISO 3675
10,CHEMICAL- LUBRICANTS,Insulating Oils,Flash Point (PMCC),IS 1448 [P 21]
11,CHEMICAL- LUBRICANTS,Insulating Oils,Flash Point PMCC,ISO 2719
12,CHEMICAL- LUBRICANTS,Insulating Oils,Inhibitors,IS 13631/ IEC 60666
13,CHEMICAL- LUBRICANTS,Insulating Oils,Interfacial Tension,ASTM D 971
14,CHEMICAL- LUBRICANTS,Insulating Oils,Interfacial tension at 25 C &27 C,IS 6104
15,CHEMICAL- LUBRICANTS,Insulating Oils,Kinematic Viscosity at 27 C &40 C,"IS 1448 (Part 25), ISO 3104"
16,CHEMICAL- LUBRICANTS,Insulating Oils,Oxidation Stability Tan Delta at 90 C,IS 12422
17,CHEMICAL- LUBRICANTS,Insulating Oils,Oxidation Stability Total Acidity,IEC 61125
18,CHEMICAL- LUBRICANTS,Insulating Oils,Oxidation Stability Acidity,IS 12422
19,CHEMICAL- LUBRICANTS,Insulating Oils,Oxidation Stability Sludge,IEC 61125
20,CHEMICAL- LUBRICANTS,Insulating Oils,"Oxidation Stability, Sludge",IS 12422
21,CHEMICAL- LUBRICANTS,Insulating Oils,Potentially Corrosive Sulphur,IS 16310/ IEC 62535
22,CHEMICAL- LUBRICANTS,Insulating Oils,Pour Point,IS 1448 Part 10/Sec 2 ( ISO3016)
23,CHEMICAL- LUBRICANTS,Insulating Oils,Presence of Oxidation inhibitor,IS 13631 (Sec I & II)
24,CHEMICAL- LUBRICANTS,Insulating Oils,Total Acidity,IEC 62021-1
25,CHEMICAL- LUBRICANTS,Insulating Oils,Total Acidity,IS 1448 Part 1 Sec 2
26,CHEMICAL- LUBRICANTS,Insulating Oils,Water Content by karl cher,IS 13567
27,CHEMICAL- LUBRICANTS,Insulating Oils,Water Content by Karlscher,IEC 60814
28,CHEMICAL- LUBRICANTS,"Insulating Oils, Lubricating oil , Industrial oil","Carbon Type Analysis, Ca",IS 13155
29,CHEMICAL- LUBRICANTS,"Insulating Oils, Lubricating oil , Industrial oil","Carbon Type Analysis, Cn",IS 13155
