0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CELLS &BATTERIES,Lead -Acid Storahe Batteries for Motor Vehicles,Cold Cranking Ampere(CCA)Test,JIS D5301 Cl. No. 10.3 &Annex-C (C.5)
2,ELECTRICAL- CELLS &BATTERIES,"Lead acid storage batteries for Motor Cycle, Auto Rickshaws and similar vehicles.",10h Capacity Test,JIS D5302 Cl. No. 7.1
3,ELECTRICAL- CELLS &BATTERIES,"Lead acid storage batteries for Motor Cycle, Auto Rickshaws and similar vehicles.",Battery Size,JIS D5302 Cl. No. Annex-A(Normative)
4,ELECTRICAL- CELLS &BATTERIES,"Lead acid storage batteries for Motor Cycle, Auto Rickshaws and similar vehicles.",Dimension,IS 13568 Cl. No. 7.7
5,ELECTRICAL- CELLS &BATTERIES,"Lead acid storage batteries for Motor Cycle, Auto Rickshaws and similar vehicles.",Endurance Test,JIS D5302 Clause No - 7.5
6,ELECTRICAL- CELLS &BATTERIES,"Lead acid storage batteries for Motor Cycle, Auto Rickshaws and similar vehicles.",Life Test,IS 13568 Cl. No. 7.12
7,ELECTRICAL- CELLS &BATTERIES,"Lead acid storage batteries for Motor Cycle, Auto Rickshaws and similar vehicles.",Test for Capacity,AIS 048 Cl. No. A1.1
8,ELECTRICAL- CELLS &BATTERIES,"Lead acid storage batteries for Motor Cycle, Auto Rickshaws and similar vehicles.",Test for Capacity,IS 13568 Cl. No. 7.9
9,ELECTRICAL- CELLS &BATTERIES,Lead Acid storage batteries for Motor Vehicles,Capacity,IEC 60095-1 Cl. No.- 9.1 & 9.2
10,ELECTRICAL- CELLS &BATTERIES,Lead Acid storage batteries for Motor Vehicles,Capacity (5h rate) Test,IS 14257 Cl. No. 9.3.4
11,ELECTRICAL- CELLS &BATTERIES,Lead Acid storage batteries for Motor Vehicles,Capacity Test,JIS D5301 Cl. No.10.2 & Annex-C (C.3)
12,ELECTRICAL- CELLS &BATTERIES,Lead Acid storage batteries for Motor Vehicles,Charge Acceptance,IEC 60095-1 Cl. No.- 9.4
13,ELECTRICAL- CELLS &BATTERIES,Lead Acid storage batteries for Motor Vehicles,Charge Acceptance Test,IS 14257 Cl. No. 9.3.8
14,ELECTRICAL- CELLS &BATTERIES,Lead Acid storage batteries for Motor Vehicles,Charge Acceptance Test,JIS D5301 Cl. No. 10.4
15,ELECTRICAL- CELLS &BATTERIES,Lead Acid storage batteries for Motor Vehicles,Cranking Performance Test,IEC60095-1 Cl. No.- 9.3.1
16,ELECTRICAL- CELLS &BATTERIES,Lead Acid storage batteries for Motor Vehicles,Dimensions,IS 14257 Cl. No. 9.3.2
17,ELECTRICAL- CELLS &BATTERIES,Lead Acid storage batteries for Motor Vehicles,Dimensions,JIS D5301 Cl. No. Annex-A(Table-A.2)
18,ELECTRICAL- CELLS &BATTERIES,Lead Acid storage batteries for Motor Vehicles,Endurance Test,IEC 60095-1 Cl. No.- 9.6.1
19,ELECTRICAL- CELLS &BATTERIES,Lead Acid storage batteries for Motor Vehicles,Endurance Test,JIS D5301 Cl. No. 10.5
