0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
42,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Copper Tubes,Flattening & Doubling Over Test,IS 2501
43,MECHANICAL-MECHANICAL PROPERTIESOF METALS,"Fastners (Bolts, Screw, Studs)- Made upon carbon steel &alloys Steel",Ultimate Tensile Load,IS 1367 (Part 3)
44,MECHANICAL-MECHANICAL PROPERTIESOF METALS,"Fastners (Bolts, screw,studs)- Made upon carbon steel &alloys Steel",Proof Load Test,IS 1367 (Part 3)
45,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Fastners - Single Coil Rectangular Section Spring Lock Washer,Permanent Set Test,IS 3063
46,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Fastners - Single Coil Rectangular Section Spring Lock Washer,Permanent Load Test,IS 3063
47,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Fastners -Single Coil Rectangular Section Spring Lock Washer,Twist test,IS 3063
57,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Helical Spring,Compression Test,IS 7906 (Part 2 Section 7)
58,MECHANICAL-MECHANICAL PROPERTIESOF METALS,High Strength Deformed Steel Bars and Wires for Concrete Reinforcement Specification,Re-bend Test,IS 1786
59,MECHANICAL-MECHANICAL PROPERTIESOF METALS,High Strength Deformed Steel Bars and Wires for Concrete Reinforcement Specification,Mass/ Meter,IS 1786
60,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Hot Dipped Galvanized coatings on Round Steel Wire,Adhesion Test,IS 4826
61,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Metallic Material on V Notch,Izod Impact Test (At Ambient Temperature),IS 1598
73,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Metallic material,Visual Examination,"TC/SOP/01 AA, Issue 03, Issue Date - 01.11.2023"
74,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Metallic Material on U Notch,Charpy Impact Test (From Ambient Temperature to -50 C),IS 1757 (Part 1)
75,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Metallic Material on V Notch,Charpy Impact Test (From Ambient Temperature to -50 C),IS 1757 (Part 1)
86,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Metallic Tubes,Bend test,IS 2329
87,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Metallic Wires,Torsion Test,IS 1717
88,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Metallic Wires,Wrapping Test,IS 1755
89,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Metals,Shear Strength,IS 5242
90,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Sheet and Strip,Modied erichsen cupping test,IS 10175 (part 1)
98,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Threaded steels Fastners-carbon steels and alloy steel-Nuts,Proof Load Test,IS 1367 (Part 6)
