0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for Working Voltages upto andincluding 1100 V,Ageing in Air Oven Test of XLPEInsulation,"IS 14255 (Clause 10 c) ii), IS10810 (Part 11)"
2,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for Working Voltages upto andincluding 1100 V,Bending Test on Completed Cable,IS 14255 (Clause 10.4)
3,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for Working Voltages upto andincluding 1100 V,Breaking Load of Messenger,IS 14255 (Clause 10 b) i)
4,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for Working Voltages upto andincluding 1100 V,Carbon Black Test,"IS 14255 (Clause 10 c) vi) 1), IS10810 (Part 32)"
5,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for Working Voltages upto andincluding 1100 V,Conductor Resistance Test,"IS 14255 (Clause 10 a) iii), IS10810 (Part 5)"
6,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for Working Voltages upto andincluding 1100 V,Elongation Test of Messenger,IS 14255 (Clause 10 b) ii)
7,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for Working Voltages upto andincluding 1100 V,Elongation Test of XLPEInsulation,"IS 14255 (Clause 10 c) i), IS10810 (Part 7)"
8,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for Working Voltages upto andincluding 1100 V,High Voltage (Room Temperature),"IS 14255 (Clause 10 g), IS10810 (Part 45)"
9,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for Working Voltages upto andincluding 1100 V,Hot Set Test of Insulation,"IS 14255 (Clause 10 c) iii), IS10810 (Part 30)"
10,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for Working Voltages upto andincluding 1100 V,Insulation Resistance Test,"IS 14255 (Clause 10 f), IS10810 (Part 43)"
11,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for Working Voltages upto andincluding 1100 V,Lay Ratio,IS 14255 (Clause 9.1)
12,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for Working Voltages upto andincluding 1100 V,Resistance Test of Messenger,IS 14255 (Clause 10 b) iii)
13,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for Working Voltages upto andincluding 1100 V,Shrinkage Test of XLPEInsulation,"IS 14255 (Clause 10 c) iv), IS10810 (Part 12)"
14,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for Working Voltages upto andincluding 1100 V,Tensile Test for Aluminium,"IS 14255 (Clause 10 a) i), IS10810 (Part 2)"
15,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for Working Voltages upto andincluding 1100 V,Tensile Test of XLPE Insulation,"IS 14255 (Clause 10 c) i), IS10810 (Part 7)"
16,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for Working Voltages upto andincluding 1100 V,Test of Thickness of Insulation,"IS 14255 (Clause 10 e), IS10810 (Part 6)"
17,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for Working Voltages upto andincluding 1100 V,Water Absorption (Gravimetric),"IS 14255 (Clause 10 c) v), IS10810 (Part 33)"
