0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL- BUILDINGMATERIAL,Admixture,Ash,IS 9103
2,CHEMICAL- BUILDINGMATERIAL,Admixture,Chloride,IS -6925
3,CHEMICAL- BUILDINGMATERIAL,Admixture,Dry Material content,IS 9103
4,CHEMICAL- BUILDINGMATERIAL,Admixture,p H value,IS-9103
5,CHEMICAL- BUILDINGMATERIAL,Admixture,Relative density,IS-9103
6,CHEMICAL- BUILDINGMATERIAL,Aggregate (Coarse),Chloride,DIN EN-1744(P-1)
7,CHEMICAL- BUILDINGMATERIAL,Aggregate (Coarse),Dissolved Silica,IS-2386(P-7)
8,CHEMICAL- BUILDINGMATERIAL,Aggregate (Coarse),Reduction in Alkalinity,IS -2386(P-7)
9,CHEMICAL- BUILDINGMATERIAL,Aggregate (Coarse),Sulphate(as SO3),DIN EN-1744(P-1)
10,CHEMICAL- BUILDINGMATERIAL,aggregate (ne),Chloride,DIN EN-1744(P-1)
11,CHEMICAL- BUILDINGMATERIAL,Aggregate (ne),Dissolved Silica,Is-2386(P-7)
12,CHEMICAL- BUILDINGMATERIAL,Aggregate (ne),Reduction in alkalinity,IS-2386(P-7)
13,CHEMICAL- BUILDINGMATERIAL,aggregate (ne),Sulphate,DIN EN-1744(P-1)
14,CHEMICAL- BUILDINGMATERIAL,Bentonite,p H value,IS-6186
15,CHEMICAL- BUILDINGMATERIAL,Cement (OPC),Alumina(As Al 2 O3),IS-4032
16,CHEMICAL- BUILDINGMATERIAL,Cement (OPC),Available Alkali asequivalent to(Na 2 O),IS -4032
17,CHEMICAL- BUILDINGMATERIAL,Cement (OPC),Calcium oxide(as Ca O),IS-4032
18,CHEMICAL- BUILDINGMATERIAL,Cement (OPC),Chloride (as Cl),IS -4032
19,CHEMICAL- BUILDINGMATERIAL,Cement (OPC),Insoluble residue,IS-4032
20,CHEMICAL- BUILDINGMATERIAL,Cement (OPC),Loss Of Ignition,IS-4032
21,CHEMICAL- BUILDINGMATERIAL,Cement (OPC),Magnesia(As Mg O ),IS-4032
22,CHEMICAL- BUILDINGMATERIAL,Cement (OPC),Silica(as Si O2),IS-4032
23,CHEMICAL- BUILDINGMATERIAL,Cement (OPC),Sulphuric anhydride(as SO3),IS-4032
24,CHEMICAL- BUILDINGMATERIAL,Cement (PPC),Available Alkali asequivalent to(Na 2 O),IS-4032
25,CHEMICAL- BUILDINGMATERIAL,Cement (PPC),Chloride (as Cl),IS-4032
26,CHEMICAL- BUILDINGMATERIAL,Cement (PPC),Insoluble residue,IS-4032
27,CHEMICAL- BUILDINGMATERIAL,Cement (PPC),Loss Of Ignition,IS-4032
28,CHEMICAL- BUILDINGMATERIAL,Cement (PPC),Magnesia(As Mg O ),IS-4032
29,CHEMICAL- BUILDINGMATERIAL,Cement (PPC),Sulphuric anhydride(as SO3),IS-4032
30,CHEMICAL- BUILDINGMATERIAL,Cement Concrete and mortar,Chloride as Cl,IS-14959(P-1)
31,CHEMICAL- BUILDINGMATERIAL,Cement Concrete And Mortar,Sulphate as SO3,BS 1881 (P-124)
