0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL- LUBRICANTS,Automotive & Industrial Lubricant,Apparent Viscosity Of Engine Oils Between -5 And -35 CUsing The Cold-Cranking Simulator,ASTM D 5293
2,CHEMICAL- LUBRICANTS,Automotive & Industrial Lubricant,Appearance,RPSPL/ITP/01
3,CHEMICAL- LUBRICANTS,Automotive & Industrial Lubricant,Base Number of Petroleum Products by Potentiometric Perchloric Acid Titration,ASTM D 2896
4,CHEMICAL- LUBRICANTS,Automotive & Industrial Lubricant,Base Number of Petroleum Products by Potentiometric Perchloric Acid Titration,IS 1448 : Part 86
5,CHEMICAL- LUBRICANTS,Automotive & Industrial Lubricant,Colour,ASTM D 1500
6,CHEMICAL- LUBRICANTS,Automotive & Industrial Lubricant,Copper Strip Corrosion @121 Cfor 3 Hrs.,ASTM D 130
7,CHEMICAL- LUBRICANTS,Automotive & Industrial Lubricant,Copper Strip Corrosion @121 Cfor 3 Hrs.,IS 1448 : Part 15
8,CHEMICAL- LUBRICANTS,Automotive & Industrial Lubricant,Density,ASTM D 1298
9,CHEMICAL- LUBRICANTS,Automotive & Industrial Lubricant,Density,ASTM D 4052
10,CHEMICAL- LUBRICANTS,Automotive & Industrial Lubricant,Density,ASTM D 7042
11,CHEMICAL- LUBRICANTS,Automotive & Industrial Lubricant,Density,IS 1448 : Part 16
12,CHEMICAL- LUBRICANTS,Automotive & Industrial Lubricant,Determination Of Additive Elements In Lubricating Oils By Inductively Coupled Plasma Atomic Emission Spectrometry-Boron,ASTM D 4951
13,CHEMICAL- LUBRICANTS,Automotive & Industrial Lubricant,Determination Of Additive Elements In Lubricating Oils By Inductively Coupled Plasma Atomic Emission Spectrometry-Boron,ASTM D 5185
14,CHEMICAL- LUBRICANTS,Automotive & Industrial Lubricant,Determination Of Additive Elements In Lubricating Oils By Inductively Coupled Plasma Atomic Emission Spectrometry-Calcium,ASTM D 4951
15,CHEMICAL- LUBRICANTS,Automotive & Industrial Lubricant,Determination Of Additive Elements In Lubricating Oils By Inductively Coupled Plasma Atomic Emission Spectrometry-Calcium,ASTM D 5185
16,CHEMICAL- LUBRICANTS,Automotive & Industrial Lubricant,Determination Of Additive Elements In Lubricating Oils By Inductively Coupled Plasma Atomic Emission Spectrometry-Magnesium,ASTM D 4951
17,CHEMICAL- LUBRICANTS,Automotive & Industrial Lubricant,Determination Of Additive Elements In Lubricating Oils By Inductively Coupled Plasma Atomic Emission Spectrometry-Magnesium,ASTM D 5185
18,CHEMICAL- LUBRICANTS,Automotive & Industrial Lubricant,Determination Of Additive Elements In Lubricating Oils By Inductively Coupled Plasma Atomic Emission Spectrometry-Molybdenum,ASTM D 4951
19,CHEMICAL- LUBRICANTS,Automotive & Industrial Lubricant,Determination Of Additive Elements In Lubricating Oils By Inductively Coupled Plasma Atomic Emission Spectrometry-Molybdenum,ASTM D 5185
20,CHEMICAL- LUBRICANTS,Automotive & Industrial Lubricant,Determination Of Additive Elements In Lubricating Oils By Inductively Coupled Plasma Atomic Emission Spectrometry-Phosphorus,ASTM D 4951
