0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Direct Cool Refrigerator,Energy Consumption Test,"IS 17550 ( Part 3), Cl.6"
2,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Direct cool Refrigerator,Energy Consumption Test,"KS IEC 62552-3 , Cl.6"
3,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Direct cool Refrigerator,Pull down Test,IS 17550 (Part 2) Cl 4.6a and Annex-A
4,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Direct cool Refrigerator,Pull down test,"KS IEC 62552-2, Cl 4.6a &Annex-A"
5,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Direct Cool Refrigerator,Volume Measurement,IS 17550 (Part 3) Cl.4.8 and Annex-H
6,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Direct Cool Refrigerator,Volume Measurement,"KS IEC 62552-3, Cl 4.8 and Annex -H"
7,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Frost Free Refrigerator,Energy Consumption Test,"IS 17550 ( Part 3), Cl.6"
8,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Frost Free Refrigerator,Pull Down Test,IS 17550 (Part 2) Cl 4.6a &Annex-A
9,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Frost Free Refrigerator,Volume Measurement,IS 17550 (Part 3) Cl.4.8 and Annex-H
