0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL-LUBRICANTS,Lubricant oil,Emulsion Characteristics,IS 1448 (Part 91)
2,CHEMICAL-LUBRICANTS,Lubricant oil,Kinematic Viscosity at 40 C & 100 C,IS 1448 (Part 25)
3,CHEMICAL-LUBRICANTS,Lubricant oil,Rust-Preventingcharacteristics,"IS 1448 (Part 96),Procedure B"
4,CHEMICAL-LUBRICANTS,Lubricant oil,Color & Appearance,ASTM D 1500
5,CHEMICAL-LUBRICANTS,Lubricant oil,Corrosiveness to Copper(Copper Strip Test),IS 1448 (Part 15)
6,CHEMICAL-LUBRICANTS,Lubricant Oil,Density 15 C& 29.5 C,IS 1448 (Part 16)
7,CHEMICAL-LUBRICANTS,Lubricant Oil,Flash and Fire point (COC)C corrected (at Barometric Pressure(KPA)),IS 1448 (Part 69)
8,CHEMICAL-LUBRICANTS,Lubricant oil,Foaming Characteristics,IS 1448 (Part 67)
9,CHEMICAL-LUBRICANTS,Lubricant oil,Pentane Insoluble Content,ASTM D 4055-04
10,CHEMICAL-LUBRICANTS,Lubricant oil,Sediment,IS 1448 (Part 30)
11,CHEMICAL-LUBRICANTS,Lubricant oil,Total Acid Number,"IS 1448 (Part 1, Sec 1)"
12,CHEMICAL-LUBRICANTS,Lubricant Oil,Total Base Number,"IS 1448 (Part 1, Sec 2)"
13,CHEMICAL-LUBRICANTS,Lubricant oil,Viscosity Index,IS 1448 (Part 56)
14,CHEMICAL-LUBRICANTS,Lubricant oil,Water content,ASTM D 6304
