0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CELLS &BATTERIES,Lead Acid Battery,Ah Eciency Test,IS 13369 (Clause 11.8.1)
2,ELECTRICAL- CELLS &BATTERIES,Lead Acid Battery,Ah Eciency Test,IS 15549 (Clause 12.4)
3,ELECTRICAL- CELLS &BATTERIES,Lead Acid Battery,Charge Retention Test,IEC 60896-11 (Clause 18)
4,ELECTRICAL- CELLS &BATTERIES,Lead Acid Battery,Cycling Endurance in Photovoltaic Application(Extreme Conditions),IEC 61427-1 (Clause 8.4)
5,ELECTRICAL- CELLS &BATTERIES,Lead Acid Battery,Cycling Endurance in Photovoltaic Application(Extreme Conditions),IS 16270 (Clause 8.4)
6,ELECTRICAL- CELLS &BATTERIES,Lead Acid Battery,Endurance in Discharge-charge Cycles,IEC 60896-11 (Clause 16)
7,ELECTRICAL- CELLS &BATTERIES,Lead Acid Battery,Endurance Life Cycle Test,IS 15549 (Clause 12.10)
8,ELECTRICAL- CELLS &BATTERIES,Lead Acid Battery,Endurance Test,IS 13369 (Clause 11.7)
9,ELECTRICAL- CELLS &BATTERIES,Lead Acid Battery,Equilibrium Float Current Test,IS 13369 (Clause 11.10)
10,ELECTRICAL- CELLS &BATTERIES,Lead Acid Battery,Internal Resistance Determination,IEC 60896-11 (Clause 19)
11,ELECTRICAL- CELLS &BATTERIES,Lead Acid Battery,Recovery from Sulphation Test,IS 16270 (Clause 8.5)
12,ELECTRICAL- CELLS &BATTERIES,Lead Acid Battery,Short-circuit Current,IEC 60896-11 (Clause 19)
13,ELECTRICAL- CELLS &BATTERIES,Lead Acid Battery,Test for Capacity (C1) and Voltage During Discharge,IS 15549 (Clause 12.2)
14,ELECTRICAL- CELLS &BATTERIES,Lead Acid Battery,Test for Capacity (C1),IEC 60896-11 (Clause 14)
15,ELECTRICAL- CELLS &BATTERIES,Lead Acid Battery,Test for Capacity (C1),IS 13369 (Clause 11.5.5)
16,ELECTRICAL- CELLS &BATTERIES,Lead Acid Battery,Test for Capacity (C10)and Voltage During Discharge,IS 15549 (Clause 12.1)
17,ELECTRICAL- CELLS &BATTERIES,Lead Acid Battery,Test for Capacity (C10),IS 13369 (Clause 11.5)
18,ELECTRICAL- CELLS &BATTERIES,Lead Acid Battery,Test for Capacity (C10),IEC 60896-11 (Clause 14)
19,ELECTRICAL- CELLS &BATTERIES,Lead Acid Battery,Test for Capacity (C2),IEC 60896-11 (Clause 14)
20,ELECTRICAL- CELLS &BATTERIES,Lead Acid Battery,Test for Capacity (C2),IS 15549 (Clause 12.3)
21,ELECTRICAL- CELLS &BATTERIES,Lead Acid Battery,Test for Capacity (C20),IEC 60896-11 (Clause 14)
22,ELECTRICAL- CELLS &BATTERIES,Lead Acid Battery,Test for Capacity (C3),IEC 60896-11 (Clause 14)
23,ELECTRICAL- CELLS &BATTERIES,Lead Acid Battery,Test for Capacity (C3),IS 13369 (Clause 11.5.5)
24,ELECTRICAL- CELLS &BATTERIES,Lead Acid Battery,Test for Capacity (C3),IS 15549 (Clause 12.3)
25,ELECTRICAL- CELLS &BATTERIES,Lead Acid Battery,Test for Capacity (C4),IS 15549 (Clause 12.3)
26,ELECTRICAL- CELLS &BATTERIES,Lead Acid Battery,Test for Capacity (C5),IEC 60896-11 (Clause 14)
27,ELECTRICAL- CELLS &BATTERIES,Lead Acid Battery,Test for Capacity (C5),IS 13369 (Clause 11.5.5)
28,ELECTRICAL- CELLS &BATTERIES,Lead Acid Battery,Test for Capacity (C5),IS 15549 (Clause 12.3)
29,ELECTRICAL- CELLS &BATTERIES,Lead Acid Battery,Test for Capacity (C8),IS 15549 (Clause 12.3)
30,ELECTRICAL- CELLS &BATTERIES,Lead Acid Battery,Test for Loss of Capacityon Storage,IS 13369 (Clause 11.6)
31,ELECTRICAL- CELLS &BATTERIES,Lead Acid Battery,Test for Oxygen Recombination Eciency,IS 15549 (Clause 12.9)
32,ELECTRICAL- CELLS &BATTERIES,Lead Acid Battery,Test for Retention of Charge,IS 15549 (Clause 12.6)
33,ELECTRICAL- CELLS &BATTERIES,Lead Acid Battery,Verication of Dimensions(L x W x H),"IS 13369 (Clause 7.1), IS15549 (Clause 10.1.1)"
34,ELECTRICAL- CELLS &BATTERIES,Lead Acid Battery,Water Loss Test,IS 13369 (Clause 11.9)
35,ELECTRICAL- CELLS &BATTERIES,Lead Acid Battery,Wh Eciency Test,IS 13369 (Clause 11.8.2)
36,ELECTRICAL- CELLS &BATTERIES,Lead Acid Battery,Wh Eciency Test,IS 15549 (Clause 12.5)
