0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Verication of Constructionalrequirements,IS 13369 Clause: 11.2 Page No.2
2,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Abusive Over Discharge,IEC 60896-21 Clause: 6.17 Page No. 67-69
3,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Ampere hour & Watt houreciency,IS 13369 Clause: 11.8 Page No.6
4,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Capacity (C1),IEC 60896-11 Clause: 7.0 Page No. 19-23
5,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Capacity (C1),IEC 60896-21 Clause: 6.11 Page No. 51-55
6,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Capacity (C1),IS 13369 Clause: 11.5 Page No.4-5
7,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Capacity (C10),IEC 60896-11 Clause: 7.0 Page No. 19-23
8,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Capacity (C10),IEC 60896-21 Clause: 6.11 Page No. 51-55
9,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Capacity (C10),IEC 61427-1 Clause: 8.1 Page No. 13-14
10,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Capacity (C10),IS 13369 Clause: 11.5 Page No.4-5
11,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Capacity (C10),IS 16270 Clause: 8.1 Page No.5
12,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Capacity (C120),IEC 61427-1 Clause: 8.1 Page No. 13-14
13,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Capacity (C2),IEC 60896-11 Clause: 7.0 Page No. 19-23
14,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Capacity (C20),IEC 60896-11 Clause: 7.0 Page No. 19-23
15,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Capacity (C3),IEC 60896-11 Clause: 7.0 Page No. 19-23
16,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Capacity (C3),IEC 60896-21 Clause: 6.11 Page No. 51-55
17,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Capacity (C3),IS 13369 Clause: 11.5 Page No.4-5
18,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Capacity (C5),IEC 60896-11 Clause: 7.0 Page No. 19-23
19,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Capacity (C5),IEC 61427-1 Clause: 8.1 Page No. 13-14
20,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Capacity (C5),IS 13369 Clause: 11.5 Page No.4-5
21,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Capacity (C8),IEC 60896-11 Clause: 7.0 Page No. 19-23
22,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Capacity (C8),IEC 60896-21 Clause: 6.11 Page No. 51-55
23,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Capacity C5 (5 h rate),IEC 60254-1 Clause: 5.2 Page No. 15-17
24,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Charge Retention,IEC 60254-1 Clause: 5.3 Page No. 17-19
25,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Charge Retention,IS 16270 Clause: 8.3 Page No.4-5
26,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Charge retention duringstorage,IEC 60896-21 Clause: 6.12 Page No. 55-57
27,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Charge retention on ventedtype Lead Acid Battery,IEC 60896-11 Clause: 18.0 Page No. 27
28,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Charge retention on ventedtype Lead Acid Battery,IEC 61427-1 Clause: 8.3 Page No. 14
29,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Charge retention on VRLA type Lead Acid Battery,IEC 61427-1 Clause: 8.3 Page No. 14
30,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Content and durability ofrequired marking,IEC 60896-21 Clause: 6.6 Page No. 47-49
31,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Cyclic Endurance for both Vented & Valve Regulated Type Battery,IEC 60254-1 Clause: 5.5 Page No. 19-21
32,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Cyclic endurance inphotovoltaic applications,IS 16270 Clause: 8.4 Page No.5-6
33,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Endurance,IS 13369 Clause: 11.7 Page No.5-6
34,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Endurance,IS 16270 Clause: 8.2 Page No.4-5
35,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Endurance in discharge-chargecycle,IEC 60896-11 Clause: 16.0 Page No. 25
36,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Endurance in discharge-chargecycle,IEC 61427-1 Clause: 8.2 Page No. 14
37,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Endurance in over charge,IEC 60896-11 Clause: 17.0 Page No. 25-27
38,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Endurance in over charge,IEC 61427-1 Clause: 8.2 Page No. 14
39,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Endurance on photovoltaic Applications,IEC 61427-1 Clause: 8.4 Page No. 14-16
40,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Energy Density,IEC 60254-1 Clause: 6.1 Page No. 23
41,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Equilibrium Float Current,IS 13369 Clause: 11.10 Page No. 4
42,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Float service with dailydischarges,IEC 60896-21 Clause: 6.13 Page No. 57-61
43,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Gas Emission,IEC 60896-21 Clause: 6.10 Page No. 33-37
44,ELECTRICAL- CELLS &BATTERIES,Lead Acid batteries,High Current Tolerance,IEC 60896-21 Clause: 6.2 Page No. 37-39
45,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,High-Rate Discharge Performance,IEC 60254-1 Clause: 5.4 Page No. 19
46,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Inter cell connectorperformance,IEC 60896-21 Clause: 6.10 Page No. 51
47,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Loss of Capacity on Storage,IS 13369 Clause: 11.6 Page No.5
48,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Short Circuit & Internal Resistance,IEC 60896-11 Clause: 19.0 Page No. 27-31
49,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Short Circuit current and DCInternal resistance,IEC 60896-21 Clause: 6.3 Page No. 39-41
50,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Stability against mechanicalabuse of units duringinstallation,IEC 60896-21 Clause: 6.21 Page No. 75-77
51,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Suitability for battery oatingoperation,IEC 60896-11 Clause: 15.0 Page No. 23
52,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Sulphation,IS 16270 Clause: 8.5 Page No.6
53,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Verication of Dimensions,IS 13369 Clause: 11.4 Page No.4
54,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Verication of Marking &Packing,IS 13369 Clause: 11.3 Page No.4
55,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Water loss on oat Charge,IS 13369 Clause: 11.9 Page No.3
56,ELECTRICAL- CELLS &BATTERIES,Lead Acid Batteries,Water loss on oat Charge,IS 16270 Clause: 8.6 Page No.6
57,ELECTRICAL- CELLS &BATTERIES,Leas Acid Batteries,Recharge Behaviour,IEC 60896-21 Clause: 6.14 Page No. 61-63
