0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"ac Static Direct Connected Watthour Smart Meter Single Phase, Class 1",Insulation Test,IS 13779 (Clause 12.7.6.4)
2,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"ac Static Direct Connected Watthour Smart Meter, Class 1",Limits of Error,"IS 16444 (Part 1, Clause 6.12)"
3,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"ac Static Direct Connected Watthour Smart Meter, Class 1",Meter Constant,"IS 16444 (Part 1, Clause 6.12)"
4,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"ac Static Direct Connected Watthour Smart Meter, Class 1",No-Load Condition,"IS 16444 (Part 1, Clause 6.12)"
5,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"ac Static Direct Connected Watthour Smart Meter, Class 1",Power Consumption,"IS 16444 (Part 1, Clause 6.10.1)"
6,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"ac Static Direct Connected Watthour Smart Meter, Class 1",Repeatability of Error,"IS 16444 (Part 1, Clause 6.12)"
7,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"ac Static Direct Connected Watthour Smart Meter, Class 1",ac High Voltage Test,IS 13779 (Clause 12.7.6.3)
8,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"ac Static Direct Connected Watthour Smart Meter, Class 1",ac High Voltage Test,"IS 16444 (Part 1, Clause 6.10.6)"
9,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"ac Static Direct Connected Watthour Smart Meter, Class 1",Insulation Test,"IS 16444 (Part 1, Clause 6.10.6)"
10,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"ac Static Direct Connected Watthour Smart Meter, Class 1",Limits of Error,IS 13779 (Clause 11.1)
11,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"ac Static Direct Connected Watthour Smart Meter, Class 1",No-Load Condition,IS 13779 (Clause 12.13)
12,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"ac Static Direct Connected Watthour Smart Meter, Class 1",Power Consumption,IS 13779 (Clause 12.7.1)
13,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"ac Static Direct Connected Watthour Smart Meter, Class 1",Repeatability of Error,IS 13779 (Clause 12.17)
14,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"ac Static Direct Connected Watthour Smart Meter, Class 1",Starting Condition,IS 13779 (Clause 12.14)
15,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"ac Static Direct Connected Watthour Smart Meter, Class 1",Starting Condition,"IS 16444 (Part 1, Clause 6.12)"
16,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"ac Static Direct Connected Watthour Smart Meter, Class-1",Meter Constant,IS13779 (Clause 12.15)
