0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- SAFETYTESTING FACILITY,Electrical Insulating Gloves (Natural Rubber),Dielectric tests: Proof test,IEC 60903 (clause 5.6.1.4.2)
2,ELECTRICAL- SAFETYTESTING FACILITY,Electrical Insulating Gloves (Natural Rubber),Dielectric tests: Withstandtest,IEC 60903 (clause 5.6.1.4.3)
3,ELECTRICAL- SAFETYTESTING FACILITY,Electrical Insulating Gloves (Natural Rubber),Electric tests: AC prooftest and AC breakdowntest,ASTM D120 (clause 11 &18)
4,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Connectors / Copper & Aluminium,Current cycle testresistance measurement,ANSI C119.0 (clause 3.2 &5.1.9.3)
5,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Connectors / Copper & Aluminium,"Current cycle test,measurement",ANSI C119.4 (clause 6.3.1& 6.3.1.6)
6,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Connectors / Copper & Aluminium,"Current cycle test,resistance",ANSI C119.5 (clause 6.3.2& 4.3.2.1)
7,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Connectors / Copper & Aluminium,Current cycling test,UL486 A-486 B (clause 7.2)
8,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Connectors / Copper & Aluminium,"Heat cycle test, electricalresistance measurement",AS/NSZ 4325.1 (clause 6.3 & 6.2.1)
9,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Connectors / Copper & Aluminium,"Heat cycle test, electricalresistance measurement",IEC-61238-1-3 (clause 6.3& 6.2.2)
10,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Connectors / Copper & Aluminium,"Heat cycling test,electrical resistancemeasurement",BS EN IEC 61238-1-1(clause 6.3 & 6.2.2)
11,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Connectors / Copper & Aluminium,"Heat cycling test,electrical resistancemeasurement",BS EN IEC 61238-1-2(clause 6.3 & 6.2.2)
12,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Connectors / Copper & Aluminium,"Heat cycling test,electrical resistancemeasurement",BS EN IEC 61238-1-3 +A11 (clause 6.3 & 6.2.2)
13,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Connectors / Copper & Aluminium,"Heat cycling test,electrical resistancemeasurement",IEC 61238-1-2 (clause 6.3& 6.2.2)
14,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Connectors / Copper & Aluminium,Short circuit test,IEC 61238-1-1 (clause 6.4)
15,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Connectors / Copper & Aluminium,Short circuit test,IEC 61238-1-2 (clause 6.4)
16,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Connectors / Copper & Aluminium,Short circuit test,IEC 61238-1-3 (clause 6.4)
17,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Connectors / Copper & Aluminium,Short time current,UL 467 (clause 7.5)
