0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,Metal,Hexavalent Chromium (Cr VI),IEC 62321-7-1
2,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,Polymers of electrotechnical products,Bis (2-ethylhexyl)phthalate (DEHP),IEC 62321-8
3,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,Polymers of electrotechnical products,Butyl benzyl phthalate(BBP),IEC 62321-8
4,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,Polymers of electrotechnical products,Di-butyl phthalate (DBP),IEC 62321-8
5,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,Polymers of electrotechnical products,Diisobutyl phthalate(DIBP),IEC 62321-8
6,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,Polymers of electrotechnical products,PBBs and PBDEs -Decabrombiphenyl(B-209),IEC 62321-6
7,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,Polymers of electrotechnical products,"PBBs and PBDEs-2,2',3,3',4,4'5,5'-Octabromobiphenyl(BB-194)",IEC 62321-6
8,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,Polymers of electrotechnical products,"PBBs and PBDEs-2,2',3,3',4,4'5,5',6-Nonabromobiphenyl(BB-206)",IEC 62321-6
9,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,Polymers of electrotechnical products,"PBBs and PBDEs-2,2',3,3',4,4'5,5',6-Nonabromodiphenylether(BDE-206)",IEC 62321-6
10,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,Polymers of electrotechnical products,"PBBs and PBDEs-2,2',3,4,4',5,6-Heptabromodiphenylether (BDE-181)",IEC 62321-6
11,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,Polymers of electrotechnical products,"PBBs and PBDEs-2,2',3,4,4'5,5'-Heptabromobiphenyl(BB-180)",IEC 62321-6
12,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,Polymers of electrotechnical products,"PBBs and PBDEs-2,2',3,4,4'5,5'6-Octabromodiphenyl ether(BDE-203)",IEC 62321-6
13,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,Polymers of electrotechnical products,"PBBs and PBDEs-2,2',4,5'-Tetrabromobiphenyl(B-049)",IEC 62321-6
14,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,Polymers of electrotechnical products,"PBBs and PBDEs-2,2',4,5',6-Pentabromobiphenyl(B-103)",IEC 62321-6
15,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,Polymers of electrotechnical products,"PBBs and PBDEs-2,2'3,3'4,4'-Hexabromodiphenyl ether(BDE-128)",IEC 62321-6
16,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,Polymers of electrotechnical products,"PBBs and PBDEs-2,2'4,4'5,5'-Hexabromobiphenyl(BB-153)",IEC 62321-6
17,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,Polymers of electrotechnical products,"PBBs and PBDEs -2,4,6-Tribromobiphenyl (BB-30)",IEC 62321-6
