0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Single Phase 2 Wire Smart Energy Meter Class 1,AC High Voltage Test,IS 16444 (Part 1)
2,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Single Phase 2 Wire Smart Energy Meter Class 1,Insulation Resistance Test,IS 16444 (Part 1)
3,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Single Phase 2 Wire Smart Energy Meter Class 1,Power Consumption -Apparent Power Consumption in currentcircuit at Imax,IS 16444 (Part 1)
4,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Single Phase 2 Wire Smart Energy Meter Class 1,Power Consumption in Voltage circuit -Apparent Power Consumption at Ideal Mode,IS 16444 (Part 1)
5,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Single Phase 2 Wire Smart Energy Meter Class 1,Power Consumption in Voltage circuit at Data Transmission Mode,IS 16444 (Part 1)
6,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Single Phase 2 Wire Smart Energy Meter Class 1,Power Consumption in Voltage circuit at Ideal Mode,IS 16444 (Part 1)
7,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Single Phase 2 Wire Smart Energy Meter Class 1,Test of meter constant,IS 16444 (Part 1)
8,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Single Phase 2 Wire Smart Energy Meter Class 1,Test of no-load condition,IS 16444 (Part 1)
9,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Single Phase 2 Wire Smart Energy Meter Class 1,Test of repeatability oferror,IS 16444 (Part 1)
10,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Single Phase 2 Wire Smart Energy Meter Class 1,Test of starting condition,IS 16444 (Part 1)
11,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Single Phase 2 Wire Smart Energy Meter Class 1,Test on limits of error,IS 16444 (Part 1)
12,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Three Phase 4 Wire Transformer Operated Smart Energy Meter Class 0.5 S,AC High Voltage Test,IS 16444 (Part 2)
13,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Three Phase 4 Wire Transformer Operated Smart Energy Meter Class 0.5 S,Insulation Resistance Test,IS 16444 (Part 2)
14,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Three Phase 4 Wire Transformer Operated Smart Energy Meter Class 0.5 S,Power Consumption -Apparent Power Consumption in currentcircuit at Imax,IS 16444 (Part 2)
15,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Three Phase 4 Wire Transformer Operated Smart Energy Meter Class 0.5 S,Power Consumption in Voltage circuit -Apparent Power Consumption at Ideal Mode,IS 16444 (Part 2)
