0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRONICS- EMCTEST FACILITY,"Electrical and Electronics product operating with AC main : Max current 16 A (AC) per phase,Voltage 230 V for single phase and 400 V for 3phase",Slow Damped Oscillatory Wave Immunity Test,IEC 61000-4-18
2,ELECTRONICS- EMCTEST FACILITY,"Electrical and Electronics product operating with AC main : Max current 16 A (AC) per phase,Voltage 230 V for single phase and 400 V for 3phase, For DC: Max current 25 A and userspecied Voltage",Conducted Emission Measurement,CISPR 14-1
3,ELECTRONICS- EMCTEST FACILITY,"Electrical and Electronics product operating with AC main : Max current 16 A (AC) per phase,Voltage 230 V for single phase and 400 V for 3phase, For DC: Max current 25 A and userspecied Voltage",Conducted Emission Measurement,CISPR 11
4,ELECTRONICS- EMCTEST FACILITY,"Electrical and Electronics product operating with AC main : Max current 16 A (AC) per phase,Voltage 230 V for single phase and 400 V for 3phase, For DC: Max current 25 A and userspecied Voltage",Conducted Emission Measurement,CISPR 32 Edition 2.1
5,ELECTRONICS- EMCTEST FACILITY,"Electrical and Electronics product operating with AC main : Max current 16 A (AC) per phase,Voltage 230 V for single phase and Max current 16 A (AC) per phase, 400 V for 3 phase, For DC: 16 A/48 V, or 10 A/100 V or any intermediate userspecic value (rating lower than 1k W)",EFT Test,IEC 61000-4-4
6,ELECTRONICS- EMCTEST FACILITY,"Electrical and Electronics product operating with AC main : Max current 16 A (AC) per phase,Voltage 230 V for single phase and Max current 16 A (AC) per phase, 400 V for 3 phase, For DC: 16 A/48 V, or 10 A/100 V or any intermediate userspecic value (rating lower than 1k W)",Surge Immunity Test,"IEC 61000-4-5, edition 3.1"
7,ELECTRONICS- EMCTEST FACILITY,Electrical and Electronics product operating with AC main : Max current 16 A and 230 V (max 300 V),Voltage Dips and Interruption Immunity Test,IEC 61000-4-11
8,ELECTRONICS- EMCTEST FACILITY,"Electrical and Electronics product operating with AC main : Max current 16 A per phase, Voltage 230 V for single phase and 400 V for 3 phase, For Dc: Max current 16 A and max voltage 400 V",Conducted RFSusceptibility Test,IEC 61000-4-6
9,ELECTRONICS- EMCTEST FACILITY,"Electrical and Electronics product operating with AC main : Max current 20 A (AC) per phase,Voltage 230 V for single phase and 400 V for 3phase, For DC: user specied Voltage and current",Radiated Emission Measurement,CISPR 11
10,ELECTRONICS- EMCTEST FACILITY,"Electrical and Electronics product operating with AC main : Max current 20 A (AC) per phase,Voltage 230 V for single phase and 400 V for 3phase, For DC: user specied Voltage and current",Radiated Emission Measurement,CISPR 14-1
11,ELECTRONICS- EMCTEST FACILITY,"Electrical and Electronics product operating with AC main : Max current 20 A (AC) per phase,Voltage 230 V for single phase and 400 V for 3phase, For DC: user specied Voltage and current",Radiated Emission Measurement,CISPR 32 edition 2.1
12,ELECTRONICS- EMCTEST FACILITY,"Electrical and Electronics product operating with AC main : Max current 20 A (AC) per phase,Voltage 230 V for single phase and 400 V for 3phase, For DC: user specied Voltage and current",Radiated RF Susceptibility Test,IEC 61000-4-3
13,ELECTRONICS- EMCTEST FACILITY,"Electrical and Electronics product operating with AC main : Max current 20 A per phase, Voltage 230 V for single phase and 400 V for 3 phase, For DC: user specied current and Voltage",Power Frequency Magnetic Field Immunity Test,IEC 61000-4-8
14,ELECTRONICS- EMCTEST FACILITY,"Electrical and Electronics product operating with Single / 3-phase AC main (max current 20 A), DCwith user specied Voltage and current",ESD test,IEC 61000-4-2
15,ELECTRONICS- EMCTEST FACILITY,Electromagnetic Shielding Enclosures,Shielding Eectiveness of Chambers / Material,IEEE 299
16,ELECTRONICS- EMCTEST FACILITY,Vehicle Components / Automotive Products,ESD test,SAE J1113-13
Site Testing,,,,
1,ELECTRONICS- EMCTEST FACILITY,Electromagnetic Shielding Enclosures,Shielding Eectiveness of Chambers / Material,IEEE 299
