0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,CHEMICAL- CORROSIONTESTS,Automotive components,Salt Spray Test (Corrosionresistance) Test space: 450 ltr.(Internal Dimension=850 W*700 D*800 H),ASTM B 117
2,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Connector,Degree of protection againstwater (IPX5),Clause No. 14.2.5 of IEC 60529
3,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Connector,Degree of protection againstwater (IPX8),Clause No. 8.4 of ISO 20653
4,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Connector,"Mechanical Shock Frequency -5 to 2000 Hz, Displacement -50 mm, Acceleration - 100 G(Bare Table)",ISO 16750-3
5,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Connector,"Random Vibration Frequency -5 to 2000 Hz, Displacement -50 mm, Acceleration - 100 G(Bare Table)",ISO 16750-3
6,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Connector,"Sinusoidal Vibration Frequency- 5 to 2000 Hz, Displacement -50 mm, Acceleration - 100 G(Bare Table)",ISO 16750-03
7,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Connectors,Cold for Non Heat-Dissipatingspecimen with Gradual changeof temperature Chamber Size -WXDXH (800x 800 X950 mm),Section Two of IEC 60068-2-1
8,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Connectors,Degree of protection againstwater (IPX5),Clause No. 8.4 of ISO 20653
9,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Connectors,Degree of protection againstwater (IPX7),Clause No. 14.2.7 of IEC 60529
10,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Connectors,Degree of protection againstwater (IPX7),Clause No. 8.4 of ISO 20653
11,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Connectors,Degree of protection againstwater (IPX8),Clause No. 14.2.8 of IEC 60529
12,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Connectors,Low Temperature Exposure Test Chamber Size -WXDXH(800x 800 X950 mm),Clause No. 6.28 of JASO D 616
13,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Connectors,Rapid Change of Temperature -Thermal shock (-70 C to+180 C /0.1 C) Chamber Size -WXDXH (800x 650x 610 mm),Clause 4.22 of ISO 8092-2
14,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Connectors,Temperature & Humidity Cycling (-70 ~ +180 C & 10~95 % RH/0.1 C & 0.1% RH)Chamber Size -WXDXH(800x 800 X950 mm),Clause 6.23 of JASO D 616
15,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Connectors,Temperature /Humidity cycling Test(-70 C~+180 C & 10~95% RH/0.1 C &0.1% RH),Clause 4.10 ISO 8092-2
16,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Connectors,Thermal Shock (-70 C ~+180 C/0.1 C) Chamber Size -WXDXH (800x 650x 610 mm),Clause 6.22 of JASO D 616
17,ELECTRICAL-MISCELLANEOUS,Connector & Terminal,Connection Resistance(Voltage Drop)Test,Clause 4.8 of ISO 8092-2
18,ELECTRICAL-MISCELLANEOUS,Connector & Terminal,Current Cycling Test,Clause No. 4.17 of ISO 8092-2
19,ELECTRICAL-MISCELLANEOUS,Connector & Terminal,Insulation Resistance Test,Clause 4.12 of ISO 8092-2
20,ELECTRICAL-MISCELLANEOUS,Connector & Terminal,Insulation resistance test,Clause 6.11 of JASO D 616
21,ELECTRICAL-MISCELLANEOUS,Connector & Terminal,Temperature Rise Test,Clause 4.14 of ISO 8092-2
22,ELECTRICAL-MISCELLANEOUS,Connector & Terminal,Temperature Rise Test,Clause 6.13 of JASO D 616
23,ELECTRICAL-MISCELLANEOUS,Connector & Terminal,Withstand voltage test,Clause 4.13 ISO 8092-2
24,ELECTRICAL-MISCELLANEOUS,Connector & Terminal,Withstand voltage test,Clause 6.12 JASO D 616
25,ELECTRICAL-MISCELLANEOUS,Connectors,Sealing ability (0.1 bar ~ 5 barpressure/0.1 bar),Clause 6.10 of JASO D 616
26,ELECTRICAL-MISCELLANEOUS,Terminal/Cable,Break Strength (Crimpingstrength),Clause 6.2 of SAE J 1811
27,ELECTRICAL-MISCELLANEOUS,Terminal/Cable,Tensile Strength of Crimped Connections(Crimpingstrength),Clause 4.4 of ISO 8092-2
28,ELECTRICAL-MISCELLANEOUS,Terminal/Cable,Terminal to Conductorattachment (Crimp) Pull Outforce,Clause 5.2.3 of SAE J 1742
29,ELECTRICAL-MISCELLANEOUS,Wire,Flammability Test,Clause 12.4 (b) of IS 2465
30,ELECTRICAL-MISCELLANEOUS,Wires,Resistance to amepropagation,Clause 5.22 of ISO 6722-1
31,MECHANICAL-AUTOMOTIVECOMPONENTS,Corrugated tube,Flammability Test,Clause No. of 4.1 IS 15061(Annex A)
32,MECHANICAL-AUTOMOTIVECOMPONENTS,Grommet Raw Material,Accelerated Ageing & Heat Resistance Tests(Ambient+10 ~250 C/ 0.1 C),ISO 188
33,MECHANICAL-AUTOMOTIVECOMPONENTS,Grommet Raw Material,Compression set test,ASTM D 395 (Method B)
34,MECHANICAL-AUTOMOTIVECOMPONENTS,Grommet Raw Material,Compression set test,ISO 815-1
35,MECHANICAL-AUTOMOTIVECOMPONENTS,Grommet Raw Material,Compression set test,JIS K 6262
36,MECHANICAL-AUTOMOTIVECOMPONENTS,Grommet Raw Material,Determination of Heat Ageing Properties,JIS K 6257
37,MECHANICAL-AUTOMOTIVECOMPONENTS,Grommet Raw Material,Elongation,ASTM D 412
38,MECHANICAL-AUTOMOTIVECOMPONENTS,Grommet Raw Material,Elongation,ISO 37
39,MECHANICAL-AUTOMOTIVECOMPONENTS,Grommet Raw Material,Elongation,JIS K 6251
40,MECHANICAL-AUTOMOTIVECOMPONENTS,Grommet Raw Material,Hardness (Shore A),ASTM D 2240
41,MECHANICAL-AUTOMOTIVECOMPONENTS,Grommet Raw Material,Hardness Test shore A,JIS K 6253-3
42,MECHANICAL-AUTOMOTIVECOMPONENTS,Grommet Raw Material,Hardness Test-Shore-A,ISO 48-4
43,MECHANICAL-AUTOMOTIVECOMPONENTS,Grommet Raw Material,Resistance to Thermaldeterioration/Hot air aging(Ambient+10 ~250 C/ 0.1 C),ASTM D 573-04
44,MECHANICAL-AUTOMOTIVECOMPONENTS,Grommet Raw Material,Tear strength,ASTM D 624-00
45,MECHANICAL-AUTOMOTIVECOMPONENTS,Grommet Raw Material,Tensile strength,ASTM D 412
46,MECHANICAL-AUTOMOTIVECOMPONENTS,Grommet Raw Material,Tensile strength,ISO 37
47,MECHANICAL-AUTOMOTIVECOMPONENTS,Grommet Raw Material,Tensile strength,JIS K 6251
