0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables- For Working Voltages upto and including 1100 volts,Ageing in Air Oven Elongation at Break-Variation (XLPEInsulation),"IS 14255, IS 10810 (Part 11)"
2,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables- For Working Voltages upto and including 1100 volts,Ageing in Air Oven Tensile Strength-Variation (XLPEInsulation),"IS 14255, IS 10810 (Part 11)"
3,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables- For Working Voltages upto and including 1100 volts,Bending test on thecompleted Cable,IS 14255 (Clause 11.4)
4,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables- For Working Voltages upto and including 1100 volts,Breaking load (messengerconductor),"IS 14255, IS 10810 (Part 2)"
5,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables- For Working Voltages upto and including 1100 volts,Elongation at Break (XLPEInsulation),"IS 14255, IS 10810 (Part 7)"
6,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables- For Working Voltages upto and including 1100 volts,Elongation Test(Messenger Conductor),IS 14255
7,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables- For Working Voltages upto and including 1100 volts,High Voltage Test,"IS 14255, IS 10810 (Part 45)"
8,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables- For Working Voltages upto and including 1100 volts,Hot Set Test (XLPEInsulation) Permanent,"IS 14255, IS 10810 (Part 30)"
9,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables- For Working Voltages upto and including 1100 volts,Hot Set Test (XLPEInsulation) Under Load,"IS 14255, IS 10810 (Part 30)"
10,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables- For Working Voltages upto and including 1100 volts,Insulation Resistance(Volume Resistivity) Test,"IS 14255, IS 10810 (Part 43)"
11,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables- For Working Voltages upto and including 1100 volts,Resistance Test (For Phase/Street Light Conductor),"IS 14255, IS 10810 (Part 5)"
12,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables- For Working Voltages upto and including 1100 volts,Resistance Test(Messenger Conductor),"IS 14255, IS 10810 (Part 5)"
13,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables- For Working Voltages upto and including 1100 volts,Shrinkage Test (XLPEInsulation),"IS 14255, IS 10810 (Part 12)"
14,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables- For Working Voltages upto and including 1100 volts,Tensile Strength (XLPEInsulation),"IS 14255, IS 10810 (Part 7)"
15,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables- For Working Voltages upto and including 1100 volts,Tensile Test (For Phase/Street Light Conductor),"IS 14255, IS 10810 (Part 2)"
16,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables- For Working Voltages upto and including 1100 volts,Tensile Test (For Phase/Street Light Conductor),"IS 14255, IS 10810 (Part 6)"
17,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables- For Working Voltages upto and including 1100 volts,Test for Thickness of Insulation,"IS 14255, IS 10810 (Part 6)"
