0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL-CORROSION TESTS,Automotive & Electrical and electronicscomponent.,Resistance to Corrosion,JSS 55555 (Test Number 9)
2,CHEMICAL-CORROSION TESTS,Metallic components,Determination ofresistance to humidity-Condensation test,ISO 6270-2
3,CHEMICAL-CORROSION TESTS,Metallic Components,Resistance to Corrosionon metals and coatedmetals,ASTM B117
4,CHEMICAL-CORROSION TESTS,Metallic Components,Resistance to Corrosionon metals and coatedmetals,ISO 9227
5,CHEMICAL-CORROSION TESTS,Metallic Components,Resistance to Corrosionon metals and coatedmetals,JIS Z 2371
8,CHEMICAL- METALS &ALLOYS,Copper Alloys,Manganese,BS EN 15079
9,CHEMICAL- METALS &ALLOYS,Alloy Steel,Aluminium,IS 8811
10,CHEMICAL- METALS &ALLOYS,Alloy Steel,Arsenic,IS 8811
11,CHEMICAL- METALS &ALLOYS,Alloy Steel,Carbon,IS 8811
12,CHEMICAL- METALS &ALLOYS,Alloy Steel,Chromium,IS 8811
13,CHEMICAL- METALS &ALLOYS,Alloy Steel,Manganese,IS 8811
14,CHEMICAL- METALS &ALLOYS,Alloy Steel,Molybdenum,IS 8811
15,CHEMICAL- METALS &ALLOYS,Alloy Steel,Nickel,IS 8811
16,CHEMICAL- METALS &ALLOYS,Alloy Steel,Niobium,IS 8811
17,CHEMICAL- METALS &ALLOYS,Alloy Steel,Phosphorous,IS 8811
18,CHEMICAL- METALS &ALLOYS,Alloy Steel,Silicon,IS 8811
19,CHEMICAL- METALS &ALLOYS,Alloy Steel,Sulphur,IS 8811
20,CHEMICAL- METALS &ALLOYS,Alloy Steel,Vanadium,IS 8811
21,CHEMICAL- METALS &ALLOYS,Aluminium Alloys,Beryllium,ASTM E 1251 (a)
22,CHEMICAL- METALS &ALLOYS,Aluminium Alloys,Boron,ASTM E 1251 (a)
23,CHEMICAL- METALS &ALLOYS,Aluminium Alloys,Chromium,ASTM E 1251 (a)
24,CHEMICAL- METALS &ALLOYS,Aluminium Alloys,Copper,ASTM E 1251 (a)
25,CHEMICAL- METALS &ALLOYS,Aluminium Alloys,Iron,ASTM E 1251 (a)
26,CHEMICAL- METALS &ALLOYS,Aluminium Alloys,Lead,ASTM E 1251 (a)
27,CHEMICAL- METALS &ALLOYS,Aluminium Alloys,Magnesium,ASTM E 1251 (a)
28,CHEMICAL- METALS &ALLOYS,Aluminium Alloys,Manganese,ASTM E 1251 (a)
29,CHEMICAL- METALS &ALLOYS,Aluminium Alloys,Nickel,ASTM E 1251 (a)
30,CHEMICAL- METALS &ALLOYS,Aluminium Alloys,Silicon,ASTM E 1251 (a)
31,CHEMICAL- METALS &ALLOYS,Aluminium Alloys,Tin,ASTM E 1251 (a)
32,CHEMICAL- METALS &ALLOYS,Aluminium Alloys,Titanium,ASTM E 1251 (a)
33,CHEMICAL- METALS &ALLOYS,Aluminium Alloys,Vanadium,ASTM E 1251 (a)
34,CHEMICAL- METALS &ALLOYS,Aluminium Alloys,Zinc,ASTM E 1251 (a)
35,CHEMICAL- METALS &ALLOYS,Aluminium Alloys,Zirconium,ASTM E 1251 (a)
