0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Absolute Alcohol/Rectied Spirit/ Ethyl Alcohol,Acetal,IS 323 (Annex B)
2,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Absolute Alcohol/Rectied Spirit/ Ethyl Alcohol,Acetaldehyde,IS 323 (Annex B)
3,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Absolute Alcohol/Rectied Spirit/ Ethyl Alcohol,Acidity as Acetic Acid,IS 323 (Annex D)
4,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Absolute Alcohol/Rectied Spirit/ Ethyl Alcohol,Alcohol Strength,OIML-ITS-90; International Organization of Legal Metrology
5,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Absolute Alcohol/Rectied Spirit/ Ethyl Alcohol,Alkalinity,IS 323 (Annex D)
6,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Absolute Alcohol/Rectied Spirit/ Ethyl Alcohol,Crotonaldehyde,IS 323 (Annex B)
7,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Absolute Alcohol/Rectied Spirit/ Ethyl Alcohol,Ethanol Content-,IS-323(Annex B)
8,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Absolute Alcohol/Rectied Spirit/ Ethyl Alcohol,Ethyl Acetate,IS 323 (Annex B)
9,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Absolute Alcohol/Rectied Spirit/ Ethyl Alcohol,Furfural,IS 323 (Annex B)
10,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Absolute Alcohol/Rectied Spirit/ Ethyl Alcohol,Iso- amyl alcohol,IS 323 (Annex B)
11,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Absolute Alcohol/Rectied Spirit/ Ethyl Alcohol,Iso- butanol,IS 323 (Annex B)
12,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Absolute Alcohol/Rectied Spirit/ Ethyl Alcohol,Iso-propanol,IS 323 (Annex B)
13,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Absolute Alcohol/Rectied Spirit/ Ethyl Alcohol,Methanol,IS 323 (Annex B)
14,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Absolute Alcohol/Rectied Spirit/ Ethyl Alcohol,Miscibility with water,IS-323(Annex C)
15,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Absolute Alcohol/Rectied Spirit/ Ethyl Alcohol,n- butanol,IS 323(Annex B)
16,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Absolute Alcohol/Rectied Spirit/ Ethyl Alcohol,n-propanol,IS 323 (Annex B)
17,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Absolute Alcohol/Rectied Spirit/ Ethyl Alcohol,Permanganate Reaction Time,IS-6613
18,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Absolute Alcohol/Rectied Spirit/ Ethyl Alcohol,Residue On Evaporation,IS-323 (Annex E)
19,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Absolute Alcohol/Rectied Spirit/ Ethyl Alcohol,Specic Gravity,ASTM D 4052
