0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
5,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Anchoring Clamp,Dielectric Voltage,"NFC 33-041, Cl. 7.4.1"
6,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Compression and Mechanical connectors for Power Cables,Heat Cycle Test,IEC 61238-1 CL 6.3
7,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Connectors for DC application in PV system,Dielectric test,"IEC 62852, Cl. 6.3.8"
8,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Connectors for DC application in PV system,Temperature rise,"IEC 62852, CL. 6.3.4"
9,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Distribution box,Flammability,IS 11731 (Part 2)
10,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Distribution box,Ingress Protection 2 X,IS / IEC 60529
11,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Distribution box,Temperature rise,IS 8623 (Part 1) Cl.8.2.1
12,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Electrical Connector,Electrical test,"ANSI C 119.4, CL. 4.3"
13,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Electrical Connector - Sealed insulated undergroundconnector,Electrical test,"ANSI 119.1, CL4.3"
14,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Electrical connector - Sealed insulated undergroundconnector,Sealing tests,"ANSI C 119.1, CL 6.2"
15,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Electrical Connectors,Current Cycle Test,"ANSI 119.4, Cl. 6.3.1"
16,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Electrical Connectors,Current Cycle Test,"ANSI 119.4, Cl.6.3.1"
17,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,"Equipment terminal connectors Palm Connector, T-Connector, CT/PT Connector Expansion Connector &Junction connector Parellel Groove Clamp",Temperature rise test,"IS 5561 ,Cl.13"
18,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,"Equipment terminal connectors Palm Connector, T-Connector, CT/PT Connector)Expansion Connector &Junction connector Parellel Groove Clamp",Resistance test,"IS 5561, Cl 12"
19,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Insulation Piercing Connector,Water tightness test,"EN 50483-4, CL 8.1.3.2"
20,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Insulation Piercing connector of class 1 only,Dielectrical voltage test,"EN 50483-4, CL 8.1.3.1"
21,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Insulation piercing connector of Class B only,Dielectric Voltage test,"NFC 33 020, Cl. 6.4"
22,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Insulation piercing connector of Class B only,Electrical Ageing,EN 50483-5 (excluding Optional Immersion Test)
23,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Insulation piercing connector of Class B only,Electrical Ageing,EN 50483-5 (excluding Optional Immersion Test)
24,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Insulation piercing connector of Class B only,Electrical Ageing,NFC 33 004
25,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Insulation piercing connector of Class B only,Electrical Ageing,NFC 33 004
26,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Insulation piercing connector of Class B only,Electrical Ageing,"NFC 33 020, Cl. 6.8"
27,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Insulation piercing connector of Class B only,Electrical Ageing,"NFC 33 020,Cl. 6.8"
28,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Insulation piercing connector of Class B only,Water tightness,"NFC 33 020,Cl. 6.4"
29,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Metal ttings Bolted Type Compression clamps Suspensionclamp,Heating Cycling,"IS 2486 (Part 1), Cl.12.1.1"
30,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Metal ttings bolted type compression clamps suspensionclamp,Electrical resistance as pertension clamp,"IS 2486 (Part 1), Cl.12.1.1"
31,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Metal ttings Bolted Type Compression clamps Suspensionclamp,Heating Cycling,"IS 2486 (Part 1), Cl.12.1.1"
32,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Over head line ttings,Magnetic losses test,"IEC 61284, Cl. 12"
33,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Overhead line ttings,Heat cycle test,IEC 61284 Clause 13
34,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Pre-insulated terminals (Lugs),Electrical ageing test,"EN 50483-4, CL. 8.3.6"
35,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Pre-insulated terminals (Lugs),Water tightness test,"EN 50483-4, CL. 8.3.3"
36,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Pre-insulated through connectors,Dielectrical voltage test,"EN 50483-4, CL : 8.2.3.1"
37,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Pre-insulated through connectors,Electrical ageing test,"EN 50483-4, CL 8.2.6"
38,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,"preformed Armor rod, Midspan compression joints, Repairsleeve, Earth wire ttings/accessories, Suspension clamp,Tension clamp suitable for earth wire conductor",Electrical resistance for Armor Rod,"IS 2121 (Part 1), Cl. 7.5"
39,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,"preformed Armor rod, Midspan compression joints, Repairsleeve, Earth wire ttings/accessories, Suspension clamp,Tension clamp suitable for earth wire conductor",Heating Cycle,"IS 2121 (Part 2), Cl. 6.6"
40,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,"preformed Armor rod, Midspan compression joints, Repairsleeve, Earth wire ttings/accessories, Suspension clamp,Tension clamp suitable for earth wire conductor",Heating Cycle,"IS 2121 (Part 2), Cl. 6.6"
41,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,"preformed Armor rod, Midspan compression joints, Repairsleeve, Earth wire ttings/accessories, Suspension clamp,Tension clamp suitable for earth wire conductor)",Electrical resistance test,"IS 2121 (Part 2), Cl. 6.5"
42,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Suspension Clamp,Voltage test on suspensionclamps,"NFC 33-040, Cl. 7.4"
43,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Ferrous and Non-Ferrous Metals & Alloys,Brinell Hardness (HBW 5/250),IS 1500 Part 1
44,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Ferrous and Non-Ferrous Metals & Alloys,Vickers Hardness (HV 5),IS 1501 (Part 1)
45,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Fibre Optic Cable Accessories - Grounding & Structuremounting Clamp,Clamp Strength Test,"POWERGRID Technical Specification - Volume B Appendix F_3, Cl. 7"
46,MECHANICAL- NOISE &VIBRATION,Spacer Damper,Assembly Torque,"IS 10162, Cl 5.8"
47,MECHANICAL- NOISE &VIBRATION,spacer damper,Characterization of the elasticand damping properties,"IEC 61854, Cl.7.5.5 (A)"
48,MECHANICAL- NOISE &VIBRATION,Spacer Damper,Clamp Bolt Torque,"IEC 61854, Cl.7.5.3"
49,MECHANICAL- NOISE &VIBRATION,Spacer Damper,Clamp Bolt Torque,"IS10162, Cl.5.7"
50,MECHANICAL- NOISE &VIBRATION,Spacer Damper,Clamp slip,"IEC 61854,Cl.7.5.1.1 (b)"
51,MECHANICAL- NOISE &VIBRATION,Spacer Damper,Clamp Slip,"IS 10162, Cl.5.5"
52,MECHANICAL- NOISE &VIBRATION,Spacer Damper,Clamp Slip Test,"POWERGRID Technical Specification Section VI B, Rev.1, Annexure A, Cl. 2.4.b)"
53,MECHANICAL- NOISE &VIBRATION,Spacer Damper,Compression and Tension Test,"IEC 61854, Cl 7.5.4"
54,MECHANICAL- NOISE &VIBRATION,spacer Damper,Dimension Verication,"IEC 61854, Cl 7.2"
55,MECHANICAL- NOISE &VIBRATION,Spacer Damper,Dimension Verication,"IS 10162, Cl. 5.3"
56,MECHANICAL- NOISE &VIBRATION,Spacer Damper,Movement -Longitudinal Movement -Vertical Movement-Torsional Movement,"IS 10162,Cl.5.4"
57,MECHANICAL- NOISE &VIBRATION,Spacer Damper,Sub span oscillation,"IEC 61854,Cl.7.5.7.2"
58,MECHANICAL- NOISE &VIBRATION,Spacer Damper,Visual Examination,"IEC 61854, Cl 7.1"
59,MECHANICAL- NOISE &VIBRATION,Spacer Damper,Visual Examination,"IS 10162, Cl 5.2"
60,MECHANICAL- NOISE &VIBRATION,Stockbridge Vibration Dampers,Corrosion Protection Tests,"IEC 61897, Cl. 7.3.1"
61,MECHANICAL- NOISE &VIBRATION,Stockbridge Vibration Dampers,Corrosion Protection Tests,"IEC 61897, Cl. 7.3.3"
62,MECHANICAL- NOISE &VIBRATION,Vibration Damper,Clamp Bolt Torque,"IS 9708,Cl. 7.10"
63,MECHANICAL- NOISE &VIBRATION,Vibration Damper,Clamp Bolt Torque,"IEC 61897, Cl. 7.7"
64,MECHANICAL- NOISE &VIBRATION,Vibration Damper,Clamp Slip,"IEC 61897, Cl. 7.5"
65,MECHANICAL- NOISE &VIBRATION,Vibration Damper,Clamp Slip,"IS 9708,Cl. 3.17"
66,MECHANICAL- NOISE &VIBRATION,Vibration Damper,Clamp to Messenger cable pull,"IEC 61897, Cl. 7.9"
67,MECHANICAL- NOISE &VIBRATION,Vibration Damper,Mass Pull,"IEC 61897, Cl. 7.8"
68,MECHANICAL- NOISE &VIBRATION,Vibration Damper,Mass Pull,"IS 9708,Cl. 7.6"
69,MECHANICAL- NOISE &VIBRATION,Vibration Damper,Resonance Frequency,"IS 9708,Cl. 7.4"
70,MECHANICAL- NOISE &VIBRATION,Vibration Damper,Strength of the Messenger Cable,"POWERGRID Technical Specification Section VI B, Rev.1, Annexure B, Cl. 3.c)"
71,MECHANICAL- NOISE &VIBRATION,Vibration Damper,Verication of Dimension,"IEC 61897, Cl. 7.2"
72,MECHANICAL- NOISE &VIBRATION,Vibration Damper,Verication of Dimension,"IS 9708,Cl. 7.3"
73,MECHANICAL- NOISE &VIBRATION,Vibration Damper,Verication of Visual Examination,"IS 9708,Cl. 7.2"
74,MECHANICAL- NOISE &VIBRATION,Vibration Damper,Visual Examination,"IEC 61897, Cl. 7.1"
75,MECHANICAL-PERFORMANCE/DURABILITY/ SAFETY TEST,Alignment Tie,Damage and failure load,"EN-50397-2, Cl. 7.4.1"
76,MECHANICAL-PERFORMANCE/DURABILITY/ SAFETY TEST,Alignment Tie,Lift load and side load atambient temperature,"EN-50397-2,Cl. 7.4.5"
77,MECHANICAL-PERFORMANCE/DURABILITY/ SAFETY TEST,Alignment Tie,Permanent marking,"EN-50397-2, Cl. 7.3"
78,MECHANICAL-PERFORMANCE/DURABILITY/ SAFETY TEST,Alignment Tie,Slip at ambient temperature,"EN-50397-2, Cl. 7.4.2"
79,MECHANICAL-PERFORMANCE/DURABILITY/ SAFETY TEST,Aluminium Dead end clamp Bolted and Compression type,Slip Strength,"IS 2486 (Part 1), Cl.11.1"
80,MECHANICAL-PERFORMANCE/DURABILITY/ SAFETY TEST,Aluminium Dead end clamp Bolted and Compression type,Tensile Test / Slip Strength,"IEC 61284, Cl.11.5.1"
81,MECHANICAL-PERFORMANCE/DURABILITY/ SAFETY TEST,Aluminium Suspension Clamp,Tensile Breaking Load,"IS 2486(Part 1), Cl.11.2.1"
82,MECHANICAL-PERFORMANCE/DURABILITY/ SAFETY TEST,Aluminium Suspension Clamp,Vertical damage load andfailure load test / Tensile Breaking Load,"IEC 61284,Cl.11.4.1"
83,MECHANICAL-PERFORMANCE/DURABILITY/ SAFETY TEST,Aluminium Suspension Clamp,Visual Examination &Dimensional,"IS 2486 (Part 1), Cl. 5, Cl. 8"
84,MECHANICAL-PERFORMANCE/DURABILITY/ SAFETY TEST,Aluminium Dead end clamp Bolted and Compression type,Dimensional & Materialverication,"IEC 61284, Cl.8"
85,MECHANICAL-PERFORMANCE/DURABILITY/ SAFETY TEST,Aluminium Dead end clamp Bolted and Compression type,Verication of Dimension,"IS 2486 (Part 1), Cl.8"
86,MECHANICAL-PERFORMANCE/DURABILITY/ SAFETY TEST,Aluminium Brackets & Dead end Clamps,Tensile Proof load,NFC 33-040
87,MECHANICAL-PERFORMANCE/DURABILITY/ SAFETY TEST,Aluminium Brackets & Dead end Clamps,Tensile Proof load,NFC 33-041
88,MECHANICAL-PERFORMANCE/DURABILITY/ SAFETY TEST,Aluminium Suspension Clamp,Slip Strength,"IS 2486 (Part 1), Cl.11.1"
89,MECHANICAL-PERFORMANCE/DURABILITY/ SAFETY TEST,Aluminium T -Clamp,Axial Tensile Load Test for Welded Portion of T Clamp,"POWERGRID Technical Specification, Section VI B,Rev. 1, Annexure A, Cl. 2.2"
90,MECHANICAL-PERFORMANCE/DURABILITY/ SAFETY TEST,Anchoring / Dead End Clamp,Check for permanent marking,"NFC 33 041, Cl. 8.2"
91,MECHANICAL-PERFORMANCE/DURABILITY/ SAFETY TEST,Anchoring / Dead End Clamp,Check for permanent marking,"NFC 33 041, Cl No 3.2"
92,MECHANICAL-PERFORMANCE/DURABILITY/ SAFETY TEST,Anchoring / Dead End Clamp,Dynamic / Tensile Test at Low Temperature,"NFC 33 041, Cl. 2.5"
93,MECHANICAL-PERFORMANCE/DURABILITY/ SAFETY TEST,Anchoring / Dead End Clamp,Endurance Test undermechanical and thermalstresses,"NFC 33 041, Cl No 2.9"
94,MECHANICAL-PERFORMANCE/DURABILITY/ SAFETY TEST,Anchoring / Dead End Clamp,Endurance Test undermechanical and thermalstresses,"NFC 33 041, Cl.7.9"
95,MECHANICAL-PERFORMANCE/DURABILITY/ SAFETY TEST,Anchoring / Dead End Clamp,Mechanical Tests (Tensile teston brackets & Tensile test on Anchoring clamps),"NFC 33 041, Cl No 2.3"
96,MECHANICAL-PERFORMANCE/DURABILITY/ SAFETY TEST,Anchoring / Dead End Clamp,Mechanical Tests (Tensile teston brackets & Tensile test on Anchoring clamps),"NFC 33 041, Cl. 7.3"
97,MECHANICAL-PERFORMANCE/DURABILITY/ SAFETY TEST,Anchoring / Dead End Clamp,Tensile Test at Low Temperature,"NFC 33 041, Cl No 7.5"
