0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Electrical (Electromechanical) Energy meters(Class 0.5,1 & 2)",Limits of Error,"IS 13010, Cl.11.5: 2002"
2,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Electrical (Electromechanical) Energy meters(Class 0.5,1 & 2)",Test of Inuence Quantities-Voltagevariation,"IS 13010, Cl.11.11: 2002"
3,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Electrical (Electromechanical) Energy meters(Class 0.5,1 & 2)",AC High Voltage,"IS 13010, Cl.11.10.3:2002"
4,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Electrical (Electromechanical) Energy meters(Class 0.5,1 & 2)",Insulation Resistance,"IS 13010, Cl.11.2: 2002"
5,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Electrical (Electromechanical) Energy meters(Class 0.5,1 & 2)",Meter Constatnt,"IS 13010, Cl.11.6: 2002"
6,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Electrical (Electromechanical) Energy meters(Class 0.5,1 & 2)",No Load Condition,"IS 13010, Cl.11.3: 2002"
7,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Electrical (Electromechanical) Energy meters(Class 0.5,1 & 2)",Repeatability of Error,"IS 13010, Cl.11.19: 2002"
8,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Electrical (Electromechanical) Energy meters(Class 0.5,1 & 2)",Starting Current,"IS 13010, Cl.11.4: 2002"
9,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Electrical (Electromechanical) Energy meters(Class 0.5,1 & 2)",Test of inuence Quantities-Frequencyvariation,"IS 13010, Cl.11.11: 2002"
10,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Electrical (Electromechanical) Energy meters(Class 0.5,1 & 2)",Test of Inuence Quantities-Harmonics in Voltage and Current,"IS 13010, Cl.11.11: 2002"
11,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Electrical (Electromechanical) Energy meters(Class 0.5,1 & 2)",Test of Inuence Quantities-Reverse Phase Sequence,"IS 13010, Cl.11.11: 2002"
12,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Electrical (Electromechanical) Energy meters(Class 0.5,1 & 2)",Test of Power Consumption,"IS 13010, Cl.11.8: 2002"
13,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Electrical and Electronic (Static) Energy meters(Class 0.2, 0.5 &1.0)",Limits of error,"CBIP 304, Cl.5.6.8(Withdrawn): 2008"
14,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Electrical and Electronic (Static) Energy meters(Class 0.2, 0.5 &1.0)",AC High Voltage,"CBIP 304,Cl.5.4.6.3(Withdrawn):2008"
