0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",D.C. or a.c. supplied electronic controlgear for LED module,Terminals,IEC 61347-2-13 Cl. 9 +AMD1
2,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",D.C. or a.c. supplied electronic controlgear for LED module,Terminals,EN-IEC 61347-2-13 Cl.9+A1
3,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",D.C. or a.c. supplied electronic controlgear for LED modules,Circuit power factor,IS 16104 Cl. 9
4,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",D.C. or a.c. supplied electronic controlgear for LED modules,Circuit power factor,EN-IEC 62384 Cl. 9
5,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",D.C. or a.c. supplied electronic controlgear for LED modules,Circuit power factor,IEC 62384 Cl. 9
6,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",D.C. or a.c. supplied electronic controlgear for LED modules,Classication,EN-IEC 62384 Cl. 5
7,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",D.C. or a.c. supplied electronic controlgear for LED modules,Classication,EN 61347-1 Cl. 6 + A1
8,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",D.C. or a.c. supplied electronic controlgear for LED modules,Classication,IEC 61347-1 Cl 6 +A1
9,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",D.C. or a.c. supplied electronic controlgear for LED modules,Classication,IS 15885 Part-1 Cl. 6
10,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",D.C. or a.c. supplied electronic controlgear for LED modules,Classication,IEC 62384 Cl. 5
11,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",D.C. or a.c. supplied electronic controlgear for LED modules,Creepage distances andclearances,EN 61347-2-13 Cl. 17 +A1
12,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",D.C. or a.c. supplied electronic controlgear for LED modules,Creepage distances andclearances,IEC 61347-1 Cl. 16+A1
13,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",D.C. or a.c. supplied electronic controlgear for LED modules,Creepage distances andclearances,IEC 61347-2-13 Cl.17+AMD1
14,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",D.C. or a.c. supplied electronic controlgear for LED modules,Creepage distances andclearances,IS 15885 Part 2/Sec 13 Cl.17
15,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",D.C. or a.c. supplied electronic controlgear for LED modules,Creepage distances andclearances,EN 61347-1 Cl. 16+A1
16,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",D.C. or a.c. supplied electronic controlgear for LED modules,Creepage distances andclearances,EN-IEC 61347-2-13 Cl. 17
17,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",D.C. or a.c. supplied electronic controlgear for LED modules,Creepage distances andclearances,IS 15885 Part-1 Cl. 16
18,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",D.C. or a.c. supplied electronic controlgear for LED modules,Electric strength,EN 61347-2-13 Cl. 12+ A1
