0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliance for heating liquids,Abnormal operation,"Cl.19.1, 19.2, 19.3, 19.4, 19.5,19.6 of IEC 60335-2 15, IS 302 Part 2 sec 15"
2,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliance for heating liquids,Abnormal operation,"Cl.19.101 of IEC 60335-2 15, IS302 Part 2 sec 15"
3,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliance for heating liquids,Abnormal operation,"Cl.19.102 of IEC 60335-2 15, IS302 Part 2 sec 15"
4,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliance for heating liquids,Abnormal operation,"Cl.19.103 of IEC 60335-2 15, IS302 Part 2 sec 15"
5,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliance for heating liquids,Abnormal operation,"Cl.19.11.1 of IEC 60335-2 15,IS 302 Part 2 sec 15"
6,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliance for heating liquids,Abnormal operation,"Cl.19.11.2 and 19.11.3, 19.13of IEC 60335-2 15, IS 302 Part 2 sec 15"
7,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliance for heating liquids,Abnormal operation,"Cl.19.12 of IEC 60335-2 15, IS302 Part 2 sec 15"
8,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliance for heating liquids,Abnormal operation,"Cl.19.7, 19.8, 19.10 of IEC60335-2 15, IS 302 Part 2 sec 15"
9,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliance for heating liquids,"CLEARANCES, CREEPAGEDISTANCES AND SOLIDINSULATION","Cl. 29 of IEC 60335-2 15, IS302 Part 2 sec 15"
10,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliance for heating liquids,Construction,"Cl. 22, 22.1, 22.2 of IEC60335-2 15, IS 302 Part 2 sec 15"
11,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliance for heating liquids,Construction,"Cl. 22.3 & 22.4 of IEC 60335-215, IS 302 Part 2 sec 15"
12,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliance for heating liquids,Construction,"Cl. 22.5 of IEC 60335-2 15, IS302 Part 2 sec 15"
13,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliance for heating liquids,Construction,"Cl. 22.6 to 22.45 of IEC60335-2 15, IS 302 Part 2 sec 15"
14,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliance for heating liquids,Construction,"Cl.22.101, 22.102, 22.103 of IEC 60335-2 15, IS 302 Part 2sec 15"
15,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliance for heating liquids,Construction,"Cl.22.104 of IEC 60335-2 15, IS302 Part 2 sec 15"
16,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliance for heating liquids,Construction,"Cl.22.105 to 22.110 of IEC60335-2 15, IS 302 Part 2 sec 15"
17,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliance for heating liquids,Heating,"Cl.11 of IEC 60335-2 15, IS 302 Part 2 sec 15"
