0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Temperature Shock / Rapidchange of Temperature,"MIL-STD-810 D, Test Method 503.2"
2,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Bump Test,IEC 60068-2-27
3,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Bump Test,IS 9000 (Part 7/Sec II)
4,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Bump Test,"JSS 50101, Test Number 11"
5,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Bump Test,"JSS 55555, Test Number 5"
6,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Bump Test,Clause 4.11 IS 10250
7,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Bump Test,"IEC 60571, Clause No 12.2.12"
8,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Bump Test,"JSS 55400 Rev No.1, Test Number 13"
9,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Bump Test,JSS 5855-11 Test Number 8
10,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Bump Test,"JSS-0256-01, Test Number 21"
11,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Change of Temperature /Temperature Cycling test,ETSI EN 300 019-2-1
12,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Change of Temperature /Temperature Cycling test,ETSI EN 300 019-2-2
13,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Change of Temperature /Temperature Cycling test,ETSI EN 300 019-2-3
14,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Change of Temperature /Temperature Cycling test,ETSI EN 300 019-2-4
15,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Change of Temperature /Temperature Cycling test,ETSI EN 300 019-2-5
16,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Change of Temperature /Temperature Cycling test,ETSI EN 300 019-2-6
17,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Change of Temperature /Temperature Cycling test,JSS 50101 Test Number 20
18,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Change of Temperature /Temperature Cycling test,MIL-STD 883 L
19,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Change of Temperature /Temperature Cycling test,MIL-STD-883-1
20,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Change of Temperature /Temperature Cycling test,MIL-STD-883 L Test Method 1010.9
21,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Change of Temperature /Temperature Cycling test,"RTCA DO-160 F section 5,Category B & C"
22,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Change of Temperature /Temperature Cycling test,EN 50155 Cl. 4.3.2
23,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Change of Temperature /Temperature Cycling test,IS 9000(Part 14/Sec I & II)
24,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Change of Temperature /Temperature Cycling test,ISO 16750-4 Cl. 5.2 & 5.3
25,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Change of Temperature /Temperature Cycling test,JSS 55430 Test number 13.15
26,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Change of Temperature /Temperature Cycling test,"Na & Nb, IEC 60068-2-14;IS/IEC 60068 (Part 2) (Sec 14)"
27,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Change of Temperature /Temperature Cycling test,RTCA DO-160 G Section 5.0 Category B & C
28,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Cold Test/Low temperature test,"MIL-STD-810 E, Test Method 502.3"
29,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Cold Test/Low temperature test,EN 50125-3
30,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Cold Test/Low temperature test,"IEC 60571, Clause 12.2.4"
31,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Cold Test/Low temperature test,"Test number 13.16.6 JSS55430, Rev No. 1"
32,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Cold Test/Low temperature test,Cl. 5.2 ISO 15003
33,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Cold Test/Low temperature test,"Clause 13.4.4, 13.4.6 EN 50155"
34,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Cold Test/Low temperature test,Clause 2.3.3 IS 15908
35,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Cold Test/Low temperature test,Clause 4.4 IS 10250
36,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Cold Test/Low temperature test,Clause 5.6 IS 2175
37,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Cold Test/Low temperature test,EN 50125-1
38,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Cold Test/Low temperature test,EN 60068-2-1
39,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Cold Test/Low temperature test,ETSI EN 300 019-2- 6
40,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Cold Test/Low temperature test,ETSI EN 300 019-2-1
41,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Cold Test/Low temperature test,ETSI EN 300 019-2-2
42,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Cold Test/Low temperature test,ETSI EN 300 019-2-3
43,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Cold Test/Low temperature test,ETSI EN 300 019-2-4
44,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Cold Test/Low temperature test,ETSI EN 300 019-2-5
45,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Cold Test/Low temperature test,IEC 60068-2-1
46,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Cold Test/Low temperature test,IEC 60945
47,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Cold Test/Low temperature test,IEC 62498-1
48,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Cold Test/Low temperature test,IS/IEC 60068-2-1
49,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Cold Test/Low temperature test,"ISO 16750-4, Cl. 5.1.1"
50,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Cold Test/Low temperature test,ISTA 3 A
51,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Cold Test/Low temperature test,"JSS 0256-01, Rev 1, Test Number 2"
52,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Cold Test/Low temperature test,"JSS 55555, Test Number 20"
53,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Cold Test/Low temperature test,"JSS 5855-11, Test Number 12"
54,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Cold Test/Low temperature test,MIL-HDBK-310
55,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Cold Test/Low temperature test,"MIL-STD-810 C, Test Method 502.1"
56,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Cold Test/Low temperature test,"MIL-STD-810 D, Test Method 502.3"
57,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Cold Test/Low temperature test,"MIL-STD-810 F, Test Method 502.4"
58,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Cold Test/Low temperature test,"MIL-STD-810 G, Test Method 502.5"
59,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Cold Test/Low temperature test,"MIL-STD-810 H, Test Method 502.7"
60,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Cold Test/Low temperature test,Test number 1 QM333
61,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Cold Test/Low temperature test,Test number 21 JSS 50101
62,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Combined climatic(temperature/humidity) anddynamic (vibration/shock) tests,IEC 60068-2-53
63,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Compositetemperature/humidity cyclictest,MIL-DTL-3885 H
64,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Compositetemperature/humidity cyclictest,EN 50155 Cl. 4.3.7
65,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Compositetemperature/humidity cyclictest,IEC 60068-2-38; IS/IEC60068-2-38
66,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical, Electromechanical, Electro Technical Automotiveproducts, Including Sub-Assemblies, Accessories andcomponents",Compositetemperature/humidity cyclictest,ISTA 2 A
