0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformer(From 11k V,100k VA up to 400k V,500 MVA)",Determination of Sound Level Test,IEC 60076-10
2,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformer(From 11k V,100k VA up to 400k V,500 MVA)",Induce Over voltage withstand Test (IVW & IVPD),"IS 2026 (Part 3),CL. No. 11,Fourth Revision"
3,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformer(From 11k V,100k VA up to 400k V,500 MVA)",Measurement of Harmoniccontent of No-Load Current,"IS 2026 (Part 1), CL 10.6,Rearmed:2016"
4,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformer(From 11k V,100k VA up to 400k V,500 MVA)",Measurement of short-circuitimpedance,"IS 2026 (Part 1), CL 10.4,Rearmed:2016"
5,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformer(From 11k V,100k VA up to 400k V,500 MVA)",Applied voltage test,"IEC 60076- 3, CL7.3,Amendment:2018: 2013"
6,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformer(From 11k V,100k VA up to 400k V,500 MVA)",Applied voltage test,"IS 2026 (Part 3), CL.10(Fourthrevision)"
7,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformer(From 11k V,100k VA up to 400k V,500 MVA)",Chopped wave lightningimpulse test for the lineterminals,"IEC 60076- 3, CL13.3,Amendment:2018"
8,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformer(From 11k V,100k VA up to 400k V,500 MVA)",Chopped wave lightningimpulse test for the lineterminals,"IS 2026(Part-3),CL 13.3, Fourth Revision"
9,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformer(From 11k V,100k VA up to 400k V,500 MVA)",Determination of capacitanceswindings-to-earth and betweenwindings & Measurement ofdissipation factor (tan d) of theinsulation system capacitances,"IS 2026 (Part 1),CL 10.1.3,Rearmed:2016"
10,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformer(From 11k V,100k VA up to 400k V,500 MVA)",Determination of capacitanceswindings-to-earth and betweenwindings & Measurement ofdissipation factor (tan d) of theinsulation system capacitances& Measurement of dissipationfactor (tan d) of the insulationsystem capacitances,"IEC 60076-1,CL 11.1.4"
11,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformer(From 11k V,100k VA up to 400k V,500 MVA)",Determination of Sound Level Test,"IS 2026 (Part 10),Rearmed:2019"
12,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformer(From 11k V,100k VA up to 400k V,500 MVA)",Determination of Sound Level Test,NEMA TR-1
13,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformer(From 11k V,100k VA up to 400k V,500 MVA)",Full wave lightning impulsetest for the line terminals &neutral terminal,"IEC 60076-3, CL 13.2 & 13.4,Amendment:2018"
14,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformer(From 11k V,100k VA up to 400k V,500 MVA)",Full wave lightning impulsetest for the line terminals &neutral terminal,"IS 2026(Part 3),CL13.2 & 13.4,Fourth Revision"
15,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformer(From 11k V,100k VA up to 400k V,500 MVA)",Induce Over voltage withstand Test (IVW & IVPD),"IEC 60076-3,CL 11,Amendment:2018"
16,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformer(From 11k V,100k VA up to 400k V,500 MVA)",Line terminal AC withstandvoltage test (LTAC),"IS 2026(Part-3),CL 12,Amendment:2018"
17,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformer(From 11k V,100k VA up to 400k V,500 MVA)","Measurement of D.C. insulationresistance each winding toearth, between windings &between core & frame","IEC 60076-1,CL 11.1.4"
18,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformer(From 11k V,100k VA up to 400k V,500 MVA)","Measurement of D.C. insulationresistance each winding toearth, between windings &between core & frame","IS 2026 (Part 1), CL 10.1.3,Rearmed:2016"
19,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformer(From 11k V,100k VA up to 400k V,500 MVA)",Measurement of frequencyresponse (Frequency Response Analysis or FRA),IEC 60076-18
20,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformer(From 11k V,100k VA up to 400k V,500 MVA)",Measurement of frequencyresponse (Frequency Response Analysis or FRA),IS 2026(Part 18)
21,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformer(From 11k V,100k VA up to 400k V,500 MVA)",Measurement of Load Losses,"IEC 60076-1,CL 11.4"
22,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformer(From 11k V,100k VA up to 400k V,500 MVA)",Measurement of Load Losses,"IS 2026 (Part 1),CL 10.4.,Rearmed:2016"
23,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformer(From 11k V,100k VA up to 400k V,500 MVA)",Measurement of Magnetic Balance,CBIP PUB. NO. 317
24,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformer(From 11k V,100k VA up to 400k V,500 MVA)",Measurement of No loadcurrent & No Load Losses at 90to 110% of rated voltage,"IEC 60076-1, CL 11.5"
25,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformer(From 11k V,100k VA up to 400k V,500 MVA)",Measurement of No loadcurrent & No Load Losses at 90to 110% of rated voltage,"IS 2026 (Part 1),CL 10.5,Rearmed:2016"
26,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformer(From 11k V,100k VA up to 400k V,500 MVA)",Measurement of phasedisplacement / Vector group,"IEC 60076-1, CL 11.3"
27,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformer(From 11k V,100k VA up to 400k V,500 MVA)",Measurement of phasedisplacement / Vector group,"IS 2026 (Part 1),CL 10.3,Rearmed:2016"
28,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformer(From 11k V,100k VA up to 400k V,500 MVA)",Measurement of short-circuitimpedance,"IEC 60076-1, CL 11.4"
29,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformer(From 11k V,100k VA up to 400k V,500 MVA)",Measurement of the powertaken by the fan and liquidpump motors,"IEC 60076-1, CL 11.1.3"
30,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformer(From 11k V,100k VA up to 400k V,500 MVA)",Measurement of the powertaken by the fan and liquidpump motors,"IS 2026 (Part 1), CL 10.1.3,Rearmed:2016"
31,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformer(From 11k V,100k VA up to 400k V,500 MVA)",Measurement of voltage ratio,"IEC 60076-1, CL 11.3"
32,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformer(From 11k V,100k VA up to 400k V,500 MVA)",Measurement of voltage ratio,"IS 2026 (Part 1), CL 10.3,Rearmed:2016"
33,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformer(From 11k V,100k VA up to 400k V,500 MVA)",Measurement of windingresistance,"IEC 60076-1, CL 11.2"
34,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformer(From 11k V,100k VA up to 400k V,500 MVA)",Measurement of windingresistance,"IS 2026 (Part 1), CL 10.2,Rearmed:2016"
35,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformer(From 11k V,100k VA up to 400k V,500 MVA)",Measurement of Zerosequence Impedance,"IEC 60076-1, CL 11.6"
36,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformer(From 11k V,100k VA up to 400k V,500 MVA)",Measurement of Zerosequence Impedance,"IS 2026 (Part 1), CL 10.7,Rearmed:2016"
37,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformer(From 11k V,100k VA up to 400k V,500 MVA)",Temperature rise test,IEC 60076- 2
38,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformer(From 11k V,100k VA up to 400k V,500 MVA)",Temperature rise test,"IS 2026 (Part 2),Rearmed:2020"
39,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformer(From 11k V,100k VA up to 400k V,500 MVA)",Tests on on-load tap-changers,"IEC 60076-1, CL 11.7"
40,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformer(From 11k V,100k VA up to 400k V,500 MVA)",Tests on on-load tap-changers,"IS 2026 (Part 1), CL10.8,Rearmed:2016"
41,ELECTRICAL- INDUCTORS& TRANSFORMERS,Distribution transformer,Determination of Sound Level,"IS1180(Part-1), CL21.4,Amendment:2019 , IS2026 (Part 10),Rearmed:2019: 2009"
42,ELECTRICAL- INDUCTORS& TRANSFORMERS,Distribution Transformer,Full wave lightning impulsetest,"IS1180(Part-1), CL21.3,Amendment:2019 , IS2026(Part 3),CL13.2 & 13.4,Fourth Revision: 2018"
43,ELECTRICAL- INDUCTORS& TRANSFORMERS,Distribution Transformer,Induced voltage Withstand Test,"IS1180(Part-1), CL21.2,Amendment:2019 , IS2026 (Part 3),CL. No. 11,Fourth Revision: 2018"
44,ELECTRICAL- INDUCTORS& TRANSFORMERS,Distribution transformer,"Measurement of D.C. insulationresistance each winding toearth, between windings.","IS1180(Part-1), CL21.2,Amendment:2019 , IS2026 (Part 1), CL 10.1.3,Rearmed:2016: 2011"
45,ELECTRICAL- INDUCTORS& TRANSFORMERS,Distribution Transformer,Measurement of load loss at 50percent and 100 percent load,"IS1180(Part-1), CL21.2,Amendment:2019 , IS2026 (Part 1),CL 10.4.,Rearmed:2016: 2011"
46,ELECTRICAL- INDUCTORS& TRANSFORMERS,Distribution transformer,Measurement of No loadcurrent & No Load Losses at 90to 112.5% of rated voltage,"IS1180(Part-1), CL21.2,Amendment:2019 , IS2026 (Part 1),CL 10.5,Rearmed:2016: 2011"
47,ELECTRICAL- INDUCTORS& TRANSFORMERS,Distribution transformer,Measurement of phasedisplacement / Vector group,"IS1180(Part-1), CL21.2,Amendment:2019 , IS2026 (Part 1),CL 10.3,Rearmed:2016: 2011"
48,ELECTRICAL- INDUCTORS& TRANSFORMERS,Distribution transformer,Measurement of short-circuitimpedance,"IS1180(Part-1), CL21.2,Amendment:2019 , IS2026 (Part 1), CL 10.4,Rearmed:2016: 2011"
49,ELECTRICAL- INDUCTORS& TRANSFORMERS,Distribution transformer,Measurement of voltage ratio,"IS1180(Part-1), CL21.2,Amendment:2019 , IS2026 (Part 1), CL 10.3,Rearmed:2016: 2011"
50,ELECTRICAL- INDUCTORS& TRANSFORMERS,Distribution transformer,Measurement of windingresistance,"IS1180(Part-1), CL21.2,Amendment:2019 , IS2026 (Part 1), CL 10.2,Rearmed:2016: 2011"
51,ELECTRICAL- INDUCTORS& TRANSFORMERS,Distribution transformer,Separate source voltagewithstand test,"IS1180(Part-1), CL21.2,Amendment:2019 , IS2026 (Part 3), CL.10(Fourthrevision): 2018"
52,ELECTRICAL- INDUCTORS& TRANSFORMERS,Distribution transformer,Temperature rise test,"IS1180(Part-1), CL21.3,Amendment:2019 , IS2026 (Part 2),Rearmed:2020: 2010"
53,ELECTRICAL- INDUCTORS& TRANSFORMERS,Power Transformer,Switching impulse test for theline terminal,"IEC 60076-3, CL 14,Amendment:2018"
54,ELECTRICAL- INDUCTORS& TRANSFORMERS,Power Transformer,Switching impulse test for theline terminal,"IS 2026(Part-3), CL 14 , Fourth Revision"
55,ELECTRICAL- INDUCTORS& TRANSFORMERS,Power Transformer,Transient Voltage Transfer Characteristics,"IEC 60076-3, Annex- B"
56,ELECTRICAL- INDUCTORS& TRANSFORMERS,Power Transformer,Transient Voltage Transfer Characteristics,"IS 2026 Part-3 , Annexure-B"
