0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL- METALS &ALLOYS,Aluminium & its alloys,Boron,ASTM E1251
2,CHEMICAL- METALS &ALLOYS,Aluminium & its alloys,Calcium,ASTM E1251
3,CHEMICAL- METALS &ALLOYS,Aluminium & its alloys,Chromium,ASTM E1251
4,CHEMICAL- METALS &ALLOYS,Aluminium & its alloys,Copper,ASTM E1251
5,CHEMICAL- METALS &ALLOYS,Aluminium & its alloys,Gallium,ASTM E1251
6,CHEMICAL- METALS &ALLOYS,Aluminium & its alloys,Iron,ASTM E1251
7,CHEMICAL- METALS &ALLOYS,Aluminium & its alloys,Lead,ASTM E1251
8,CHEMICAL- METALS &ALLOYS,Aluminium & its alloys,Magnesium,ASTM E1251
9,CHEMICAL- METALS &ALLOYS,Aluminium & its alloys,Manganese,ASTM E1251
10,CHEMICAL- METALS &ALLOYS,Aluminium & its alloys,Nickel,ASTM E1251
11,CHEMICAL- METALS &ALLOYS,Aluminium & its alloys,Silicon,ASTM E1251
12,CHEMICAL- METALS &ALLOYS,Aluminium & its alloys,Sodium,ASTM E1251
13,CHEMICAL- METALS &ALLOYS,Aluminium & its alloys,Strontium,ASTM E1251
14,CHEMICAL- METALS &ALLOYS,Aluminium & its alloys,Titanium,ASTM E1251
15,CHEMICAL- METALS &ALLOYS,Aluminium & its alloys,Vanadium,ASTM E1251
16,CHEMICAL- METALS &ALLOYS,Aluminium & its alloys,Zinc,ASTM E1251
17,CHEMICAL- METALS &ALLOYS,Aluminium & its alloys,Zirconium,ASTM E1251
